Stock_ID,Branch_ID,updated_status,updated_date,arrival_date
STK000672,BRN000017,Updated,2025-04-30,2025-04-19
STK000129,BRN000011,Verified,2022-07-27,2022-07-01
STK001257,BRN000008,Updated,2022-08-13,2022-07-20
STK001153,BRN000005,Updated,2023-01-20,2023-01-08
STK000787,BRN000002,Pending,2025-12-25,2025-11-25
STK000778,BRN000013,Verified,2022-11-09,2022-10-10
STK000456,BRN000011,Pending,2025-09-19,2025-08-20
STK000425,BRN000012,Verified,2024-06-01,2024-05-07
STK001003,BRN000010,Verified,2024-04-24,2024-04-04
STK000039,BRN000016,Verified,2025-12-23,2025-12-15
STK000148,BRN000019,Updated,2022-01-21,2022-01-05
STK000590,BRN000011,Updated,2022-08-19,2022-07-25
STK000244,BRN000018,Verified,2023-01-13,2022-12-28
STK000196,BRN000017,Pending,2025-10-21,2025-09-29
STK001441,BRN000017,Updated,2024-10-14,2024-10-04
STK000681,BRN000001,Pending,2023-04-04,2023-03-18
STK000222,BRN000019,Verified,2023-02-23,2023-02-13
STK001295,BRN000005,Verified,2025-02-10,2025-01-15
STK001123,BRN000017,Pending,2024-11-17,2024-11-10
STK000736,BRN000002,Updated,2022-02-16,2022-01-28
STK001313,BRN000002,Verified,2025-12-31,2025-12-05
STK001331,BRN000003,Pending,2023-03-20,2023-03-08
STK000870,BRN000001,Verified,2024-02-24,2024-01-26
STK000523,BRN000012,Updated,2023-08-23,2023-08-22
STK001420,BRN000019,Verified,2023-12-16,2023-11-18
STK001280,BRN000017,Pending,2024-04-27,2024-04-07
STK000403,BRN000008,Updated,2024-11-20,2024-11-13
STK000492,BRN000018,Updated,2024-11-07,2024-10-18
STK000359,BRN000005,Verified,2024-10-08,2024-09-27
STK000413,BRN000002,Verified,2024-01-20,2024-01-07
STK000314,BRN000018,Updated,2025-03-19,2025-03-07
STK001273,BRN000002,Verified,2025-05-30,2025-05-13
STK000189,BRN000017,Verified,2024-08-22,2024-07-28
STK000615,BRN000010,Pending,2024-08-27,2024-08-13
STK000346,BRN000005,Verified,2023-06-09,2023-06-01
STK000593,BRN000009,Verified,2024-10-06,2024-09-27
STK001059,BRN000010,Pending,2025-05-19,2025-04-24
STK001282,BRN000007,Verified,2024-04-18,2024-04-17
STK001328,BRN000018,Updated,2022-01-06,2021-12-28
STK000839,BRN000006,Updated,2025-08-30,2025-08-23
STK001242,BRN000009,Updated,2024-12-20,2024-12-01
STK000098,BRN000009,Updated,2024-07-13,2024-07-05
STK001125,BRN000019,Pending,2022-04-17,2022-04-07
STK000881,BRN000008,Verified,2025-01-24,2024-12-31
STK001216,BRN000001,Updated,2023-06-30,2023-06-22
STK000801,BRN000010,Verified,2023-08-13,2023-08-12
STK000927,BRN000003,Pending,2022-08-11,2022-07-19
STK001146,BRN000008,Pending,2023-01-29,2023-01-19
STK000893,BRN000004,Pending,2023-08-16,2023-08-06
STK000695,BRN000006,Pending,2025-10-06,2025-09-17
STK000987,BRN000003,Updated,2023-09-19,2023-09-02
STK000928,BRN000009,Pending,2024-01-04,2023-12-31
STK000453,BRN000003,Pending,2022-09-03,2022-08-18
STK001088,BRN000016,Updated,2025-12-01,2025-11-14
STK001034,BRN000001,Pending,2023-02-24,2023-02-07
STK001385,BRN000005,Pending,2025-04-21,2025-04-18
STK000337,BRN000009,Pending,2025-03-16,2025-03-11
STK000204,BRN000009,Verified,2022-06-07,2022-05-15
STK000924,BRN000012,Updated,2023-04-25,2023-04-11
STK000538,BRN000017,Verified,2022-08-27,2022-08-11
STK000960,BRN000015,Pending,2023-05-06,2023-04-30
STK001463,BRN000009,Pending,2024-12-28,2024-12-05
STK000728,BRN000017,Pending,2022-12-04,2022-11-09
STK001127,BRN000018,Verified,2025-07-24,2025-07-13
STK000879,BRN000020,Updated,2022-03-23,2022-03-16
STK000948,BRN000006,Pending,2024-12-19,2024-12-14
STK000023,BRN000013,Updated,2022-10-08,2022-09-19
STK000881,BRN000007,Pending,2024-07-31,2024-07-20
STK000516,BRN000020,Updated,2022-03-26,2022-03-11
STK001348,BRN000001,Updated,2023-11-30,2023-10-31
STK001183,BRN000004,Updated,2025-08-20,2025-07-26
STK000493,BRN000002,Verified,2025-05-31,2025-05-13
STK001411,BRN000009,Verified,2023-01-08,2022-12-25
STK001430,BRN000020,Verified,2023-09-19,2023-08-23
STK000192,BRN000014,Updated,2022-08-31,2022-08-17
STK000149,BRN000015,Verified,2023-08-29,2023-08-01
STK000407,BRN000013,Verified,2024-07-22,2024-07-04
STK000588,BRN000005,Updated,2025-03-23,2025-03-13
STK001376,BRN000009,Pending,2025-05-13,2025-05-10
STK001046,BRN000011,Pending,2024-03-20,2024-03-08
STK000365,BRN000017,Verified,2024-12-28,2024-12-16
STK001084,BRN000019,Pending,2022-01-20,2021-12-26
STK000725,BRN000011,Verified,2023-01-02,2022-12-15
STK001289,BRN000011,Updated,2022-01-03,2021-12-25
STK000007,BRN000020,Verified,2025-04-26,2025-04-13
STK000286,BRN000010,Verified,2022-10-08,2022-10-06
STK000616,BRN000004,Pending,2022-10-15,2022-10-03
STK000934,BRN000017,Pending,2024-03-20,2024-03-18
STK000194,BRN000011,Verified,2024-05-03,2024-04-15
STK000555,BRN000010,Verified,2025-06-22,2025-06-08
STK000549,BRN000015,Verified,2023-05-17,2023-05-15
STK001003,BRN000020,Updated,2024-11-07,2024-11-01
STK001145,BRN000014,Updated,2023-02-09,2023-01-29
STK001044,BRN000002,Updated,2022-06-01,2022-05-23
STK000075,BRN000015,Verified,2023-01-05,2022-12-26
STK000267,BRN000002,Pending,2025-04-08,2025-03-27
STK000055,BRN000012,Updated,2025-11-11,2025-11-05
STK000258,BRN000002,Verified,2022-04-05,2022-03-14
STK000548,BRN000005,Updated,2022-07-14,2022-06-26
STK001113,BRN000017,Updated,2024-07-22,2024-07-21
STK001223,BRN000012,Verified,2022-03-30,2022-03-15
STK000365,BRN000004,Verified,2023-04-11,2023-04-05
STK000682,BRN000018,Updated,2024-12-09,2024-11-13
STK000055,BRN000016,Pending,2024-05-27,2024-05-06
STK001386,BRN000020,Verified,2023-06-09,2023-05-14
STK000678,BRN000002,Pending,2024-02-23,2024-02-08
STK001491,BRN000015,Updated,2023-11-10,2023-11-04
STK001296,BRN000006,Verified,2023-12-16,2023-11-30
STK000805,BRN000002,Updated,2022-10-19,2022-10-08
STK000718,BRN000016,Updated,2022-12-28,2022-12-14
STK000410,BRN000013,Pending,2022-01-31,2022-01-11
STK001017,BRN000009,Verified,2024-07-27,2024-07-07
STK000319,BRN000012,Updated,2022-05-10,2022-04-27
STK000384,BRN000009,Updated,2024-09-01,2024-08-13
STK000701,BRN000009,Updated,2024-02-07,2024-01-27
STK001215,BRN000019,Pending,2024-10-10,2024-09-23
STK001172,BRN000018,Updated,2024-10-31,2024-10-08
STK000598,BRN000007,Pending,2025-11-22,2025-10-26
STK001467,BRN000011,Verified,2023-05-05,2023-04-18
STK000452,BRN000012,Updated,2022-07-11,2022-07-01
STK001097,BRN000015,Updated,2025-09-26,2025-09-18
STK000252,BRN000004,Updated,2023-08-30,2023-08-05
STK000105,BRN000004,Verified,2023-03-04,2023-02-11
STK000599,BRN000011,Updated,2023-02-11,2023-02-04
STK001120,BRN000012,Verified,2023-06-10,2023-05-20
STK001173,BRN000016,Pending,2023-01-26,2023-01-14
STK000903,BRN000010,Pending,2023-06-12,2023-06-01
STK000893,BRN000009,Pending,2024-12-16,2024-12-11
STK000585,BRN000011,Pending,2025-10-16,2025-10-14
STK000591,BRN000001,Verified,2023-02-14,2023-02-05
STK000196,BRN000005,Updated,2024-09-25,2024-09-18
STK001199,BRN000017,Pending,2025-06-22,2025-05-29
STK000560,BRN000010,Updated,2025-12-29,2025-12-26
STK000095,BRN000018,Updated,2022-05-29,2022-05-05
STK001143,BRN000007,Updated,2025-09-22,2025-08-30
STK001039,BRN000007,Pending,2024-10-03,2024-09-14
STK000289,BRN000008,Pending,2025-09-08,2025-09-03
STK000030,BRN000019,Updated,2024-09-10,2024-09-02
STK001356,BRN000010,Updated,2025-07-05,2025-06-23
STK000184,BRN000004,Verified,2022-01-09,2021-12-18
STK001347,BRN000017,Updated,2025-11-15,2025-10-19
STK000725,BRN000007,Pending,2022-11-14,2022-10-21
STK000630,BRN000017,Verified,2022-01-06,2021-12-19
STK000037,BRN000009,Verified,2025-03-17,2025-02-22
STK000270,BRN000005,Pending,2025-11-10,2025-11-07
STK000909,BRN000013,Verified,2022-12-04,2022-11-14
STK000517,BRN000011,Pending,2023-11-09,2023-10-26
STK000978,BRN000017,Pending,2024-12-24,2024-12-20
STK000783,BRN000001,Pending,2023-02-04,2023-01-08
STK000197,BRN000005,Pending,2022-04-10,2022-04-02
STK000654,BRN000016,Updated,2025-12-15,2025-11-19
STK000917,BRN000004,Updated,2022-11-16,2022-11-02
STK000632,BRN000012,Updated,2024-01-11,2023-12-29
STK000053,BRN000016,Verified,2022-06-11,2022-05-31
STK001034,BRN000011,Updated,2025-08-16,2025-08-02
STK000101,BRN000013,Verified,2022-11-30,2022-11-17
STK000103,BRN000009,Pending,2023-08-25,2023-08-16
STK000398,BRN000010,Verified,2024-12-04,2024-12-02
STK000607,BRN000001,Verified,2022-12-31,2022-12-21
STK000964,BRN000002,Pending,2024-07-03,2024-06-24
STK000316,BRN000005,Pending,2023-06-09,2023-05-20
STK000023,BRN000009,Pending,2022-08-15,2022-07-17
STK001204,BRN000003,Pending,2022-01-09,2022-01-08
STK001376,BRN000003,Updated,2023-07-24,2023-07-10
STK000657,BRN000002,Updated,2024-08-14,2024-08-12
STK000316,BRN000013,Verified,2023-01-09,2022-12-20
STK000564,BRN000007,Pending,2025-12-11,2025-12-04
STK000350,BRN000018,Pending,2023-11-19,2023-11-03
STK000412,BRN000018,Pending,2024-07-22,2024-07-02
STK001217,BRN000013,Pending,2022-10-12,2022-09-13
STK000400,BRN000007,Verified,2022-11-12,2022-10-25
STK000400,BRN000006,Verified,2025-03-04,2025-02-14
STK000352,BRN000018,Verified,2023-12-12,2023-12-06
STK000700,BRN000001,Verified,2022-07-04,2022-06-24
STK000087,BRN000008,Updated,2022-01-02,2021-12-22
STK000544,BRN000014,Pending,2022-11-27,2022-11-03
STK000274,BRN000012,Pending,2022-05-09,2022-05-07
STK000412,BRN000003,Verified,2025-01-26,2025-01-25
STK000585,BRN000006,Pending,2023-06-29,2023-06-21
STK001453,BRN000011,Updated,2023-11-17,2023-11-06
STK001131,BRN000001,Verified,2022-12-25,2022-12-14
STK001103,BRN000009,Updated,2024-05-01,2024-04-10
STK000627,BRN000002,Verified,2022-06-05,2022-05-22
STK000306,BRN000020,Pending,2024-07-12,2024-07-02
STK001489,BRN000012,Verified,2022-07-01,2022-06-18
STK001346,BRN000008,Verified,2022-05-28,2022-05-25
STK000525,BRN000013,Pending,2022-10-24,2022-10-11
STK000413,BRN000007,Verified,2024-04-18,2024-04-02
STK000699,BRN000009,Pending,2025-06-21,2025-05-26
STK001132,BRN000020,Updated,2025-09-20,2025-09-14
STK001480,BRN000006,Updated,2022-07-15,2022-06-28
STK001029,BRN000020,Verified,2024-11-07,2024-11-06
STK000606,BRN000008,Updated,2023-09-25,2023-08-26
STK000818,BRN000011,Updated,2022-04-17,2022-04-05
STK000500,BRN000011,Verified,2024-01-11,2023-12-14
STK001187,BRN000011,Pending,2023-03-09,2023-02-21
STK000275,BRN000008,Pending,2022-11-02,2022-10-10
STK000115,BRN000008,Updated,2025-04-19,2025-04-08
STK001143,BRN000020,Updated,2024-08-30,2024-08-14
STK000958,BRN000019,Pending,2023-10-12,2023-09-24
STK000476,BRN000003,Verified,2024-12-08,2024-11-17
STK000514,BRN000002,Verified,2025-12-11,2025-12-06
STK000702,BRN000008,Updated,2023-01-09,2022-12-24
STK000521,BRN000005,Verified,2022-09-04,2022-08-15
STK001301,BRN000012,Verified,2022-09-25,2022-09-02
STK000444,BRN000013,Pending,2024-02-18,2024-02-05
STK000445,BRN000015,Updated,2023-03-07,2023-02-15
STK000274,BRN000013,Verified,2024-10-27,2024-09-28
STK000559,BRN000015,Updated,2025-11-02,2025-10-17
STK000110,BRN000007,Updated,2024-09-27,2024-09-25
STK000254,BRN000011,Updated,2023-12-26,2023-12-01
STK000847,BRN000011,Verified,2024-11-25,2024-10-31
STK000636,BRN000011,Pending,2022-05-18,2022-05-13
STK000567,BRN000015,Pending,2023-07-12,2023-07-04
STK001153,BRN000012,Updated,2022-05-23,2022-04-25
STK000183,BRN000015,Updated,2023-07-29,2023-07-12
STK000531,BRN000013,Updated,2025-03-24,2025-03-01
STK001424,BRN000009,Verified,2025-05-25,2025-05-12
STK000022,BRN000005,Updated,2024-12-09,2024-11-19
STK000422,BRN000009,Pending,2025-07-20,2025-06-29
STK001069,BRN000007,Pending,2022-10-26,2022-10-03
STK001383,BRN000018,Updated,2025-04-13,2025-04-01
STK000363,BRN000002,Verified,2022-04-09,2022-03-14
STK001018,BRN000014,Updated,2023-02-27,2023-02-10
STK000731,BRN000006,Verified,2022-04-01,2022-03-18
STK000534,BRN000007,Verified,2025-04-14,2025-03-28
STK000863,BRN000010,Updated,2024-08-31,2024-08-05
STK001234,BRN000015,Pending,2024-04-08,2024-03-29
STK001072,BRN000015,Pending,2023-06-04,2023-05-23
STK001325,BRN000012,Updated,2025-07-04,2025-06-15
STK000121,BRN000013,Verified,2025-11-04,2025-10-09
STK000126,BRN000020,Verified,2022-04-27,2022-04-06
STK000659,BRN000005,Verified,2024-12-29,2024-11-30
STK000198,BRN000009,Verified,2024-09-15,2024-09-05
STK000877,BRN000012,Verified,2023-08-01,2023-07-14
STK000709,BRN000002,Pending,2022-10-14,2022-09-14
STK000557,BRN000008,Updated,2022-01-03,2021-12-26
STK000969,BRN000016,Pending,2022-01-01,2021-12-23
STK000947,BRN000006,Updated,2023-02-23,2023-02-07
STK000802,BRN000016,Pending,2025-10-01,2025-09-29
STK001467,BRN000015,Updated,2023-02-24,2023-02-22
STK000019,BRN000016,Pending,2022-04-05,2022-03-07
STK000706,BRN000004,Pending,2025-09-04,2025-08-11
STK000876,BRN000011,Pending,2022-03-14,2022-02-27
STK001450,BRN000008,Pending,2022-03-05,2022-02-08
STK001449,BRN000017,Updated,2025-06-14,2025-06-11
STK000686,BRN000012,Verified,2025-09-15,2025-08-23
STK000984,BRN000009,Updated,2023-05-31,2023-05-03
STK001241,BRN000007,Verified,2023-05-23,2023-04-26
STK001317,BRN000018,Pending,2025-02-19,2025-02-05
STK000799,BRN000007,Updated,2022-07-13,2022-06-26
STK000684,BRN000001,Updated,2025-02-18,2025-01-19
STK001383,BRN000019,Verified,2023-11-21,2023-11-16
STK000745,BRN000011,Verified,2022-07-07,2022-06-18
STK000741,BRN000012,Pending,2024-09-25,2024-09-05
STK001009,BRN000008,Updated,2024-05-03,2024-04-29
STK000472,BRN000018,Pending,2024-07-23,2024-07-08
STK001227,BRN000002,Verified,2022-04-04,2022-03-07
STK000714,BRN000013,Verified,2024-01-08,2023-12-24
STK001446,BRN000003,Updated,2022-08-14,2022-07-31
STK001031,BRN000008,Updated,2022-09-15,2022-09-14
STK000434,BRN000018,Pending,2022-09-22,2022-09-15
STK000918,BRN000006,Updated,2025-10-06,2025-09-29
STK001227,BRN000001,Verified,2025-06-11,2025-05-29
STK000508,BRN000012,Verified,2022-06-28,2022-05-30
STK001237,BRN000018,Verified,2022-02-14,2022-01-23
STK001119,BRN000011,Verified,2023-03-01,2023-02-26
STK001461,BRN000009,Pending,2024-10-02,2024-09-28
STK001266,BRN000013,Pending,2025-09-05,2025-08-30
STK000555,BRN000002,Updated,2024-09-08,2024-08-20
STK001496,BRN000009,Verified,2024-09-22,2024-09-13
STK001067,BRN000015,Updated,2024-05-31,2024-05-27
STK000207,BRN000008,Verified,2023-08-17,2023-08-09
STK000651,BRN000008,Verified,2022-09-21,2022-09-03
STK001312,BRN000001,Pending,2024-09-09,2024-08-19
STK000451,BRN000007,Pending,2024-02-05,2024-01-27
STK000326,BRN000013,Updated,2024-08-08,2024-08-07
STK000272,BRN000001,Updated,2024-10-21,2024-09-23
STK000557,BRN000013,Updated,2024-09-04,2024-09-02
STK001154,BRN000008,Pending,2022-04-08,2022-03-09
STK000106,BRN000019,Pending,2024-07-11,2024-06-16
