Customer_account_ID,Order_ID,Place_Date,Place_Status
CST002453,ORD000126,2023-08-24,Processing
CST000408,ORD000127,2025-11-01,Pending
CST000732,ORD000128,2025-08-25,Pending
CST002532,ORD000129,2023-10-21,Pending
CST000020,ORD000130,2025-05-20,Confirmed
CST000450,ORD000131,2022-01-24,Confirmed
CST000199,ORD000132,2022-05-30,Confirmed
CST001228,ORD000133,2022-01-26,Cancelled
CST002889,ORD000134,2024-08-17,Shipped
CST002549,ORD000135,2024-02-16,Cancelled
CST001787,ORD000136,2022-01-17,Delivered
CST001197,ORD000137,2024-07-08,Shipped
CST001550,ORD000138,2023-09-11,Confirmed
CST001748,ORD000139,2025-03-24,Shipped
CST001398,ORD000140,2025-10-30,Confirmed
CST001213,ORD000141,2022-03-04,Pending
CST001880,ORD000142,2025-10-30,Delivered
CST000386,ORD000143,2022-12-06,Shipped
CST000918,ORD000144,2024-10-10,Processing
CST001601,ORD000145,2023-02-18,Shipped
CST000326,ORD000146,2023-11-22,Pending
CST000738,ORD000147,2023-08-06,Cancelled
CST001346,ORD000148,2025-12-20,Pending
CST001050,ORD000149,2025-02-26,Cancelled
CST000433,ORD000150,2022-06-19,Delivered
CST002002,ORD000151,2023-10-24,Cancelled
CST000612,ORD000152,2024-07-18,Shipped
CST000950,ORD000153,2024-08-08,Shipped
CST002525,ORD000154,2022-01-28,Shipped
CST001554,ORD000155,2024-04-15,Processing
CST002967,ORD000156,2025-02-02,Cancelled
CST001528,ORD000157,2025-11-18,Processing
CST000174,ORD000158,2025-04-11,Processing
CST001644,ORD000159,2022-08-16,Confirmed
CST002841,ORD000160,2025-08-05,Processing
CST000373,ORD000161,2025-12-23,Processing
CST000663,ORD000162,2022-10-29,Shipped
CST001270,ORD000163,2022-05-07,Delivered
CST002459,ORD000164,2024-06-15,Pending
CST002425,ORD000165,2024-07-18,Shipped
CST002433,ORD000166,2024-09-06,Pending
CST001468,ORD000167,2023-01-01,Pending
CST001426,ORD000168,2024-11-29,Shipped
CST002582,ORD000169,2022-07-10,Cancelled
CST000413,ORD000170,2023-03-07,Processing
CST001847,ORD000171,2025-01-25,Pending
CST001308,ORD000172,2022-05-11,Delivered
CST000747,ORD000173,2025-07-19,Processing
CST000355,ORD000174,2024-01-12,Cancelled
CST000747,ORD000175,2024-09-08,Delivered
CST002797,ORD000176,2025-01-05,Cancelled
CST001391,ORD000177,2024-11-24,Delivered
CST001068,ORD000178,2024-07-17,Processing
CST001241,ORD000179,2022-11-12,Cancelled
CST001487,ORD000180,2023-02-21,Processing
CST001405,ORD000181,2024-01-20,Delivered
CST001463,ORD000182,2024-09-05,Pending
CST002238,ORD000183,2024-08-17,Confirmed
CST002238,ORD000184,2023-01-02,Cancelled
CST000171,ORD000185,2022-11-28,Cancelled
CST002204,ORD000186,2025-08-03,Pending
CST000570,ORD000187,2022-06-16,Pending
CST002530,ORD000188,2025-05-04,Confirmed
CST001996,ORD000189,2025-02-25,Shipped
CST002276,ORD000190,2024-12-30,Cancelled
CST001443,ORD000191,2023-04-07,Cancelled
CST002340,ORD000192,2023-11-01,Delivered
CST001731,ORD000193,2022-08-29,Confirmed
CST001261,ORD000194,2022-04-27,Delivered
CST002990,ORD000195,2023-11-21,Shipped
CST001898,ORD000196,2025-02-26,Shipped
CST001114,ORD000197,2025-12-29,Confirmed
CST001748,ORD000198,2022-01-08,Confirmed
CST000665,ORD000199,2025-03-14,Processing
CST001322,ORD000200,2025-05-05,Shipped
CST001342,ORD000201,2023-07-08,Cancelled
CST001660,ORD000202,2025-05-15,Cancelled
CST002951,ORD000203,2022-10-12,Confirmed
CST002880,ORD000204,2023-10-03,Delivered
CST002791,ORD000205,2022-11-17,Confirmed
CST001460,ORD000206,2024-07-29,Shipped
CST001868,ORD000207,2025-07-04,Shipped
CST000554,ORD000208,2024-07-12,Pending
CST000855,ORD000209,2024-01-23,Cancelled
CST000118,ORD000210,2025-08-23,Cancelled
CST001871,ORD000211,2025-09-14,Shipped
CST001791,ORD000212,2023-03-03,Delivered
CST001401,ORD000213,2022-11-25,Pending
CST001961,ORD000214,2022-02-13,Pending
CST000681,ORD000215,2024-04-26,Processing
CST002188,ORD000216,2025-01-14,Cancelled
CST002763,ORD000217,2024-04-05,Cancelled
CST001940,ORD000218,2023-07-11,Confirmed
CST000903,ORD000219,2024-03-03,Processing
CST002929,ORD000220,2024-12-09,Delivered
CST002396,ORD000221,2023-11-29,Processing
CST001452,ORD000222,2023-04-24,Shipped
CST000556,ORD000223,2024-03-28,Processing
CST002005,ORD000224,2024-06-02,Processing
CST001782,ORD000225,2023-06-22,Processing
CST001947,ORD000226,2022-10-05,Delivered
CST001444,ORD000227,2022-07-11,Cancelled
CST001829,ORD000228,2023-07-04,Cancelled
CST000608,ORD000229,2022-03-01,Cancelled
CST002143,ORD000230,2025-12-13,Processing
CST002327,ORD000231,2023-07-16,Processing
CST000089,ORD000232,2023-03-12,Shipped
CST000414,ORD000233,2025-10-18,Confirmed
CST001507,ORD000234,2025-10-26,Shipped
CST001391,ORD000235,2024-03-14,Pending
CST000715,ORD000236,2024-03-29,Shipped
CST001213,ORD000237,2024-11-07,Processing
CST000771,ORD000238,2025-08-10,Processing
CST000242,ORD000239,2022-04-06,Shipped
CST000273,ORD000240,2025-10-29,Delivered
CST001554,ORD000241,2025-04-18,Cancelled
CST002950,ORD000242,2023-10-12,Shipped
CST000157,ORD000243,2025-05-28,Pending
CST002031,ORD000244,2023-01-15,Pending
CST000783,ORD000245,2023-12-08,Cancelled
CST000537,ORD000246,2024-10-11,Cancelled
CST000132,ORD000247,2023-12-12,Cancelled
CST002339,ORD000248,2025-09-25,Cancelled
CST001007,ORD000249,2023-01-06,Delivered
CST000073,ORD000250,2025-02-01,Pending
CST000226,ORD000251,2024-12-24,Delivered
CST002742,ORD000252,2023-07-12,Delivered
CST001516,ORD000253,2025-07-05,Pending
CST002604,ORD000254,2024-10-12,Processing
CST002848,ORD000255,2024-12-23,Shipped
CST001796,ORD000256,2024-11-27,Cancelled
CST001381,ORD000257,2023-04-25,Processing
CST000534,ORD000258,2024-03-04,Shipped
CST002248,ORD000259,2023-05-29,Processing
CST001052,ORD000260,2024-07-10,Confirmed
CST000433,ORD000261,2024-05-19,Cancelled
CST001932,ORD000262,2025-12-04,Delivered
CST000475,ORD000263,2024-04-20,Shipped
CST002074,ORD000264,2025-06-23,Processing
CST001568,ORD000265,2025-01-05,Confirmed
CST000426,ORD000266,2025-04-12,Cancelled
CST002573,ORD000267,2025-02-13,Processing
CST001499,ORD000268,2023-03-20,Delivered
CST001632,ORD000269,2025-05-11,Pending
CST001184,ORD000270,2024-01-16,Delivered
CST000081,ORD000271,2024-03-04,Cancelled
CST001945,ORD000272,2024-01-28,Shipped
CST002272,ORD000273,2024-08-26,Processing
CST002418,ORD000274,2024-09-10,Pending
CST001082,ORD000275,2024-07-03,Pending
CST001819,ORD000276,2022-07-12,Pending
CST000416,ORD000277,2023-01-06,Delivered
CST002107,ORD000278,2022-02-04,Confirmed
CST000394,ORD000279,2024-09-15,Cancelled
CST000044,ORD000280,2023-03-02,Delivered
CST000402,ORD000281,2023-05-29,Confirmed
CST001678,ORD000282,2025-09-19,Delivered
CST000176,ORD000283,2023-10-08,Delivered
CST002530,ORD000284,2025-06-22,Cancelled
CST000039,ORD000285,2023-06-05,Delivered
CST000948,ORD000286,2024-05-10,Shipped
CST000543,ORD000287,2022-07-25,Cancelled
CST002411,ORD000288,2023-03-29,Pending
CST000282,ORD000289,2024-05-20,Confirmed
CST000670,ORD000290,2022-03-14,Delivered
CST001177,ORD000291,2022-05-24,Pending
CST000034,ORD000292,2025-12-20,Processing
CST001654,ORD000293,2022-09-10,Shipped
CST001358,ORD000294,2024-09-12,Pending
CST001259,ORD000295,2025-08-20,Cancelled
CST001453,ORD000296,2023-11-22,Pending
CST000922,ORD000297,2023-10-16,Confirmed
CST002622,ORD000298,2022-11-20,Delivered
CST001636,ORD000299,2022-05-09,Delivered
CST001490,ORD000300,2022-05-20,Confirmed
CST002351,ORD000301,2025-02-14,Shipped
CST001662,ORD000302,2024-08-13,Processing
CST002292,ORD000303,2025-01-08,Processing
CST001532,ORD000304,2023-11-16,Processing
CST002281,ORD000305,2025-03-26,Delivered
CST002615,ORD000306,2023-03-13,Delivered
CST000800,ORD000307,2024-04-02,Cancelled
CST002772,ORD000308,2022-01-24,Shipped
CST000849,ORD000309,2023-05-13,Confirmed
CST002306,ORD000310,2022-01-19,Confirmed
CST000122,ORD000311,2023-12-23,Shipped
CST001647,ORD000312,2022-02-19,Pending
CST001506,ORD000313,2024-07-31,Processing
CST001141,ORD000314,2023-09-09,Delivered
CST002236,ORD000315,2022-07-23,Shipped
CST002058,ORD000316,2025-12-10,Confirmed
CST001751,ORD000317,2022-03-17,Confirmed
CST002582,ORD000318,2025-06-23,Cancelled
CST001845,ORD000319,2022-10-14,Pending
CST000236,ORD000320,2025-10-13,Confirmed
CST001399,ORD000321,2025-08-08,Cancelled
CST000689,ORD000322,2023-05-14,Shipped
CST001440,ORD000323,2022-04-12,Shipped
CST000494,ORD000324,2023-12-29,Processing
CST001433,ORD000325,2024-01-09,Delivered
CST000106,ORD000326,2024-02-06,Shipped
CST000074,ORD000327,2022-10-04,Delivered
CST000111,ORD000328,2025-06-01,Pending
CST001919,ORD000329,2023-03-11,Shipped
CST000875,ORD000330,2025-04-11,Confirmed
CST001868,ORD000331,2024-12-30,Delivered
CST002489,ORD000332,2025-04-13,Delivered
CST000501,ORD000333,2025-02-18,Cancelled
CST000444,ORD000334,2022-09-24,Pending
CST000091,ORD000335,2025-07-26,Cancelled
CST000702,ORD000336,2023-07-08,Pending
CST002443,ORD000337,2024-11-13,Shipped
CST001691,ORD000338,2023-04-12,Shipped
CST002971,ORD000339,2025-07-15,Cancelled
CST000994,ORD000340,2024-10-28,Delivered
CST002659,ORD000341,2024-04-10,Cancelled
CST002081,ORD000342,2023-12-02,Processing
CST001917,ORD000343,2024-10-04,Confirmed
CST002753,ORD000344,2025-10-05,Delivered
CST001511,ORD000345,2024-12-16,Delivered
CST000133,ORD000346,2023-02-16,Shipped
CST000133,ORD000347,2023-03-12,Delivered
CST000703,ORD000348,2023-12-22,Cancelled
CST001062,ORD000349,2022-01-12,Delivered
CST002809,ORD000350,2023-09-03,Delivered
CST002050,ORD000351,2024-01-20,Cancelled
CST000339,ORD000352,2023-06-29,Delivered
CST002169,ORD000353,2024-09-03,Cancelled
CST001964,ORD000354,2025-08-24,Cancelled
CST001032,ORD000355,2022-02-21,Shipped
CST000462,ORD000356,2025-06-21,Confirmed
CST002566,ORD000357,2022-10-04,Delivered
CST000570,ORD000358,2025-11-07,Delivered
CST001067,ORD000359,2022-11-16,Shipped
CST000002,ORD000360,2022-10-03,Processing
CST001715,ORD000361,2025-07-18,Processing
CST002880,ORD000362,2023-04-10,Pending
CST002683,ORD000363,2022-03-26,Processing
CST002953,ORD000364,2024-06-30,Confirmed
CST000557,ORD000365,2023-12-30,Processing
CST000596,ORD000366,2024-01-02,Shipped
CST002007,ORD000367,2023-10-22,Pending
CST000625,ORD000368,2025-05-02,Delivered
CST001477,ORD000369,2023-07-12,Confirmed
CST002260,ORD000370,2023-08-13,Cancelled
CST002783,ORD000371,2022-02-19,Shipped
CST002949,ORD000372,2024-08-14,Cancelled
CST002017,ORD000373,2024-11-16,Confirmed
CST002781,ORD000374,2022-08-12,Cancelled
CST002317,ORD000375,2025-10-04,Processing
CST002556,ORD000376,2023-01-27,Processing
CST002207,ORD000377,2022-12-06,Confirmed
CST000731,ORD000378,2025-10-13,Pending
CST000581,ORD000379,2025-05-05,Processing
CST002481,ORD000380,2022-03-22,Confirmed
CST002329,ORD000381,2025-06-09,Processing
CST000394,ORD000382,2024-06-16,Cancelled
CST000143,ORD000383,2025-09-25,Delivered
CST002563,ORD000384,2022-11-08,Confirmed
CST001446,ORD000385,2023-08-03,Confirmed
CST000259,ORD000386,2024-06-10,Confirmed
CST001231,ORD000387,2023-02-15,Shipped
CST002739,ORD000388,2025-11-08,Delivered
CST002155,ORD000389,2024-03-08,Processing
CST000660,ORD000390,2024-12-27,Pending
CST002797,ORD000391,2023-12-17,Processing
CST001899,ORD000392,2023-11-10,Delivered
CST002679,ORD000393,2023-11-26,Delivered
CST000506,ORD000394,2025-10-27,Confirmed
CST002796,ORD000395,2022-07-05,Confirmed
CST002388,ORD000396,2023-01-19,Delivered
CST000140,ORD000397,2023-01-10,Delivered
CST000111,ORD000398,2025-05-15,Shipped
CST000349,ORD000399,2023-10-07,Cancelled
CST000311,ORD000400,2023-10-26,Processing
CST000287,ORD000401,2022-05-29,Delivered
CST000857,ORD000402,2025-12-01,Pending
CST002357,ORD000403,2023-11-25,Confirmed
CST002660,ORD000404,2024-11-05,Pending
CST001154,ORD000405,2025-03-05,Delivered
CST002761,ORD000406,2022-01-21,Shipped
CST002452,ORD000407,2025-09-01,Pending
CST000780,ORD000408,2022-03-15,Confirmed
CST001240,ORD000409,2024-06-17,Processing
CST001024,ORD000410,2022-04-14,Cancelled
CST001246,ORD000411,2022-06-25,Processing
CST002111,ORD000412,2024-09-14,Delivered
CST002446,ORD000413,2025-04-26,Pending
CST002331,ORD000414,2022-05-09,Processing
CST000522,ORD000415,2024-07-31,Confirmed
CST002740,ORD000416,2022-05-30,Confirmed
CST001942,ORD000417,2023-11-17,Cancelled
CST002647,ORD000418,2025-06-20,Pending
CST000174,ORD000419,2024-05-22,Confirmed
CST000467,ORD000420,2022-07-27,Processing
CST002401,ORD000421,2023-12-05,Shipped
CST000735,ORD000422,2023-08-22,Delivered
CST000591,ORD000423,2024-05-19,Cancelled
CST000333,ORD000424,2024-06-21,Cancelled
CST001741,ORD000425,2022-04-09,Confirmed
CST001745,ORD000426,2025-02-25,Processing
CST001990,ORD000427,2023-06-18,Pending
CST000060,ORD000428,2024-12-27,Delivered
CST000872,ORD000429,2025-03-17,Processing
CST001702,ORD000430,2025-07-30,Delivered
CST001552,ORD000431,2024-04-12,Delivered
CST002475,ORD000432,2025-09-12,Shipped
CST002648,ORD000433,2025-02-22,Pending
CST001067,ORD000434,2023-10-10,Cancelled
CST001025,ORD000435,2023-05-25,Cancelled
CST000231,ORD000436,2024-08-01,Delivered
CST000831,ORD000437,2024-04-28,Pending
CST001531,ORD000438,2022-09-19,Confirmed
CST002623,ORD000439,2023-10-06,Pending
CST002077,ORD000440,2022-10-20,Delivered
CST000956,ORD000441,2022-05-01,Shipped
CST001625,ORD000442,2024-04-09,Pending
CST001906,ORD000443,2023-02-15,Delivered
CST001033,ORD000444,2025-05-11,Shipped
CST001997,ORD000445,2024-07-05,Confirmed
CST001707,ORD000446,2023-05-14,Cancelled
CST002562,ORD000447,2025-07-06,Delivered
CST002553,ORD000448,2022-01-06,Pending
CST001613,ORD000449,2024-01-10,Cancelled
CST002756,ORD000450,2024-12-29,Shipped
CST000580,ORD000451,2025-02-27,Processing
CST002913,ORD000452,2023-03-25,Processing
CST000540,ORD000453,2025-02-17,Shipped
CST002221,ORD000454,2024-12-12,Pending
CST001302,ORD000455,2024-11-23,Shipped
CST001083,ORD000456,2022-11-30,Pending
CST000097,ORD000457,2023-06-04,Pending
CST001660,ORD000458,2024-06-18,Shipped
CST002771,ORD000459,2022-10-13,Processing
CST002593,ORD000460,2023-11-05,Processing
CST002250,ORD000461,2022-12-05,Cancelled
CST002757,ORD000462,2024-06-17,Confirmed
CST000595,ORD000463,2024-10-22,Confirmed
CST002030,ORD000464,2025-03-24,Delivered
CST001217,ORD000465,2022-08-20,Confirmed
CST000985,ORD000466,2023-09-21,Delivered
CST002100,ORD000467,2022-11-20,Cancelled
CST000829,ORD000468,2022-10-16,Cancelled
CST000152,ORD000469,2025-01-30,Confirmed
CST000658,ORD000470,2023-07-02,Pending
CST002244,ORD000471,2024-03-12,Confirmed
CST001481,ORD000472,2022-02-13,Shipped
CST002636,ORD000473,2025-12-10,Shipped
CST000755,ORD000474,2024-07-22,Pending
CST002614,ORD000475,2024-02-11,Cancelled
CST000730,ORD000476,2025-11-18,Shipped
CST002592,ORD000477,2025-12-13,Delivered
CST002913,ORD000478,2025-05-13,Cancelled
CST001400,ORD000479,2023-09-07,Delivered
CST001770,ORD000480,2022-09-01,Confirmed
CST001952,ORD000481,2025-12-15,Delivered
CST002655,ORD000482,2022-07-21,Confirmed
CST001952,ORD000483,2023-05-06,Confirmed
CST000389,ORD000484,2024-05-24,Shipped
CST002017,ORD000485,2022-11-18,Confirmed
CST000883,ORD000486,2022-03-28,Processing
CST001162,ORD000487,2024-02-22,Delivered
CST002452,ORD000488,2023-06-05,Pending
CST001670,ORD000489,2024-10-11,Confirmed
CST002849,ORD000490,2024-03-06,Cancelled
CST002410,ORD000491,2025-08-09,Processing
CST002501,ORD000492,2024-11-21,Confirmed
CST001588,ORD000493,2025-08-28,Delivered
CST001472,ORD000494,2025-06-12,Pending
CST000593,ORD000495,2025-07-30,Shipped
CST000567,ORD000496,2025-05-28,Cancelled
CST000926,ORD000497,2024-06-13,Pending
CST000955,ORD000498,2025-06-17,Shipped
CST001450,ORD000499,2025-09-20,Delivered
CST000234,ORD000500,2024-02-19,Cancelled
CST000622,ORD000501,2024-06-16,Processing
CST002430,ORD000502,2024-10-06,Shipped
CST002165,ORD000503,2025-10-22,Pending
CST000350,ORD000504,2025-11-01,Confirmed
CST001094,ORD000505,2025-09-10,Cancelled
CST002350,ORD000506,2022-08-21,Shipped
CST000800,ORD000507,2022-01-12,Cancelled
CST000412,ORD000508,2025-12-28,Confirmed
CST001984,ORD000509,2023-07-02,Cancelled
CST001439,ORD000510,2022-04-09,Confirmed
CST001627,ORD000511,2024-05-27,Shipped
CST001911,ORD000512,2025-03-08,Delivered
CST000493,ORD000513,2022-01-09,Shipped
CST002411,ORD000514,2022-02-10,Pending
CST000623,ORD000515,2023-02-28,Shipped
CST002016,ORD000516,2023-10-22,Processing
CST000880,ORD000517,2023-10-16,Processing
CST000285,ORD000518,2023-08-03,Pending
CST001119,ORD000519,2025-09-20,Shipped
CST002415,ORD000520,2022-11-26,Delivered
CST000565,ORD000521,2022-05-28,Pending
CST001835,ORD000522,2024-05-25,Cancelled
CST002930,ORD000523,2024-08-11,Pending
CST002601,ORD000524,2023-09-03,Delivered
CST002601,ORD000525,2024-05-24,Cancelled
CST000801,ORD000526,2022-08-13,Shipped
CST000299,ORD000527,2024-06-18,Shipped
CST000363,ORD000528,2025-07-06,Processing
CST000322,ORD000529,2025-08-26,Confirmed
CST001344,ORD000530,2023-01-02,Shipped
CST001703,ORD000531,2023-03-30,Confirmed
CST000078,ORD000532,2025-09-11,Shipped
CST000125,ORD000533,2022-02-07,Shipped
CST001937,ORD000534,2023-05-07,Confirmed
CST002807,ORD000535,2025-07-04,Pending
CST002783,ORD000536,2025-09-22,Processing
CST000858,ORD000537,2022-02-01,Delivered
CST001241,ORD000538,2024-10-25,Confirmed
CST002619,ORD000539,2022-03-25,Cancelled
CST000419,ORD000540,2025-01-05,Confirmed
CST000193,ORD000541,2025-08-31,Delivered
CST000439,ORD000542,2024-03-30,Shipped
CST002499,ORD000543,2023-02-08,Confirmed
CST000122,ORD000544,2022-03-27,Pending
CST002082,ORD000545,2022-03-03,Confirmed
CST001322,ORD000546,2023-09-29,Cancelled
CST001692,ORD000547,2023-07-05,Shipped
CST000157,ORD000548,2023-12-10,Pending
CST002021,ORD000549,2025-05-31,Processing
CST002717,ORD000550,2022-05-27,Shipped
CST001570,ORD000551,2024-12-21,Confirmed
CST002095,ORD000552,2025-09-03,Pending
CST001580,ORD000553,2023-12-12,Pending
CST001446,ORD000554,2023-07-12,Processing
CST002876,ORD000555,2025-03-10,Delivered
CST001497,ORD000556,2025-02-10,Delivered
CST000670,ORD000557,2025-05-08,Confirmed
CST002072,ORD000558,2023-03-28,Delivered
CST000783,ORD000559,2024-08-23,Confirmed
CST002816,ORD000560,2023-04-20,Delivered
CST001571,ORD000561,2024-07-07,Confirmed
CST002122,ORD000562,2023-03-31,Pending
CST001744,ORD000563,2025-10-31,Processing
CST000025,ORD000564,2025-09-14,Shipped
CST000716,ORD000565,2025-07-15,Delivered
CST002051,ORD000566,2023-08-12,Delivered
CST001631,ORD000567,2024-01-11,Cancelled
CST002129,ORD000568,2025-10-21,Delivered
CST002706,ORD000569,2023-11-09,Delivered
CST002349,ORD000570,2025-06-06,Delivered
CST000363,ORD000571,2025-06-17,Delivered
CST000664,ORD000572,2022-01-06,Confirmed
CST000124,ORD000573,2024-01-13,Processing
CST002628,ORD000574,2023-06-09,Delivered
CST000058,ORD000575,2024-09-19,Delivered
CST000661,ORD000576,2025-01-31,Cancelled
CST002011,ORD000577,2023-04-18,Pending
CST001994,ORD000578,2025-07-30,Pending
CST000596,ORD000579,2025-02-06,Delivered
CST002436,ORD000580,2023-05-17,Processing
CST000246,ORD000581,2025-03-19,Cancelled
CST001985,ORD000582,2023-09-16,Confirmed
CST001772,ORD000583,2022-01-14,Pending
CST001237,ORD000584,2022-01-18,Processing
CST000657,ORD000585,2022-12-16,Cancelled
CST002822,ORD000586,2024-05-09,Shipped
CST000646,ORD000587,2023-07-04,Confirmed
CST002705,ORD000588,2025-01-14,Confirmed
CST001661,ORD000589,2025-06-07,Confirmed
CST000590,ORD000590,2022-09-16,Processing
CST002702,ORD000591,2023-05-24,Confirmed
CST002798,ORD000592,2022-11-24,Pending
CST001991,ORD000593,2022-12-22,Cancelled
CST001840,ORD000594,2023-05-23,Cancelled
CST000589,ORD000595,2023-08-11,Pending
CST000602,ORD000596,2024-12-21,Confirmed
CST002450,ORD000597,2023-05-27,Pending
CST001779,ORD000598,2025-07-29,Processing
CST002373,ORD000599,2024-06-09,Cancelled
CST002078,ORD000600,2024-04-13,Pending
CST001926,ORD000601,2023-06-06,Confirmed
CST000629,ORD000602,2024-08-15,Cancelled
CST000794,ORD000603,2022-09-09,Cancelled
CST000224,ORD000604,2024-12-14,Shipped
CST002429,ORD000605,2022-01-23,Pending
