Membership_ID,Membership_tier,Membership_status,Customer_account_ID
MEM000057,Silver,Inactive,CST000057
MEM000058,Bronze,Active,CST000058
MEM000059,Gold,Inactive,CST000059
MEM000060,Bronze,Active,CST000060
MEM000061,Gold,Active,CST000061
MEM000062,Bronze,Expired,CST000062
MEM000063,Silver,Active,CST000063
MEM000064,Gold,Active,CST000064
MEM000065,Bronze,Expired,CST000065
MEM000066,Bronze,Inactive,CST000066
MEM000067,Silver,Active,CST000067
MEM000068,Bronze,Active,CST000068
MEM000069,Platinum,Active,CST000069
MEM000070,Gold,Expired,CST000070
MEM000071,Silver,Active,CST000071
MEM000072,Platinum,Active,CST000072
MEM000073,Silver,Inactive,CST000073
MEM000074,Silver,Inactive,CST000074
MEM000075,Diamond,Active,CST000075
MEM000076,Platinum,Inactive,CST000076
MEM000077,Gold,Active,CST000077
MEM000078,Bronze,Active,CST000078
MEM000079,Gold,Expired,CST000079
MEM000080,Diamond,Active,CST000080
MEM000081,Silver,Active,CST000081
MEM000082,Platinum,Active,CST000082
MEM000083,Bronze,Active,CST000083
MEM000084,Bronze,Active,CST000084
MEM000085,Bronze,Active,CST000085
MEM000086,Bronze,Active,CST000086
MEM000087,Silver,Active,CST000087
MEM000088,Bronze,Active,CST000088
MEM000089,Silver,Active,CST000089
MEM000090,Gold,Active,CST000090
MEM000091,Platinum,Inactive,CST000091
MEM000092,Silver,Active,CST000092
MEM000093,Silver,Active,CST000093
MEM000094,Bronze,Expired,CST000094
MEM000095,Silver,Active,CST000095
MEM000096,Silver,Active,CST000096
MEM000097,Bronze,Active,CST000097
MEM000098,Diamond,Active,CST000098
MEM000099,Silver,Active,CST000099
MEM000100,Silver,Active,CST000100
MEM000101,Platinum,Active,CST000101
MEM000102,Silver,Active,CST000102
MEM000103,Gold,Active,CST000103
MEM000104,Platinum,Active,CST000104
MEM000105,Silver,Active,CST000105
MEM000106,Gold,Active,CST000106
MEM000107,Bronze,Active,CST000107
MEM000108,Bronze,Active,CST000108
MEM000109,Bronze,Inactive,CST000109
MEM000110,Silver,Active,CST000110
MEM000111,Bronze,Active,CST000111
MEM000112,Platinum,Inactive,CST000112
MEM000113,Silver,Active,CST000113
MEM000114,Gold,Active,CST000114
MEM000115,Bronze,Active,CST000115
MEM000116,Bronze,Active,CST000116
MEM000117,Silver,Active,CST000117
MEM000118,Platinum,Expired,CST000118
MEM000119,Gold,Active,CST000119
MEM000120,Bronze,Active,CST000120
MEM000121,Silver,Active,CST000121
MEM000122,Silver,Active,CST000122
MEM000123,Bronze,Active,CST000123
MEM000124,Silver,Active,CST000124
MEM000125,Bronze,Inactive,CST000125
MEM000126,Silver,Active,CST000126
MEM000127,Diamond,Active,CST000127
MEM000128,Silver,Inactive,CST000128
MEM000129,Diamond,Inactive,CST000129
MEM000130,Bronze,Active,CST000130
MEM000131,Bronze,Active,CST000131
MEM000132,Diamond,Expired,CST000132
MEM000133,Bronze,Active,CST000133
MEM000134,Bronze,Active,CST000134
MEM000135,Diamond,Active,CST000135
MEM000136,Bronze,Active,CST000136
MEM000137,Silver,Active,CST000137
MEM000138,Silver,Active,CST000138
MEM000139,Diamond,Active,CST000139
MEM000140,Silver,Inactive,CST000140
MEM000141,Bronze,Active,CST000141
MEM000142,Silver,Active,CST000142
MEM000143,Bronze,Active,CST000143
MEM000144,Bronze,Active,CST000144
MEM000145,Platinum,Active,CST000145
MEM000146,Silver,Active,CST000146
MEM000147,Bronze,Inactive,CST000147
MEM000148,Bronze,Active,CST000148
MEM000149,Bronze,Active,CST000149
MEM000150,Silver,Inactive,CST000150
MEM000151,Platinum,Active,CST000151
MEM000152,Bronze,Active,CST000152
MEM000153,Silver,Expired,CST000153
MEM000154,Platinum,Active,CST000154
MEM000155,Silver,Active,CST000155
MEM000156,Bronze,Active,CST000156
MEM000157,Bronze,Active,CST000157
MEM000158,Silver,Active,CST000158
MEM000159,Gold,Active,CST000159
MEM000160,Platinum,Active,CST000160
MEM000161,Diamond,Expired,CST000161
MEM000162,Bronze,Active,CST000162
MEM000163,Bronze,Active,CST000163
MEM000164,Gold,Active,CST000164
MEM000165,Silver,Inactive,CST000165
MEM000166,Silver,Active,CST000166
MEM000167,Bronze,Active,CST000167
MEM000168,Bronze,Active,CST000168
MEM000169,Gold,Active,CST000169
MEM000170,Bronze,Active,CST000170
MEM000171,Silver,Active,CST000171
MEM000172,Bronze,Active,CST000172
MEM000173,Diamond,Active,CST000173
MEM000174,Bronze,Active,CST000174
MEM000175,Silver,Active,CST000175
MEM000176,Bronze,Active,CST000176
MEM000177,Gold,Inactive,CST000177
MEM000178,Bronze,Active,CST000178
MEM000179,Silver,Active,CST000179
MEM000180,Gold,Inactive,CST000180
MEM000181,Diamond,Active,CST000181
MEM000182,Gold,Active,CST000182
MEM000183,Bronze,Inactive,CST000183
MEM000184,Bronze,Active,CST000184
MEM000185,Silver,Active,CST000185
MEM000186,Silver,Active,CST000186
MEM000187,Bronze,Active,CST000187
MEM000188,Silver,Active,CST000188
MEM000189,Bronze,Active,CST000189
MEM000190,Silver,Active,CST000190
MEM000191,Bronze,Active,CST000191
MEM000192,Platinum,Active,CST000192
MEM000193,Gold,Expired,CST000193
MEM000194,Bronze,Inactive,CST000194
MEM000195,Silver,Active,CST000195
MEM000196,Silver,Active,CST000196
MEM000197,Bronze,Active,CST000197
MEM000198,Gold,Active,CST000198
MEM000199,Silver,Active,CST000199
MEM000200,Bronze,Active,CST000200
MEM000201,Gold,Active,CST000201
MEM000202,Platinum,Active,CST000202
MEM000203,Bronze,Inactive,CST000203
MEM000204,Bronze,Expired,CST000204
MEM000205,Silver,Expired,CST000205
MEM000206,Bronze,Active,CST000206
MEM000207,Gold,Inactive,CST000207
MEM000208,Platinum,Active,CST000208
MEM000209,Diamond,Active,CST000209
MEM000210,Platinum,Active,CST000210
MEM000211,Bronze,Active,CST000211
MEM000212,Bronze,Active,CST000212
MEM000213,Bronze,Active,CST000213
MEM000214,Silver,Active,CST000214
MEM000215,Bronze,Active,CST000215
MEM000216,Gold,Active,CST000216
MEM000217,Bronze,Active,CST000217
MEM000218,Bronze,Active,CST000218
MEM000219,Silver,Active,CST000219
MEM000220,Gold,Active,CST000220
MEM000221,Bronze,Inactive,CST000221
MEM000222,Bronze,Active,CST000222
MEM000223,Silver,Active,CST000223
MEM000224,Bronze,Active,CST000224
MEM000225,Platinum,Inactive,CST000225
MEM000226,Gold,Inactive,CST000226
MEM000227,Silver,Inactive,CST000227
MEM000228,Silver,Active,CST000228
MEM000229,Silver,Inactive,CST000229
MEM000230,Gold,Expired,CST000230
MEM000231,Silver,Active,CST000231
MEM000232,Silver,Active,CST000232
MEM000233,Bronze,Active,CST000233
MEM000234,Diamond,Expired,CST000234
MEM000235,Platinum,Active,CST000235
MEM000236,Silver,Active,CST000236
MEM000237,Silver,Active,CST000237
MEM000238,Bronze,Active,CST000238
MEM000239,Gold,Inactive,CST000239
MEM000240,Bronze,Active,CST000240
MEM000241,Bronze,Inactive,CST000241
MEM000242,Platinum,Active,CST000242
MEM000243,Silver,Active,CST000243
MEM000244,Gold,Active,CST000244
MEM000245,Gold,Inactive,CST000245
MEM000246,Silver,Active,CST000246
MEM000247,Bronze,Active,CST000247
MEM000248,Bronze,Inactive,CST000248
MEM000249,Platinum,Active,CST000249
MEM000250,Bronze,Active,CST000250
MEM000251,Silver,Inactive,CST000251
MEM000252,Gold,Active,CST000252
MEM000253,Bronze,Active,CST000253
MEM000254,Silver,Active,CST000254
MEM000255,Gold,Inactive,CST000255
MEM000256,Bronze,Active,CST000256
MEM000257,Gold,Expired,CST000257
MEM000258,Platinum,Inactive,CST000258
MEM000259,Diamond,Active,CST000259
MEM000260,Silver,Active,CST000260
MEM000261,Bronze,Active,CST000261
MEM000262,Gold,Inactive,CST000262
MEM000263,Diamond,Inactive,CST000263
MEM000264,Diamond,Active,CST000264
MEM000265,Diamond,Active,CST000265
MEM000266,Gold,Active,CST000266
MEM000267,Silver,Active,CST000267
MEM000268,Diamond,Active,CST000268
MEM000269,Platinum,Active,CST000269
MEM000270,Gold,Expired,CST000270
MEM000271,Bronze,Inactive,CST000271
MEM000272,Bronze,Expired,CST000272
MEM000273,Silver,Active,CST000273
MEM000274,Bronze,Active,CST000274
MEM000275,Gold,Active,CST000275
MEM000276,Bronze,Active,CST000276
MEM000277,Silver,Active,CST000277
MEM000278,Bronze,Inactive,CST000278
MEM000279,Bronze,Expired,CST000279
MEM000280,Bronze,Active,CST000280
MEM000281,Silver,Active,CST000281
MEM000282,Gold,Active,CST000282
MEM000283,Bronze,Active,CST000283
MEM000284,Bronze,Active,CST000284
MEM000285,Platinum,Active,CST000285
MEM000286,Gold,Active,CST000286
MEM000287,Gold,Active,CST000287
MEM000288,Bronze,Inactive,CST000288
MEM000289,Bronze,Active,CST000289
MEM000290,Gold,Active,CST000290
MEM000291,Gold,Expired,CST000291
MEM000292,Platinum,Inactive,CST000292
MEM000293,Bronze,Active,CST000293
MEM000294,Diamond,Active,CST000294
MEM000295,Platinum,Active,CST000295
MEM000296,Silver,Active,CST000296
MEM000297,Silver,Active,CST000297
MEM000298,Platinum,Expired,CST000298
MEM000299,Platinum,Active,CST000299
MEM000300,Silver,Active,CST000300
MEM000301,Bronze,Expired,CST000301
MEM000302,Bronze,Active,CST000302
MEM000303,Silver,Inactive,CST000303
MEM000304,Platinum,Active,CST000304
MEM000305,Silver,Active,CST000305
MEM000306,Gold,Active,CST000306
MEM000307,Bronze,Active,CST000307
MEM000308,Bronze,Active,CST000308
MEM000309,Gold,Active,CST000309
MEM000310,Bronze,Active,CST000310
MEM000311,Platinum,Inactive,CST000311
MEM000312,Silver,Active,CST000312
MEM000313,Platinum,Active,CST000313
MEM000314,Gold,Active,CST000314
MEM000315,Silver,Active,CST000315
MEM000316,Gold,Active,CST000316
MEM000317,Gold,Active,CST000317
MEM000318,Gold,Active,CST000318
MEM000319,Diamond,Active,CST000319
MEM000320,Platinum,Active,CST000320
MEM000321,Silver,Active,CST000321
MEM000322,Bronze,Active,CST000322
MEM000323,Bronze,Active,CST000323
MEM000324,Platinum,Active,CST000324
MEM000325,Silver,Active,CST000325
MEM000326,Gold,Active,CST000326
MEM000327,Platinum,Active,CST000327
MEM000328,Bronze,Expired,CST000328
MEM000329,Silver,Inactive,CST000329
MEM000330,Gold,Active,CST000330
MEM000331,Platinum,Inactive,CST000331
MEM000332,Diamond,Expired,CST000332
MEM000333,Bronze,Inactive,CST000333
MEM000334,Bronze,Active,CST000334
MEM000335,Platinum,Active,CST000335
MEM000336,Silver,Active,CST000336
MEM000337,Silver,Active,CST000337
MEM000338,Platinum,Inactive,CST000338
MEM000339,Platinum,Active,CST000339
MEM000340,Bronze,Active,CST000340
MEM000341,Bronze,Inactive,CST000341
MEM000342,Silver,Active,CST000342
MEM000343,Silver,Active,CST000343
MEM000344,Bronze,Active,CST000344
MEM000345,Platinum,Active,CST000345
MEM000346,Bronze,Active,CST000346
MEM000347,Gold,Active,CST000347
MEM000348,Bronze,Active,CST000348
MEM000349,Platinum,Active,CST000349
MEM000350,Silver,Active,CST000350
MEM000351,Silver,Active,CST000351
MEM000352,Silver,Inactive,CST000352
MEM000353,Bronze,Active,CST000353
MEM000354,Silver,Active,CST000354
MEM000355,Bronze,Active,CST000355
MEM000356,Silver,Active,CST000356
MEM000357,Diamond,Active,CST000357
MEM000358,Diamond,Active,CST000358
MEM000359,Diamond,Active,CST000359
MEM000360,Diamond,Active,CST000360
MEM000361,Silver,Active,CST000361
MEM000362,Silver,Active,CST000362
MEM000363,Gold,Active,CST000363
MEM000364,Gold,Active,CST000364
MEM000365,Silver,Active,CST000365
MEM000366,Silver,Active,CST000366
MEM000367,Gold,Active,CST000367
MEM000368,Silver,Inactive,CST000368
MEM000369,Bronze,Active,CST000369
MEM000370,Silver,Active,CST000370
MEM000371,Bronze,Active,CST000371
MEM000372,Bronze,Active,CST000372
MEM000373,Silver,Active,CST000373
MEM000374,Platinum,Active,CST000374
MEM000375,Bronze,Active,CST000375
MEM000376,Diamond,Active,CST000376
MEM000377,Silver,Expired,CST000377
MEM000378,Gold,Active,CST000378
MEM000379,Silver,Active,CST000379
MEM000380,Silver,Inactive,CST000380
MEM000381,Bronze,Active,CST000381
MEM000382,Gold,Active,CST000382
MEM000383,Bronze,Active,CST000383
MEM000384,Platinum,Active,CST000384
MEM000385,Silver,Active,CST000385
MEM000386,Silver,Active,CST000386
MEM000387,Bronze,Active,CST000387
MEM000388,Gold,Active,CST000388
MEM000389,Silver,Active,CST000389
MEM000390,Silver,Active,CST000390
MEM000391,Platinum,Active,CST000391
MEM000392,Silver,Active,CST000392
MEM000393,Platinum,Active,CST000393
MEM000394,Silver,Inactive,CST000394
MEM000395,Silver,Active,CST000395
MEM000396,Bronze,Active,CST000396
MEM000397,Bronze,Active,CST000397
MEM000398,Bronze,Active,CST000398
MEM000399,Gold,Active,CST000399
MEM000400,Diamond,Expired,CST000400
MEM000401,Bronze,Active,CST000401
MEM000402,Silver,Active,CST000402
MEM000403,Silver,Active,CST000403
MEM000404,Gold,Active,CST000404
MEM000405,Platinum,Active,CST000405
MEM000406,Silver,Active,CST000406
MEM000407,Gold,Active,CST000407
MEM000408,Silver,Expired,CST000408
MEM000409,Silver,Active,CST000409
MEM000410,Diamond,Active,CST000410
MEM000411,Platinum,Active,CST000411
MEM000412,Diamond,Inactive,CST000412
MEM000413,Platinum,Active,CST000413
MEM000414,Bronze,Active,CST000414
MEM000415,Bronze,Active,CST000415
MEM000416,Diamond,Expired,CST000416
MEM000417,Silver,Active,CST000417
MEM000418,Silver,Active,CST000418
MEM000419,Bronze,Active,CST000419
MEM000420,Bronze,Inactive,CST000420
MEM000421,Gold,Inactive,CST000421
MEM000422,Bronze,Inactive,CST000422
MEM000423,Silver,Active,CST000423
MEM000424,Gold,Expired,CST000424
MEM000425,Platinum,Active,CST000425
MEM000426,Gold,Active,CST000426
MEM000427,Bronze,Active,CST000427
MEM000428,Bronze,Active,CST000428
MEM000429,Gold,Active,CST000429
MEM000430,Silver,Active,CST000430
MEM000431,Silver,Active,CST000431
MEM000432,Bronze,Active,CST000432
MEM000433,Silver,Active,CST000433
MEM000434,Silver,Expired,CST000434
MEM000435,Bronze,Active,CST000435
MEM000436,Bronze,Active,CST000436
MEM000437,Gold,Active,CST000437
MEM000438,Bronze,Inactive,CST000438
MEM000439,Bronze,Active,CST000439
MEM000440,Bronze,Active,CST000440
MEM000441,Bronze,Active,CST000441
MEM000442,Silver,Active,CST000442
MEM000443,Silver,Active,CST000443
MEM000444,Silver,Active,CST000444
MEM000445,Bronze,Expired,CST000445
MEM000446,Gold,Active,CST000446
MEM000447,Gold,Active,CST000447
MEM000448,Bronze,Active,CST000448
MEM000449,Bronze,Active,CST000449
MEM000450,Bronze,Expired,CST000450
MEM000451,Platinum,Active,CST000451
MEM000452,Silver,Active,CST000452
MEM000453,Silver,Active,CST000453
MEM000454,Bronze,Active,CST000454
MEM000455,Gold,Active,CST000455
MEM000456,Silver,Expired,CST000456
MEM000457,Gold,Active,CST000457
MEM000458,Silver,Inactive,CST000458
MEM000459,Bronze,Active,CST000459
MEM000460,Silver,Active,CST000460
MEM000461,Gold,Active,CST000461
MEM000462,Silver,Active,CST000462
MEM000463,Bronze,Inactive,CST000463
MEM000464,Silver,Expired,CST000464
MEM000465,Silver,Expired,CST000465
MEM000466,Bronze,Active,CST000466
MEM000467,Silver,Active,CST000467
MEM000468,Gold,Active,CST000468
MEM000469,Gold,Active,CST000469
MEM000470,Bronze,Active,CST000470
MEM000471,Bronze,Active,CST000471
MEM000472,Bronze,Active,CST000472
MEM000473,Silver,Active,CST000473
MEM000474,Bronze,Active,CST000474
MEM000475,Silver,Active,CST000475
MEM000476,Platinum,Active,CST000476
MEM000477,Silver,Active,CST000477
MEM000478,Silver,Active,CST000478
MEM000479,Bronze,Inactive,CST000479
MEM000480,Gold,Active,CST000480
MEM000481,Bronze,Active,CST000481
MEM000482,Silver,Active,CST000482
MEM000483,Gold,Active,CST000483
MEM000484,Gold,Active,CST000484
MEM000485,Silver,Active,CST000485
MEM000486,Silver,Active,CST000486
MEM000487,Diamond,Active,CST000487
MEM000488,Bronze,Inactive,CST000488
MEM000489,Bronze,Inactive,CST000489
MEM000490,Bronze,Active,CST000490
MEM000491,Gold,Active,CST000491
MEM000492,Silver,Expired,CST000492
MEM000493,Gold,Inactive,CST000493
MEM000494,Platinum,Active,CST000494
MEM000495,Silver,Active,CST000495
MEM000496,Silver,Active,CST000496
MEM000497,Bronze,Active,CST000497
MEM000498,Silver,Expired,CST000498
MEM000499,Bronze,Active,CST000499
MEM000500,Silver,Active,CST000500
MEM000501,Silver,Expired,CST000501
MEM000502,Silver,Active,CST000502
MEM000503,Silver,Active,CST000503
MEM000504,Silver,Inactive,CST000504
MEM000505,Gold,Active,CST000505
MEM000506,Bronze,Active,CST000506
MEM000507,Bronze,Active,CST000507
MEM000508,Platinum,Active,CST000508
MEM000509,Bronze,Active,CST000509
MEM000510,Silver,Active,CST000510
MEM000511,Bronze,Inactive,CST000511
MEM000512,Bronze,Active,CST000512
MEM000513,Bronze,Active,CST000513
MEM000514,Bronze,Active,CST000514
MEM000515,Platinum,Active,CST000515
MEM000516,Silver,Active,CST000516
MEM000517,Platinum,Inactive,CST000517
MEM000518,Bronze,Expired,CST000518
MEM000519,Silver,Active,CST000519
MEM000520,Silver,Active,CST000520
MEM000521,Bronze,Inactive,CST000521
MEM000522,Bronze,Active,CST000522
MEM000523,Silver,Active,CST000523
MEM000524,Diamond,Active,CST000524
MEM000525,Bronze,Active,CST000525
MEM000526,Silver,Active,CST000526
MEM000527,Bronze,Active,CST000527
MEM000528,Gold,Active,CST000528
MEM000529,Diamond,Inactive,CST000529
MEM000530,Gold,Active,CST000530
MEM000531,Silver,Active,CST000531
MEM000532,Bronze,Active,CST000532
MEM000533,Silver,Active,CST000533
MEM000534,Silver,Active,CST000534
MEM000535,Bronze,Inactive,CST000535
MEM000536,Platinum,Inactive,CST000536
MEM000537,Gold,Active,CST000537
MEM000538,Gold,Expired,CST000538
MEM000539,Silver,Active,CST000539
MEM000540,Platinum,Active,CST000540
MEM000541,Silver,Active,CST000541
MEM000542,Silver,Active,CST000542
MEM000543,Silver,Active,CST000543
MEM000544,Bronze,Inactive,CST000544
MEM000545,Silver,Active,CST000545
MEM000546,Silver,Inactive,CST000546
MEM000547,Bronze,Inactive,CST000547
MEM000548,Silver,Active,CST000548
MEM000549,Silver,Active,CST000549
MEM000550,Silver,Active,CST000550
MEM000551,Bronze,Active,CST000551
MEM000552,Platinum,Inactive,CST000552
MEM000553,Bronze,Inactive,CST000553
MEM000554,Silver,Active,CST000554
MEM000555,Silver,Active,CST000555
MEM000556,Gold,Active,CST000556
MEM000557,Platinum,Active,CST000557
MEM000558,Bronze,Active,CST000558
MEM000559,Gold,Active,CST000559
MEM000560,Bronze,Active,CST000560
MEM000561,Silver,Active,CST000561
MEM000562,Silver,Active,CST000562
MEM000563,Bronze,Active,CST000563
MEM000564,Silver,Expired,CST000564
MEM000565,Bronze,Active,CST000565
MEM000566,Bronze,Active,CST000566
MEM000567,Silver,Active,CST000567
MEM000568,Silver,Active,CST000568
MEM000569,Silver,Active,CST000569
MEM000570,Silver,Active,CST000570
MEM000571,Gold,Expired,CST000571
MEM000572,Platinum,Active,CST000572
MEM000573,Gold,Active,CST000573
MEM000574,Silver,Active,CST000574
MEM000575,Silver,Inactive,CST000575
MEM000576,Gold,Active,CST000576
MEM000577,Bronze,Active,CST000577
MEM000578,Bronze,Active,CST000578
MEM000579,Bronze,Inactive,CST000579
MEM000580,Gold,Active,CST000580
MEM000581,Bronze,Active,CST000581
MEM000582,Bronze,Active,CST000582
MEM000583,Platinum,Active,CST000583
MEM000584,Bronze,Active,CST000584
MEM000585,Bronze,Active,CST000585
MEM000586,Bronze,Inactive,CST000586
MEM000587,Bronze,Active,CST000587
MEM000588,Bronze,Active,CST000588
MEM000589,Bronze,Active,CST000589
MEM000590,Platinum,Active,CST000590
MEM000591,Gold,Active,CST000591
MEM000592,Gold,Active,CST000592
MEM000593,Bronze,Inactive,CST000593
MEM000594,Bronze,Active,CST000594
MEM000595,Silver,Active,CST000595
MEM000596,Bronze,Active,CST000596
MEM000597,Bronze,Active,CST000597
MEM000598,Bronze,Inactive,CST000598
MEM000599,Silver,Active,CST000599
MEM000600,Gold,Inactive,CST000600
MEM000601,Bronze,Active,CST000601
MEM000602,Gold,Active,CST000602
MEM000603,Bronze,Expired,CST000603
MEM000604,Platinum,Inactive,CST000604
MEM000605,Platinum,Active,CST000605
MEM000606,Silver,Inactive,CST000606
MEM000607,Silver,Active,CST000607
MEM000608,Bronze,Expired,CST000608
MEM000609,Silver,Inactive,CST000609
MEM000610,Bronze,Active,CST000610
MEM000611,Platinum,Active,CST000611
MEM000612,Platinum,Active,CST000612
MEM000613,Silver,Active,CST000613
MEM000614,Bronze,Active,CST000614
MEM000615,Diamond,Active,CST000615
MEM000616,Bronze,Active,CST000616
MEM000617,Silver,Active,CST000617
MEM000618,Gold,Inactive,CST000618
MEM000619,Bronze,Active,CST000619
MEM000620,Silver,Active,CST000620
MEM000621,Diamond,Inactive,CST000621
MEM000622,Diamond,Active,CST000622
MEM000623,Bronze,Inactive,CST000623
MEM000624,Silver,Active,CST000624
MEM000625,Bronze,Inactive,CST000625
MEM000626,Gold,Active,CST000626
MEM000627,Bronze,Active,CST000627
MEM000628,Diamond,Active,CST000628
MEM000629,Gold,Active,CST000629
MEM000630,Silver,Active,CST000630
MEM000631,Platinum,Active,CST000631
MEM000632,Silver,Expired,CST000632
MEM000633,Silver,Active,CST000633
MEM000634,Platinum,Inactive,CST000634
MEM000635,Silver,Active,CST000635
MEM000636,Gold,Active,CST000636
MEM000637,Bronze,Active,CST000637
MEM000638,Bronze,Active,CST000638
MEM000639,Platinum,Active,CST000639
MEM000640,Gold,Active,CST000640
MEM000641,Gold,Inactive,CST000641
MEM000642,Platinum,Active,CST000642
MEM000643,Silver,Expired,CST000643
MEM000644,Platinum,Active,CST000644
MEM000645,Bronze,Active,CST000645
MEM000646,Bronze,Active,CST000646
MEM000647,Silver,Active,CST000647
MEM000648,Silver,Active,CST000648
MEM000649,Silver,Active,CST000649
MEM000650,Bronze,Active,CST000650
MEM000651,Silver,Active,CST000651
MEM000652,Bronze,Inactive,CST000652
MEM000653,Silver,Active,CST000653
MEM000654,Bronze,Active,CST000654
MEM000655,Gold,Active,CST000655
MEM000656,Bronze,Inactive,CST000656
MEM000657,Gold,Active,CST000657
MEM000658,Gold,Inactive,CST000658
MEM000659,Silver,Active,CST000659
MEM000660,Platinum,Inactive,CST000660
MEM000661,Silver,Active,CST000661
MEM000662,Gold,Active,CST000662
MEM000663,Silver,Active,CST000663
MEM000664,Silver,Active,CST000664
MEM000665,Bronze,Active,CST000665
MEM000666,Bronze,Active,CST000666
MEM000667,Platinum,Active,CST000667
MEM000668,Bronze,Active,CST000668
MEM000669,Diamond,Active,CST000669
MEM000670,Bronze,Active,CST000670
MEM000671,Platinum,Active,CST000671
MEM000672,Bronze,Active,CST000672
MEM000673,Gold,Active,CST000673
MEM000674,Silver,Active,CST000674
MEM000675,Bronze,Expired,CST000675
MEM000676,Diamond,Active,CST000676
MEM000677,Platinum,Active,CST000677
MEM000678,Silver,Active,CST000678
MEM000679,Gold,Active,CST000679
MEM000680,Bronze,Active,CST000680
MEM000681,Diamond,Expired,CST000681
MEM000682,Gold,Active,CST000682
MEM000683,Bronze,Active,CST000683
MEM000684,Bronze,Active,CST000684
MEM000685,Silver,Active,CST000685
MEM000686,Bronze,Active,CST000686
MEM000687,Silver,Active,CST000687
MEM000688,Gold,Active,CST000688
MEM000689,Bronze,Inactive,CST000689
MEM000690,Silver,Active,CST000690
MEM000691,Silver,Active,CST000691
MEM000692,Gold,Active,CST000692
MEM000693,Silver,Active,CST000693
MEM000694,Silver,Active,CST000694
MEM000695,Platinum,Expired,CST000695
MEM000696,Silver,Active,CST000696
MEM000697,Silver,Active,CST000697
MEM000698,Bronze,Active,CST000698
MEM000699,Gold,Active,CST000699
MEM000700,Gold,Active,CST000700
MEM000701,Bronze,Active,CST000701
MEM000702,Diamond,Active,CST000702
MEM000703,Platinum,Active,CST000703
MEM000704,Gold,Expired,CST000704
MEM000705,Gold,Active,CST000705
MEM000706,Gold,Active,CST000706
MEM000707,Bronze,Expired,CST000707
MEM000708,Diamond,Active,CST000708
MEM000709,Silver,Active,CST000709
MEM000710,Silver,Active,CST000710
MEM000711,Gold,Active,CST000711
MEM000712,Bronze,Active,CST000712
MEM000713,Silver,Inactive,CST000713
MEM000714,Silver,Active,CST000714
MEM000715,Silver,Active,CST000715
MEM000716,Silver,Active,CST000716
MEM000717,Gold,Inactive,CST000717
MEM000718,Silver,Active,CST000718
MEM000719,Silver,Active,CST000719
MEM000720,Platinum,Active,CST000720
MEM000721,Bronze,Active,CST000721
MEM000722,Bronze,Active,CST000722
MEM000723,Platinum,Inactive,CST000723
MEM000724,Bronze,Active,CST000724
MEM000725,Silver,Active,CST000725
MEM000726,Silver,Inactive,CST000726
MEM000727,Gold,Inactive,CST000727
MEM000728,Bronze,Active,CST000728
MEM000729,Bronze,Active,CST000729
MEM000730,Gold,Inactive,CST000730
MEM000731,Bronze,Active,CST000731
MEM000732,Bronze,Active,CST000732
MEM000733,Silver,Active,CST000733
MEM000734,Bronze,Expired,CST000734
MEM000735,Silver,Active,CST000735
MEM000736,Gold,Active,CST000736
MEM000737,Bronze,Active,CST000737
MEM000738,Silver,Active,CST000738
