Receipt_ID,Receipt_DateTime,Quantity,TotalPrice,ChangeDue,TAX_Rate,Payment_ID
RCP000073,2025-07-31 13:41:00,3,58211.91,0.0,0.07,PAY000073
RCP000074,2025-02-20 21:22:00,4,9220.28,100.0,0.07,PAY000074
RCP000075,2024-05-23 10:40:00,4,58368.01,50.0,0.07,PAY000075
RCP000076,2025-03-13 13:44:00,2,37853.61,0.0,0.07,PAY000076
RCP000077,2025-02-26 14:38:00,3,117057.21,200.0,0.07,PAY000077
RCP000078,2023-06-06 18:51:00,5,67617.32,50.0,0.07,PAY000078
RCP000079,2022-01-05 16:35:00,1,32462.87,0.0,0.07,PAY000079
RCP000080,2024-11-08 16:43:00,1,35180.33,200.0,0.07,PAY000080
RCP000081,2025-07-22 20:12:00,4,30168.3,0.0,0.07,PAY000081
RCP000082,2022-03-17 19:32:00,5,86674.85,0.0,0.07,PAY000082
RCP000083,2023-06-24 20:16:00,4,119518.34,0.0,0.07,PAY000083
RCP000084,2022-05-15 11:19:00,3,59935.75,100.0,0.07,PAY000084
RCP000085,2023-02-10 16:26:00,5,55139.06,0.0,0.07,PAY000085
RCP000086,2023-02-07 21:07:00,3,6314.65,0.0,0.07,PAY000086
RCP000087,2025-10-21 13:17:00,4,34646.93,0.0,0.07,PAY000087
RCP000088,2025-02-04 13:56:00,4,16505.23,50.0,0.07,PAY000088
RCP000089,2023-05-11 08:32:00,4,44229.51,200.0,0.07,PAY000089
RCP000090,2022-07-09 09:19:00,5,23761.31,100.0,0.07,PAY000090
RCP000091,2022-02-08 11:11:00,4,60758.54,0.0,0.07,PAY000091
RCP000092,2023-09-19 17:27:00,5,81807.64,200.0,0.07,PAY000092
RCP000093,2025-03-14 14:32:00,1,47571.49,100.0,0.07,PAY000093
RCP000094,2025-08-21 12:37:00,3,90718.34,0.0,0.07,PAY000094
RCP000095,2023-10-31 15:35:00,4,60259.31,0.0,0.07,PAY000095
RCP000096,2022-08-22 15:24:00,3,96573.92,200.0,0.07,PAY000096
RCP000097,2023-01-04 13:03:00,5,107229.24,200.0,0.07,PAY000097
RCP000098,2024-11-24 16:51:00,5,38564.34,500.0,0.07,PAY000098
RCP000099,2022-08-31 08:47:00,3,71450.1,50.0,0.07,PAY000099
RCP000100,2023-05-03 14:14:00,5,59036.67,50.0,0.07,PAY000100
RCP000101,2024-01-12 10:58:00,1,44518.76,500.0,0.07,PAY000101
RCP000102,2022-02-23 20:29:00,4,70252.41,50.0,0.07,PAY000102
RCP000103,2022-09-23 20:57:00,5,57213.53,100.0,0.07,PAY000103
RCP000104,2024-11-02 09:02:00,5,69527.31,0.0,0.07,PAY000104
RCP000105,2025-01-22 08:38:00,2,63145.76,200.0,0.07,PAY000105
RCP000106,2023-12-30 21:35:00,4,18159.2,200.0,0.07,PAY000106
RCP000107,2022-01-29 14:32:00,5,113810.52,500.0,0.07,PAY000107
RCP000108,2022-07-29 20:29:00,4,37986.25,200.0,0.07,PAY000108
RCP000109,2025-03-13 08:00:00,2,49540.1,0.0,0.07,PAY000109
RCP000110,2024-05-07 21:01:00,1,84840.14,100.0,0.07,PAY000110
RCP000111,2023-09-09 08:26:00,3,119775.68,100.0,0.07,PAY000111
RCP000112,2025-05-16 12:15:00,3,114823.92,500.0,0.07,PAY000112
RCP000113,2023-04-11 20:23:00,3,65779.65,100.0,0.07,PAY000113
RCP000114,2022-04-03 08:50:00,3,73404.15,0.0,0.07,PAY000114
RCP000115,2024-12-30 14:07:00,3,67191.35,200.0,0.07,PAY000115
RCP000116,2023-12-11 12:25:00,3,92655.33,200.0,0.07,PAY000116
RCP000117,2023-09-19 18:03:00,4,38386.37,200.0,0.07,PAY000117
RCP000118,2022-02-12 18:23:00,3,34890.83,0.0,0.07,PAY000118
RCP000119,2022-10-04 13:45:00,4,107543.38,50.0,0.07,PAY000119
RCP000120,2022-05-28 15:55:00,2,35209.09,50.0,0.07,PAY000120
RCP000121,2024-09-27 08:22:00,1,41890.44,0.0,0.07,PAY000121
RCP000122,2024-05-29 12:10:00,4,26071.42,200.0,0.07,PAY000122
RCP000123,2024-10-21 15:40:00,5,83692.47,50.0,0.07,PAY000123
RCP000124,2022-05-26 17:54:00,5,29094.21,200.0,0.07,PAY000124
RCP000125,2023-06-20 16:00:00,5,27467.76,50.0,0.07,PAY000125
RCP000126,2024-08-09 08:59:00,4,39970.09,0.0,0.07,PAY000126
RCP000127,2024-02-19 19:32:00,2,1119.18,0.0,0.07,PAY000127
RCP000128,2023-04-02 14:59:00,2,49125.44,100.0,0.07,PAY000128
RCP000129,2022-05-12 18:57:00,2,90831.37,50.0,0.07,PAY000129
RCP000130,2025-05-17 16:40:00,1,108998.47,0.0,0.07,PAY000130
RCP000131,2023-06-18 13:17:00,2,64450.7,0.0,0.07,PAY000131
RCP000132,2024-07-31 12:34:00,2,50437.26,0.0,0.07,PAY000132
RCP000133,2024-12-20 10:53:00,1,119662.03,0.0,0.07,PAY000133
RCP000134,2024-11-08 12:30:00,2,112424.75,0.0,0.07,PAY000134
RCP000135,2025-03-20 14:28:00,1,36157.87,0.0,0.07,PAY000135
RCP000136,2025-04-16 11:00:00,3,34505.12,0.0,0.07,PAY000136
RCP000137,2022-12-01 13:01:00,4,106766.57,200.0,0.07,PAY000137
RCP000138,2025-01-29 17:20:00,4,33104.03,200.0,0.07,PAY000138
RCP000139,2023-11-10 19:46:00,4,77970.1,0.0,0.07,PAY000139
RCP000140,2024-10-03 15:27:00,3,94996.74,50.0,0.07,PAY000140
RCP000141,2024-11-26 08:01:00,2,21471.64,0.0,0.07,PAY000141
RCP000142,2023-05-24 15:31:00,4,62076.04,50.0,0.07,PAY000142
RCP000143,2025-10-28 20:30:00,1,22581.35,0.0,0.07,PAY000143
RCP000144,2022-05-24 10:18:00,2,1316.2,0.0,0.07,PAY000144
RCP000145,2025-08-17 12:27:00,3,114507.16,0.0,0.07,PAY000145
RCP000146,2022-06-28 15:50:00,5,1866.57,200.0,0.07,PAY000146
RCP000147,2023-04-02 08:29:00,2,7923.86,100.0,0.07,PAY000147
RCP000148,2022-01-14 12:26:00,2,48947.29,100.0,0.07,PAY000148
RCP000149,2024-05-16 19:31:00,3,82989.7,200.0,0.07,PAY000149
RCP000150,2024-01-13 08:40:00,3,44421.5,200.0,0.07,PAY000150
RCP000151,2023-05-15 17:38:00,2,57642.74,0.0,0.07,PAY000151
RCP000152,2023-03-06 15:25:00,5,45148.17,0.0,0.07,PAY000152
RCP000153,2025-08-15 09:24:00,4,91003.39,0.0,0.07,PAY000153
RCP000154,2025-11-06 09:38:00,2,81800.86,200.0,0.07,PAY000154
RCP000155,2022-01-18 15:48:00,1,63298.05,100.0,0.07,PAY000155
RCP000156,2022-05-19 11:24:00,1,110110.74,0.0,0.07,PAY000156
RCP000157,2024-05-16 15:30:00,5,108395.14,200.0,0.07,PAY000157
RCP000158,2024-08-07 13:04:00,2,20162.19,0.0,0.07,PAY000158
RCP000159,2023-01-11 18:49:00,2,86171.7,100.0,0.07,PAY000159
RCP000160,2023-01-15 19:57:00,5,53735.18,50.0,0.07,PAY000160
RCP000161,2022-02-21 13:54:00,5,50143.24,200.0,0.07,PAY000161
RCP000162,2023-09-15 19:14:00,4,80895.74,500.0,0.07,PAY000162
RCP000163,2022-07-17 18:19:00,4,30907.64,500.0,0.07,PAY000163
RCP000164,2024-08-22 14:30:00,5,9227.03,0.0,0.07,PAY000164
RCP000165,2022-09-02 09:07:00,1,65169.04,0.0,0.07,PAY000165
RCP000166,2024-07-04 09:39:00,1,118343.4,500.0,0.07,PAY000166
RCP000167,2025-12-25 19:06:00,4,22007.77,0.0,0.07,PAY000167
RCP000168,2022-03-09 18:27:00,4,45248.08,100.0,0.07,PAY000168
RCP000169,2024-10-06 11:02:00,4,45389.64,0.0,0.07,PAY000169
RCP000170,2024-07-15 14:41:00,5,16392.28,100.0,0.07,PAY000170
RCP000171,2025-12-01 13:21:00,5,47470.51,500.0,0.07,PAY000171
RCP000172,2025-04-17 13:43:00,2,100261.18,100.0,0.07,PAY000172
RCP000173,2023-08-24 13:48:00,4,80983.23,0.0,0.07,PAY000173
RCP000174,2023-12-17 08:35:00,4,98891.57,0.0,0.07,PAY000174
RCP000175,2025-12-01 17:24:00,2,33440.14,0.0,0.07,PAY000175
RCP000176,2024-04-08 13:35:00,4,73983.32,0.0,0.07,PAY000176
RCP000177,2023-05-05 14:24:00,1,12557.16,0.0,0.07,PAY000177
RCP000178,2023-06-06 12:00:00,1,29745.73,0.0,0.07,PAY000178
RCP000179,2024-02-13 08:44:00,2,65001.3,200.0,0.07,PAY000179
RCP000180,2024-05-11 20:36:00,3,28482.3,50.0,0.07,PAY000180
RCP000181,2023-09-20 12:04:00,5,92818.32,100.0,0.07,PAY000181
RCP000182,2023-08-13 21:30:00,2,118290.62,200.0,0.07,PAY000182
RCP000183,2025-07-16 11:23:00,3,33380.89,0.0,0.07,PAY000183
RCP000184,2025-11-19 11:13:00,2,75306.18,0.0,0.07,PAY000184
RCP000185,2023-07-18 20:37:00,1,116688.68,500.0,0.07,PAY000185
RCP000186,2024-03-25 09:43:00,5,38588.77,200.0,0.07,PAY000186
RCP000187,2024-03-30 15:00:00,3,45486.99,200.0,0.07,PAY000187
RCP000188,2023-03-04 15:11:00,2,36438.0,200.0,0.07,PAY000188
RCP000189,2023-09-27 13:27:00,4,109811.57,200.0,0.07,PAY000189
RCP000190,2022-08-04 19:36:00,4,67095.77,0.0,0.07,PAY000190
RCP000191,2025-05-04 19:56:00,3,24798.74,0.0,0.07,PAY000191
RCP000192,2023-07-22 14:29:00,4,101732.44,0.0,0.07,PAY000192
RCP000193,2025-11-05 11:59:00,2,6658.63,0.0,0.07,PAY000193
RCP000194,2022-04-10 10:35:00,5,5225.93,0.0,0.07,PAY000194
RCP000195,2022-08-14 17:10:00,5,87054.48,100.0,0.07,PAY000195
RCP000196,2023-10-15 10:59:00,2,104402.13,0.0,0.07,PAY000196
RCP000197,2022-01-13 17:43:00,1,25811.03,0.0,0.07,PAY000197
RCP000198,2023-08-26 14:36:00,1,89752.07,0.0,0.07,PAY000198
RCP000199,2023-04-17 18:52:00,5,84600.35,0.0,0.07,PAY000199
RCP000200,2025-11-01 15:48:00,5,38932.99,0.0,0.07,PAY000200
RCP000201,2022-12-05 21:58:00,5,78022.2,500.0,0.07,PAY000201
RCP000202,2023-04-06 21:18:00,5,105996.03,50.0,0.07,PAY000202
RCP000203,2022-04-19 16:30:00,4,91514.66,500.0,0.07,PAY000203
RCP000204,2024-06-09 08:39:00,3,37894.18,500.0,0.07,PAY000204
RCP000205,2022-12-27 15:13:00,2,89079.66,0.0,0.07,PAY000205
RCP000206,2022-11-18 14:56:00,5,69707.58,500.0,0.07,PAY000206
RCP000207,2022-02-15 17:53:00,2,39918.9,50.0,0.07,PAY000207
RCP000208,2025-06-08 17:43:00,2,60166.53,500.0,0.07,PAY000208
RCP000209,2024-04-29 19:57:00,3,31250.55,0.0,0.07,PAY000209
RCP000210,2025-01-25 17:41:00,4,55569.07,0.0,0.07,PAY000210
RCP000211,2023-07-16 17:28:00,5,58853.8,0.0,0.07,PAY000211
RCP000212,2024-01-06 21:08:00,1,63111.36,0.0,0.07,PAY000212
RCP000213,2025-02-25 19:54:00,1,91838.49,0.0,0.07,PAY000213
RCP000214,2024-12-21 08:54:00,2,8622.17,0.0,0.07,PAY000214
RCP000215,2024-02-04 16:59:00,5,54993.15,100.0,0.07,PAY000215
RCP000216,2022-11-04 21:14:00,5,109573.8,0.0,0.07,PAY000216
RCP000217,2022-12-28 21:51:00,1,64099.39,100.0,0.07,PAY000217
RCP000218,2024-11-18 14:20:00,5,86802.03,500.0,0.07,PAY000218
RCP000219,2025-01-07 14:54:00,1,60514.82,0.0,0.07,PAY000219
RCP000220,2025-03-26 11:51:00,2,13288.46,0.0,0.07,PAY000220
RCP000221,2023-09-08 11:10:00,2,23435.88,50.0,0.07,PAY000221
RCP000222,2025-05-05 13:25:00,3,32445.31,100.0,0.07,PAY000222
RCP000223,2023-03-25 12:56:00,4,55350.23,100.0,0.07,PAY000223
RCP000224,2022-08-16 14:38:00,2,36346.97,0.0,0.07,PAY000224
RCP000225,2025-07-15 17:50:00,1,11673.31,100.0,0.07,PAY000225
RCP000226,2023-02-06 09:00:00,4,7205.74,50.0,0.07,PAY000226
RCP000227,2023-05-09 09:42:00,1,60233.08,0.0,0.07,PAY000227
RCP000228,2022-05-11 18:16:00,3,68119.87,0.0,0.07,PAY000228
RCP000229,2023-08-01 08:46:00,1,27957.1,500.0,0.07,PAY000229
RCP000230,2025-08-14 09:11:00,4,32895.86,0.0,0.07,PAY000230
RCP000231,2024-11-21 10:03:00,3,107967.74,200.0,0.07,PAY000231
RCP000232,2023-07-04 09:55:00,2,111487.58,100.0,0.07,PAY000232
RCP000233,2025-06-05 09:15:00,2,70650.81,0.0,0.07,PAY000233
RCP000234,2023-11-26 18:05:00,1,36263.59,0.0,0.07,PAY000234
RCP000235,2022-07-29 18:21:00,4,81405.68,0.0,0.07,PAY000235
RCP000236,2025-06-27 15:13:00,2,94964.52,0.0,0.07,PAY000236
RCP000237,2024-03-14 14:48:00,5,89582.06,500.0,0.07,PAY000237
RCP000238,2024-03-07 13:07:00,4,28241.21,200.0,0.07,PAY000238
RCP000239,2025-01-06 10:06:00,5,114605.58,0.0,0.07,PAY000239
RCP000240,2023-07-05 09:27:00,3,4040.27,0.0,0.07,PAY000240
RCP000241,2022-02-13 11:31:00,4,59127.11,0.0,0.07,PAY000241
RCP000242,2024-10-31 18:33:00,4,52105.83,50.0,0.07,PAY000242
RCP000243,2022-12-24 13:21:00,4,10740.45,0.0,0.07,PAY000243
RCP000244,2025-07-02 18:33:00,2,85716.47,200.0,0.07,PAY000244
RCP000245,2022-10-05 10:37:00,4,85545.42,500.0,0.07,PAY000245
RCP000246,2024-11-27 09:43:00,4,38343.05,0.0,0.07,PAY000246
RCP000247,2022-01-17 19:56:00,3,53645.94,100.0,0.07,PAY000247
RCP000248,2025-09-07 17:33:00,1,22893.32,0.0,0.07,PAY000248
RCP000249,2022-05-11 08:12:00,5,49261.28,0.0,0.07,PAY000249
RCP000250,2024-01-30 09:12:00,5,11621.18,0.0,0.07,PAY000250
RCP000251,2024-11-19 16:37:00,4,1974.7,100.0,0.07,PAY000251
RCP000252,2024-05-14 14:54:00,1,87118.84,0.0,0.07,PAY000252
RCP000253,2023-07-22 09:39:00,2,68849.27,50.0,0.07,PAY000253
RCP000254,2024-02-09 16:18:00,2,17091.39,0.0,0.07,PAY000254
RCP000255,2025-07-26 17:41:00,2,8060.42,0.0,0.07,PAY000255
RCP000256,2024-03-21 12:02:00,3,58365.64,0.0,0.07,PAY000256
RCP000257,2025-02-22 13:09:00,2,86647.48,50.0,0.07,PAY000257
RCP000258,2025-01-09 12:49:00,2,55214.47,50.0,0.07,PAY000258
RCP000259,2024-09-29 18:36:00,4,40199.96,50.0,0.07,PAY000259
RCP000260,2024-10-13 20:11:00,3,53106.64,100.0,0.07,PAY000260
RCP000261,2022-10-28 17:20:00,5,16766.87,50.0,0.07,PAY000261
RCP000262,2025-12-25 14:32:00,2,57741.66,100.0,0.07,PAY000262
RCP000263,2022-04-06 17:47:00,3,35328.05,100.0,0.07,PAY000263
RCP000264,2022-10-30 19:08:00,5,93945.94,50.0,0.07,PAY000264
RCP000265,2025-01-10 13:40:00,4,44119.36,100.0,0.07,PAY000265
RCP000266,2023-01-19 20:51:00,5,22001.3,0.0,0.07,PAY000266
RCP000267,2022-03-04 15:57:00,4,113185.5,200.0,0.07,PAY000267
RCP000268,2023-11-17 20:00:00,3,99838.18,0.0,0.07,PAY000268
RCP000269,2025-05-12 10:06:00,4,80920.83,50.0,0.07,PAY000269
RCP000270,2022-04-28 14:55:00,2,30695.46,50.0,0.07,PAY000270
RCP000271,2024-06-16 21:28:00,4,9338.83,0.0,0.07,PAY000271
RCP000272,2022-02-09 09:56:00,4,64356.9,200.0,0.07,PAY000272
RCP000273,2024-04-24 20:25:00,1,94991.15,0.0,0.07,PAY000273
RCP000274,2025-03-13 09:13:00,5,71461.48,0.0,0.07,PAY000274
RCP000275,2025-02-06 09:59:00,2,79083.4,0.0,0.07,PAY000275
RCP000276,2024-07-18 18:13:00,5,5793.45,200.0,0.07,PAY000276
RCP000277,2022-09-19 17:15:00,4,116033.93,0.0,0.07,PAY000277
RCP000278,2025-10-10 14:08:00,4,13160.37,0.0,0.07,PAY000278
RCP000279,2024-11-27 19:44:00,5,89748.94,0.0,0.07,PAY000279
RCP000280,2025-12-28 17:06:00,5,26913.29,0.0,0.07,PAY000280
RCP000281,2023-07-19 18:42:00,5,83007.26,0.0,0.07,PAY000281
RCP000282,2025-10-31 17:37:00,1,58191.14,50.0,0.07,PAY000282
RCP000283,2024-02-19 18:35:00,1,14370.29,0.0,0.07,PAY000283
RCP000284,2024-08-08 08:08:00,3,54912.25,200.0,0.07,PAY000284
RCP000285,2025-06-13 19:20:00,3,57401.42,0.0,0.07,PAY000285
RCP000286,2025-08-29 09:24:00,4,38609.68,0.0,0.07,PAY000286
RCP000287,2025-09-05 13:52:00,1,3198.92,50.0,0.07,PAY000287
RCP000288,2022-03-09 20:24:00,2,111625.73,500.0,0.07,PAY000288
RCP000289,2025-11-06 20:27:00,5,19636.22,0.0,0.07,PAY000289
RCP000290,2024-07-11 14:56:00,4,28206.74,500.0,0.07,PAY000290
RCP000291,2025-03-18 11:54:00,2,77037.23,500.0,0.07,PAY000291
RCP000292,2023-06-17 20:55:00,5,106030.14,200.0,0.07,PAY000292
RCP000293,2023-01-09 12:50:00,4,1031.78,0.0,0.07,PAY000293
RCP000294,2023-11-09 13:53:00,1,69493.07,0.0,0.07,PAY000294
RCP000295,2024-08-31 09:02:00,3,24050.38,50.0,0.07,PAY000295
RCP000296,2025-05-27 10:56:00,4,63561.94,500.0,0.07,PAY000296
RCP000297,2023-09-22 08:04:00,4,73551.36,200.0,0.07,PAY000297
RCP000298,2024-08-15 13:30:00,3,101539.38,200.0,0.07,PAY000298
RCP000299,2024-03-20 08:58:00,3,110282.57,0.0,0.07,PAY000299
RCP000300,2022-11-27 16:56:00,2,37925.7,0.0,0.07,PAY000300
RCP000301,2023-10-28 08:44:00,2,45110.08,100.0,0.07,PAY000301
RCP000302,2022-07-20 20:09:00,4,71772.89,500.0,0.07,PAY000302
RCP000303,2023-02-19 15:15:00,2,58657.09,200.0,0.07,PAY000303
RCP000304,2024-08-14 09:53:00,2,66812.05,0.0,0.07,PAY000304
RCP000305,2025-08-11 11:44:00,2,38092.31,0.0,0.07,PAY000305
RCP000306,2025-08-11 17:55:00,3,114245.11,500.0,0.07,PAY000306
RCP000307,2022-03-08 12:48:00,4,115677.58,0.0,0.07,PAY000307
RCP000308,2022-09-15 08:55:00,4,82321.25,0.0,0.07,PAY000308
RCP000309,2025-01-29 21:27:00,4,58899.59,200.0,0.07,PAY000309
RCP000310,2025-01-29 18:47:00,2,35404.74,500.0,0.07,PAY000310
RCP000311,2022-10-03 17:04:00,3,20600.97,0.0,0.07,PAY000311
RCP000312,2024-09-22 10:02:00,4,66192.28,0.0,0.07,PAY000312
RCP000313,2025-02-02 17:19:00,3,93126.01,0.0,0.07,PAY000313
RCP000314,2024-07-06 19:10:00,1,91320.49,100.0,0.07,PAY000314
RCP000315,2024-11-25 16:46:00,4,12738.76,50.0,0.07,PAY000315
RCP000316,2025-02-19 15:00:00,3,105039.78,500.0,0.07,PAY000316
RCP000317,2022-12-12 15:33:00,3,103532.86,0.0,0.07,PAY000317
RCP000318,2023-08-31 20:47:00,1,93187.98,50.0,0.07,PAY000318
RCP000319,2023-10-12 18:47:00,5,82851.46,0.0,0.07,PAY000319
RCP000320,2023-07-07 16:37:00,4,20334.8,100.0,0.07,PAY000320
RCP000321,2023-12-05 08:31:00,2,96750.14,0.0,0.07,PAY000321
RCP000322,2025-06-04 10:33:00,3,71824.49,500.0,0.07,PAY000322
RCP000323,2024-08-24 10:30:00,3,35075.32,100.0,0.07,PAY000323
RCP000324,2024-03-25 18:27:00,5,118265.85,100.0,0.07,PAY000324
RCP000325,2024-11-19 19:24:00,2,115551.25,500.0,0.07,PAY000325
RCP000326,2023-04-23 20:51:00,3,104112.19,0.0,0.07,PAY000326
RCP000327,2023-03-22 12:11:00,2,30336.43,0.0,0.07,PAY000327
RCP000328,2025-05-26 15:11:00,2,91496.09,100.0,0.07,PAY000328
RCP000329,2025-06-23 16:23:00,2,69502.35,0.0,0.07,PAY000329
RCP000330,2022-12-27 21:47:00,4,54513.01,0.0,0.07,PAY000330
RCP000331,2025-11-25 20:21:00,1,48640.67,0.0,0.07,PAY000331
RCP000332,2025-01-26 21:12:00,3,54836.13,200.0,0.07,PAY000332
RCP000333,2024-06-01 17:30:00,1,104334.48,200.0,0.07,PAY000333
RCP000334,2023-07-15 11:25:00,4,76363.45,500.0,0.07,PAY000334
RCP000335,2023-11-18 14:22:00,1,95583.51,50.0,0.07,PAY000335
RCP000336,2025-04-15 17:18:00,4,99069.29,0.0,0.07,PAY000336
RCP000337,2024-06-26 21:07:00,3,40861.74,200.0,0.07,PAY000337
RCP000338,2025-09-06 11:12:00,4,94702.29,0.0,0.07,PAY000338
RCP000339,2023-06-18 15:09:00,1,12399.18,0.0,0.07,PAY000339
RCP000340,2022-11-02 19:36:00,2,53233.67,0.0,0.07,PAY000340
RCP000341,2024-05-11 11:34:00,4,24677.03,0.0,0.07,PAY000341
RCP000342,2022-07-24 21:11:00,3,19497.81,50.0,0.07,PAY000342
RCP000343,2024-10-25 17:01:00,3,30421.52,500.0,0.07,PAY000343
RCP000344,2022-02-02 14:16:00,2,6688.58,0.0,0.07,PAY000344
RCP000345,2025-03-17 21:41:00,2,51793.1,0.0,0.07,PAY000345
RCP000346,2024-07-07 20:49:00,1,26003.83,0.0,0.07,PAY000346
RCP000347,2022-10-23 09:00:00,2,62573.59,200.0,0.07,PAY000347
