Product_SerialNumber,Stock_ID,track_date,track_updated_movement
SN278784216,STK001196,2022-03-22,Reserved
SN868597168,STK000094,2023-03-01,Sold
SN448664540,STK000752,2023-09-21,Adjusted
SN651986662,STK001000,2023-04-20,Sold
SN684590140,STK001157,2023-02-11,Reserved
SN258152154,STK000593,2022-09-11,Received
SN940120598,STK000977,2025-01-19,Received
SN950066499,STK000138,2024-12-22,Adjusted
SN608020535,STK001106,2025-12-07,Received
SN512165815,STK000305,2024-12-25,Received
SN230761224,STK000789,2024-02-15,Sold
SN415097547,STK000898,2024-05-06,Returned
SN174333043,STK000974,2024-12-11,Transferred
SN266556424,STK000215,2022-11-09,Reserved
SN246073614,STK000107,2025-01-01,Returned
SN197482764,STK000657,2024-09-01,Adjusted
SN183163451,STK001251,2024-02-26,Transferred
SN158931992,STK000179,2025-12-25,Received
SN462198422,STK000666,2025-04-25,Transferred
SN745580353,STK001069,2023-08-30,Reserved
SN529115820,STK001482,2025-10-05,Adjusted
SN296937629,STK000593,2025-03-08,Reserved
SN816072298,STK000116,2022-07-05,Adjusted
SN740174239,STK000499,2022-07-20,Transferred
SN606024428,STK000651,2025-05-11,Sold
SN465206668,STK001013,2023-12-09,Reserved
SN983556207,STK001354,2024-09-10,Returned
SN950757919,STK000988,2023-08-23,Sold
SN703226647,STK000055,2025-09-13,Transferred
SN296845876,STK000128,2025-07-27,Reserved
SN451111930,STK000038,2024-05-21,Reserved
SN234427982,STK000509,2023-02-18,Transferred
SN559456115,STK000440,2023-10-09,Sold
SN961622974,STK000785,2024-06-11,Adjusted
SN468112910,STK000542,2023-10-13,Sold
SN820395066,STK000211,2023-03-03,Transferred
SN105600478,STK000895,2023-05-09,Sold
SN178746714,STK000125,2023-03-31,Returned
SN511589432,STK001406,2025-01-18,Transferred
SN230761224,STK000629,2022-04-08,Returned
SN391764613,STK000597,2023-12-06,Returned
SN412404895,STK000870,2022-09-07,Transferred
SN819628197,STK000870,2022-12-27,Received
SN222776132,STK000713,2023-05-27,Received
SN189517299,STK000631,2023-05-02,Sold
SN858537368,STK001243,2022-04-25,Reserved
SN183163451,STK001356,2025-07-09,Returned
SN117977325,STK001364,2023-12-20,Transferred
SN932421306,STK000678,2023-07-09,Adjusted
SN300407281,STK000316,2025-10-09,Adjusted
SN552035686,STK000082,2024-11-03,Transferred
SN183163451,STK000641,2023-02-21,Received
SN723750328,STK000878,2022-09-16,Adjusted
SN417334625,STK000537,2024-01-09,Transferred
SN753711932,STK001037,2022-07-04,Received
SN451940918,STK000428,2023-03-09,Transferred
SN657324842,STK001341,2024-02-05,Sold
SN284536129,STK001202,2025-06-26,Adjusted
SN439312322,STK000162,2023-04-21,Sold
SN637219857,STK000305,2024-09-29,Sold
SN235881325,STK001357,2023-12-10,Returned
SN649483396,STK001301,2024-10-02,Reserved
SN108445383,STK000086,2022-03-16,Transferred
SN717399631,STK000537,2023-10-22,Transferred
SN246881526,STK001410,2022-08-25,Adjusted
SN262751099,STK001104,2025-11-25,Received
SN767713861,STK000135,2025-09-05,Reserved
SN617203631,STK001253,2022-04-17,Reserved
SN678113412,STK000260,2022-07-24,Returned
SN258152154,STK000842,2023-07-30,Reserved
SN998129936,STK001161,2023-05-31,Received
SN599944798,STK000712,2025-04-18,Adjusted
SN305068631,STK000490,2025-11-26,Reserved
SN517175749,STK001205,2023-02-14,Received
SN384832300,STK000376,2023-07-21,Adjusted
SN530773542,STK001268,2024-03-21,Transferred
SN740743966,STK001042,2023-04-20,Adjusted
SN826253352,STK000289,2022-01-25,Adjusted
SN199281160,STK001291,2022-11-12,Reserved
SN620932215,STK000894,2023-01-14,Reserved
SN720624517,STK000181,2025-01-25,Returned
SN636990013,STK000428,2023-12-01,Reserved
SN144155421,STK000914,2023-04-10,Returned
SN672265732,STK000345,2024-01-06,Adjusted
SN951323988,STK000999,2023-10-07,Received
SN451940918,STK001311,2023-08-22,Sold
SN631619127,STK000121,2024-09-09,Sold
SN208845305,STK000927,2025-01-11,Returned
SN558736454,STK001441,2022-03-15,Received
SN932831232,STK000040,2022-12-05,Returned
SN179877028,STK001202,2024-04-21,Transferred
SN296937629,STK000202,2025-10-23,Transferred
SN296845876,STK001389,2023-04-14,Reserved
SN608020535,STK001109,2022-01-30,Reserved
SN365549500,STK000816,2022-12-05,Sold
SN842211155,STK001418,2024-03-27,Reserved
SN415097547,STK000367,2025-10-04,Sold
SN350346336,STK000518,2025-04-20,Adjusted
SN118755013,STK000382,2022-03-01,Transferred
SN317268943,STK001310,2023-10-26,Adjusted
SN951323988,STK000515,2024-03-31,Transferred
SN844699387,STK001001,2024-07-19,Transferred
SN720624517,STK001230,2024-06-05,Transferred
SN740090397,STK000141,2025-05-26,Adjusted
SN213260151,STK000818,2024-09-24,Sold
SN383562770,STK000992,2024-07-17,Reserved
SN947467869,STK000225,2022-11-08,Reserved
SN893679551,STK001251,2025-01-10,Returned
SN174333043,STK000583,2024-07-18,Returned
SN544179579,STK001084,2023-06-14,Reserved
SN262751099,STK000183,2023-07-18,Sold
SN390838922,STK001091,2025-01-21,Transferred
SN296937629,STK000719,2025-06-17,Adjusted
SN857386759,STK000213,2023-12-16,Transferred
SN632692614,STK001208,2025-01-23,Adjusted
SN471262120,STK000851,2025-07-07,Reserved
SN146143917,STK000617,2024-01-16,Sold
SN463456800,STK000814,2025-02-06,Sold
SN798128984,STK000148,2025-08-10,Transferred
SN587274756,STK001050,2023-02-19,Adjusted
SN564828977,STK001463,2025-12-30,Adjusted
SN145305462,STK000077,2022-06-20,Returned
SN887800374,STK001114,2025-01-30,Transferred
SN207408299,STK000325,2025-05-15,Returned
SN573485701,STK000656,2023-11-13,Sold
SN819628197,STK000054,2023-02-27,Adjusted
SN796991801,STK000878,2025-05-26,Returned
SN243392529,STK000562,2022-03-29,Reserved
SN759401387,STK000482,2025-04-08,Transferred
SN207625426,STK000805,2023-05-07,Received
SN200578794,STK001074,2022-01-10,Transferred
SN617203631,STK000231,2025-01-22,Returned
SN581780028,STK000963,2024-08-18,Returned
SN159870818,STK000287,2022-02-13,Received
SN183163451,STK000261,2022-05-12,Returned
SN775349787,STK000122,2025-09-13,Sold
SN533973928,STK001148,2022-02-03,Returned
SN482256697,STK000900,2025-01-11,Transferred
SN271734574,STK000992,2025-03-19,Reserved
SN566961377,STK001412,2023-03-10,Returned
SN113674643,STK000033,2023-11-29,Adjusted
SN555020609,STK000404,2024-02-13,Sold
SN830572850,STK001331,2024-04-01,Transferred
SN485415442,STK000082,2023-07-22,Sold
SN571181665,STK000407,2023-01-09,Returned
SN820395066,STK000298,2025-12-18,Transferred
SN134911099,STK000435,2022-04-15,Received
SN950434969,STK000986,2022-06-15,Sold
SN893597685,STK000339,2024-09-29,Received
SN741620161,STK000713,2022-08-31,Returned
SN417230497,STK000396,2023-05-12,Adjusted
SN344312828,STK001294,2025-10-21,Reserved
SN118882081,STK000316,2022-02-10,Received
SN428985769,STK000292,2023-05-28,Adjusted
SN497665934,STK000134,2024-11-19,Received
SN947467869,STK000784,2025-09-06,Transferred
SN315607414,STK000253,2025-10-13,Returned
SN875595874,STK001012,2025-06-30,Adjusted
SN257471013,STK001022,2023-08-28,Received
SN144155421,STK000392,2024-07-12,Sold
SN337978990,STK000731,2023-12-17,Adjusted
SN665361187,STK001104,2023-09-02,Reserved
SN847125665,STK000658,2023-05-26,Adjusted
SN307761952,STK000384,2025-11-02,Received
SN716144599,STK000441,2024-12-04,Transferred
SN746280719,STK001403,2024-11-01,Transferred
SN197482764,STK001328,2025-03-27,Adjusted
SN478317077,STK001266,2022-05-20,Reserved
SN283104589,STK000842,2025-08-03,Received
SN801325215,STK000966,2025-12-19,Sold
SN375072268,STK000141,2023-07-13,Received
SN347586346,STK001358,2022-01-02,Transferred
SN566152395,STK000300,2023-07-02,Reserved
SN440583982,STK000965,2024-05-06,Returned
SN179877028,STK000428,2022-06-28,Sold
SN347586346,STK000013,2024-09-21,Sold
SN283104589,STK001500,2023-10-28,Reserved
SN419777307,STK001115,2025-03-28,Adjusted
SN390119273,STK000725,2025-04-09,Received
SN951323988,STK000647,2022-02-10,Adjusted
SN459451013,STK000203,2022-04-30,Sold
SN969298774,STK000849,2022-09-20,Adjusted
SN304663116,STK000910,2023-02-25,Adjusted
SN672265732,STK000647,2025-01-13,Reserved
SN871435208,STK001182,2023-04-15,Transferred
SN375072268,STK001469,2022-07-05,Reserved
SN868597168,STK000036,2022-04-24,Adjusted
SN117977325,STK000648,2025-12-17,Transferred
SN767713861,STK000824,2023-11-14,Sold
SN246073614,STK001459,2025-02-01,Returned
SN617203631,STK000204,2023-05-23,Returned
SN720624517,STK000434,2022-12-11,Transferred
SN687360638,STK001331,2024-01-22,Sold
SN847125665,STK001485,2025-05-08,Returned
SN213260151,STK000451,2024-08-03,Sold
SN158931992,STK000042,2022-07-01,Reserved
SN301736497,STK001028,2025-11-26,Sold
SN478317077,STK000983,2025-06-17,Returned
SN940120598,STK000753,2025-02-23,Reserved
SN514364411,STK001133,2025-07-22,Received
SN599944798,STK000334,2023-09-11,Sold
SN448664540,STK000589,2025-09-16,Received
SN969298774,STK001225,2023-03-30,Returned
SN842211155,STK000180,2023-09-19,Reserved
SN192260453,STK000464,2023-09-27,Returned
SN261912137,STK000402,2022-04-26,Transferred
SN367922719,STK000877,2024-01-24,Returned
SN220294510,STK001156,2022-11-19,Returned
SN665361187,STK001472,2023-09-13,Reserved
SN117977325,STK000031,2024-09-21,Reserved
SN632692614,STK000550,2023-09-12,Reserved
SN428985769,STK000590,2022-12-18,Reserved
SN337978990,STK001084,2023-09-07,Returned
SN893597685,STK000299,2024-07-07,Received
SN641197164,STK001388,2023-08-25,Reserved
SN843124891,STK000664,2025-03-19,Sold
SN821739242,STK001384,2022-05-03,Received
SN722159521,STK000594,2023-07-05,Sold
SN307761952,STK001241,2024-03-26,Reserved
SN511589432,STK000076,2024-02-27,Adjusted
SN246881526,STK001078,2025-10-03,Adjusted
SN199281160,STK000465,2023-01-12,Transferred
SN708486928,STK001346,2022-12-09,Received
SN220294510,STK001198,2024-10-13,Reserved
SN678390102,STK000554,2023-06-02,Received
SN220134083,STK000194,2025-05-05,Sold
SN735746224,STK001086,2022-12-13,Sold
SN924382741,STK000622,2022-05-06,Transferred
SN350346336,STK000950,2025-07-17,Reserved
SN497665934,STK000397,2025-03-20,Adjusted
SN582656385,STK000375,2022-10-27,Received
SN816072298,STK000915,2023-12-21,Transferred
SN183175424,STK000628,2024-01-07,Adjusted
SN141084338,STK000970,2025-01-31,Sold
SN347586346,STK000969,2024-04-21,Reserved
SN405676613,STK000113,2025-03-11,Sold
SN347003545,STK001129,2023-02-22,Reserved
SN573485701,STK001172,2025-02-19,Sold
SN875595874,STK000226,2024-10-28,Returned
SN429484816,STK000787,2025-01-24,Returned
SN187878054,STK000078,2023-10-24,Received
SN414917268,STK001427,2022-12-26,Sold
SN117977325,STK000448,2024-10-14,Sold
SN245673075,STK000081,2025-02-16,Returned
SN250916792,STK001265,2024-05-04,Reserved
SN824852177,STK000796,2022-06-24,Sold
SN146143917,STK000799,2024-05-16,Reserved
SN549114691,STK000722,2025-08-10,Received
SN640366635,STK000300,2023-12-22,Received
SN414917268,STK001318,2024-12-31,Returned
SN981643779,STK000678,2024-09-04,Reserved
SN895435051,STK001492,2025-04-06,Reserved
SN583759674,STK000229,2024-09-18,Received
SN277005077,STK001435,2023-07-05,Received
SN642026297,STK000184,2023-08-16,Transferred
SN294981681,STK001104,2024-11-01,Reserved
SN315607414,STK001069,2025-03-20,Received
SN134911099,STK001292,2025-09-21,Sold
SN270054741,STK001327,2024-05-30,Sold
SN753711932,STK000888,2024-11-04,Sold
SN782915645,STK000961,2023-06-13,Transferred
SN112703315,STK000258,2023-07-12,Sold
SN861036702,STK000812,2022-02-12,Sold
SN517002319,STK000755,2025-02-18,Returned
SN765466488,STK000241,2022-09-02,Reserved
SN335487201,STK000434,2024-10-17,Adjusted
SN739768807,STK001208,2022-05-21,Received
SN258152154,STK000657,2022-02-08,Reserved
SN215789725,STK001145,2025-06-23,Returned
SN411737672,STK001216,2022-02-06,Reserved
SN530773542,STK000059,2022-10-09,Reserved
SN898149957,STK000776,2024-01-30,Returned
SN719847013,STK000896,2023-10-03,Transferred
SN552291754,STK001277,2024-05-21,Transferred
SN931865605,STK000259,2022-02-12,Returned
SN806006384,STK000853,2022-04-21,Transferred
SN428985769,STK001346,2024-03-09,Adjusted
SN112703315,STK000274,2025-04-05,Returned
SN340169401,STK001313,2024-07-01,Reserved
SN880337248,STK001177,2023-04-15,Returned
SN668370652,STK000207,2023-03-16,Received
SN940120598,STK001138,2025-12-29,Transferred
SN190918539,STK001467,2022-05-13,Returned
SN723359206,STK000412,2023-06-25,Received
SN779724559,STK001442,2025-06-06,Reserved
SN583977259,STK000682,2025-03-14,Transferred
SN165621030,STK001102,2024-07-09,Transferred
SN892753602,STK001356,2025-12-07,Reserved
SN380892232,STK000250,2022-01-05,Received
SN665361187,STK001354,2023-09-23,Returned
SN636990013,STK000156,2023-08-13,Returned
SN448664540,STK000242,2025-06-24,Transferred
SN294981681,STK000237,2025-02-07,Transferred
SN708486928,STK000604,2023-12-03,Reserved
SN650140502,STK000414,2022-05-23,Adjusted
SN893597685,STK001295,2022-12-11,Sold
SN533973928,STK000963,2025-04-30,Returned
SN751719292,STK000318,2024-01-13,Transferred
SN230709673,STK001165,2022-06-15,Sold
SN857386759,STK001425,2024-10-17,Reserved
SN390119273,STK000011,2024-03-18,Sold
SN865402752,STK001212,2022-11-25,Adjusted
SN892753602,STK000489,2025-04-30,Returned
SN177318104,STK001452,2022-08-25,Adjusted
SN340169401,STK001143,2022-08-23,Received
SN703226647,STK000009,2024-09-22,Sold
SN284536129,STK001440,2022-06-03,Adjusted
SN997802121,STK001352,2023-06-08,Returned
SN533973928,STK001367,2024-05-26,Adjusted
SN450937505,STK000199,2024-04-26,Sold
SN981908498,STK001235,2023-03-10,Received
SN942153709,STK000381,2022-05-08,Transferred
SN190918539,STK001322,2022-11-24,Transferred
SN720624517,STK000800,2024-02-13,Reserved
SN548058043,STK000568,2024-12-09,Adjusted
SN115247157,STK000023,2022-06-25,Returned
SN843124891,STK000296,2024-09-13,Reserved
SN729076620,STK001347,2024-01-15,Reserved
SN384722185,STK000268,2022-05-01,Returned
SN981643779,STK000966,2023-10-08,Transferred
SN530773542,STK001395,2023-06-26,Adjusted
SN187878054,STK000086,2022-09-27,Returned
SN552532845,STK001094,2025-01-14,Received
SN150938666,STK001274,2022-11-15,Returned
SN190918539,STK000426,2024-01-17,Transferred
SN115075284,STK001463,2025-01-22,Adjusted
SN457198220,STK000005,2024-05-21,Reserved
SN977274810,STK000414,2022-12-17,Reserved
SN665361187,STK000400,2025-10-06,Transferred
SN415097547,STK001202,2024-01-03,Reserved
SN583977259,STK001220,2022-09-06,Returned
SN641197164,STK000799,2025-06-24,Reserved
SN969298774,STK001078,2024-02-28,Reserved
SN791504116,STK000463,2023-10-01,Transferred
SN317268943,STK000093,2022-06-02,Transferred
SN660906951,STK000055,2025-06-07,Returned
SN559456115,STK000185,2022-03-04,Returned
SN413033221,STK000239,2022-03-19,Adjusted
SN950066499,STK001310,2023-08-01,Received
SN197482764,STK001171,2022-05-06,Adjusted
SN660906951,STK000439,2024-10-15,Reserved
SN845534349,STK000988,2024-06-06,Transferred
SN810852223,STK001112,2025-05-28,Returned
SN857386759,STK001370,2022-09-02,Transferred
SN542985542,STK000572,2023-09-08,Sold
SN862161956,STK000853,2025-09-24,Sold
SN120728263,STK000568,2022-11-10,Sold
SN887373055,STK000360,2022-03-03,Sold
SN614218554,STK001025,2025-04-10,Adjusted
SN207408299,STK001064,2023-04-03,Reserved
SN195468521,STK000978,2022-01-17,Reserved
SN400252034,STK001442,2023-01-11,Transferred
SN905444958,STK000045,2024-05-16,Reserved
SN373736058,STK000062,2025-02-11,Reserved
SN440583982,STK001451,2023-09-02,Sold
SN931906124,STK000076,2023-11-08,Transferred
SN555020609,STK001132,2023-08-09,Received
SN388652429,STK001048,2022-07-23,Reserved
SN410769971,STK001147,2025-12-12,Adjusted
SN283104589,STK000515,2025-11-11,Received
SN474720196,STK000443,2022-02-17,Sold
SN806006384,STK000571,2022-01-22,Returned
SN614218554,STK001277,2022-12-26,Received
SN871830436,STK000097,2022-04-15,Adjusted
SN950066499,STK000038,2024-10-23,Adjusted
SN716144599,STK000300,2024-10-10,Received
SN145305462,STK000266,2022-11-24,Received
SN699147425,STK000275,2025-07-07,Adjusted
SN791504116,STK000015,2024-09-02,Adjusted
SN367922719,STK001179,2024-12-25,Received
SN845534349,STK001394,2023-02-05,Sold
SN824954148,STK000549,2025-06-03,Returned
SN480788867,STK001302,2025-02-09,Returned
SN390838922,STK001079,2025-03-26,Adjusted
SN688975627,STK000590,2024-03-21,Transferred
SN947467869,STK000188,2023-10-19,Transferred
SN159622285,STK000172,2023-03-11,Adjusted
SN162390086,STK000990,2025-05-20,Received
SN858537368,STK001044,2025-03-01,Reserved
SN900831154,STK001118,2024-04-01,Sold
SN982769541,STK000383,2025-09-01,Sold
SN311948205,STK001495,2025-02-05,Adjusted
SN677370211,STK000742,2022-04-10,Transferred
SN843124891,STK000762,2024-02-26,Reserved
SN206454189,STK000904,2024-01-12,Received
SN141084338,STK000693,2022-12-07,Sold
SN746280719,STK000421,2023-03-29,Received
SN678113412,STK001218,2024-06-05,Transferred
SN699147425,STK000676,2022-02-03,Reserved
SN802275983,STK001118,2023-11-11,Adjusted
SN195209218,STK000999,2024-10-30,Reserved
SN562314772,STK001169,2024-07-03,Adjusted
SN219964911,STK001337,2025-08-13,Returned
SN633958937,STK000854,2022-11-07,Adjusted
SN465206668,STK001373,2024-05-20,Received
SN552291754,STK000849,2025-04-16,Adjusted
SN983556207,STK000812,2022-09-06,Adjusted
SN631619127,STK000611,2022-07-25,Transferred
SN230709673,STK001402,2022-06-19,Transferred
SN415097547,STK000446,2024-05-01,Returned
SN866944899,STK000257,2025-02-03,Returned
SN777835522,STK001278,2024-10-19,Adjusted
SN961622974,STK001434,2022-04-17,Reserved
SN712305802,STK000578,2024-11-15,Transferred
SN236402267,STK000552,2025-09-25,Reserved
SN778002778,STK000569,2023-07-26,Sold
SN698611742,STK000456,2025-08-02,Adjusted
SN530773542,STK000472,2022-09-13,Adjusted
SN552291754,STK001431,2023-05-31,Received
SN810852223,STK000848,2024-06-13,Reserved
SN879019991,STK001096,2024-07-30,Returned
SN699313297,STK000263,2023-11-14,Received
SN315607414,STK001111,2023-12-26,Sold
SN640366635,STK000942,2023-01-04,Reserved
SN746280719,STK000250,2025-08-13,Sold
SN729076620,STK001074,2022-09-06,Adjusted
SN269083605,STK000304,2022-05-06,Transferred
SN805557365,STK000230,2023-07-30,Transferred
SN845534349,STK000270,2025-05-28,Transferred
SN905444958,STK001190,2024-08-08,Reserved
SN842211155,STK000993,2022-10-24,Received
SN149163980,STK001413,2022-03-23,Received
SN572081777,STK000610,2024-03-19,Received
SN160213727,STK001025,2024-05-07,Returned
SN383562770,STK001180,2023-07-01,Transferred
SN197482764,STK000956,2022-04-27,Sold
SN513174482,STK001253,2025-10-03,Transferred
SN271734574,STK000329,2024-03-11,Reserved
SN552035686,STK001242,2023-12-22,Adjusted
SN905444958,STK001373,2025-01-12,Sold
SN674653389,STK000519,2022-03-20,Received
SN782915645,STK001251,2025-09-26,Transferred
SN558736454,STK000735,2024-02-04,Received
SN383562770,STK000773,2025-11-08,Transferred
SN583759674,STK000067,2024-04-09,Reserved
SN440583982,STK001111,2023-01-30,Transferred
SN234427982,STK001386,2025-05-26,Received
SN383562770,STK001410,2022-03-06,Returned
SN301736497,STK001124,2022-03-27,Received
SN491310430,STK000214,2025-10-01,Returned
SN141084338,STK000433,2024-09-10,Adjusted
SN849124182,STK001067,2024-09-03,Transferred
SN412818441,STK000218,2025-10-16,Returned
SN870809125,STK000327,2022-10-09,Returned
SN751719292,STK001408,2025-05-04,Transferred
SN931906124,STK000070,2024-04-01,Transferred
SN697431959,STK000810,2024-07-26,Transferred
SN207408299,STK001320,2023-12-08,Sold
SN792152709,STK000974,2025-02-14,Returned
SN861036702,STK000244,2023-11-24,Transferred
SN895703049,STK000149,2025-08-17,Returned
SN301736497,STK001069,2025-07-23,Sold
SN207408299,STK000673,2024-12-21,Returned
SN552291754,STK000138,2022-04-09,Transferred
SN482256697,STK000958,2022-07-22,Returned
SN805557365,STK000368,2024-02-10,Reserved
SN949351243,STK001189,2025-04-18,Returned
SN440094033,STK001363,2024-04-06,Returned
SN867468531,STK000382,2025-02-28,Received
SN857805222,STK000718,2025-04-07,Adjusted
SN347586346,STK000273,2023-06-21,Received
SN384832300,STK000126,2025-08-18,Adjusted
SN318381219,STK000603,2025-12-15,Adjusted
SN872708851,STK000131,2023-07-24,Reserved
SN982769541,STK000414,2024-11-21,Reserved
SN376671582,STK000345,2025-07-18,Sold
SN891869344,STK000844,2022-01-29,Received
SN283104589,STK000635,2022-01-28,Sold
SN389901165,STK000045,2022-11-11,Received
SN474720196,STK000197,2023-02-03,Returned
SN321017052,STK001324,2022-12-20,Returned
SN572081777,STK000822,2024-03-13,Reserved
SN671547696,STK000425,2024-06-20,Reserved
