Refund_ID,Refund_Date,Refund_Amount,Refund_Status,Approval_Date,Refund_Notes,Return_ID
RFD000138,2024-11-28,116760.28,Pending,,Refund processed per policy.,RET000443
RFD000139,2025-03-30,22625.72,Approved,2025-04-01,Refund processed per policy.,RET000309
RFD000140,2025-08-23,91513.08,Rejected,2025-08-27,Refund processed per policy.,RET000087
RFD000141,2025-08-16,30262.96,Approved,2025-08-22,Refund processed per policy.,RET002369
RFD000142,2024-01-12,58480.0,Approved,2024-01-19,Refund processed per policy.,RET001468
RFD000143,2024-03-20,82752.62,Approved,2024-03-28,Refund processed per policy.,RET001194
RFD000144,2024-02-21,104385.19,Approved,2024-02-23,Refund processed per policy.,RET000793
RFD000145,2024-01-02,67377.13,Processed,2024-01-05,Refund processed per policy.,RET001247
RFD000146,2025-07-08,45724.93,Approved,2025-07-10,Refund processed per policy.,RET002426
RFD000147,2022-08-02,76327.1,Approved,2022-08-07,Refund processed per policy.,RET001899
RFD000148,2022-06-12,105539.52,Approved,2022-06-14,Refund processed per policy.,RET001733
RFD000149,2025-07-31,114216.6,Approved,2025-08-02,Refund processed per policy.,RET001683
RFD000150,2023-05-09,60122.66,Processed,2023-05-11,Refund processed per policy.,RET000824
RFD000151,2024-01-27,59531.15,Rejected,2024-02-03,Refund processed per policy.,RET001034
RFD000152,2024-09-13,114559.81,Approved,2024-09-23,Refund processed per policy.,RET002070
RFD000153,2024-08-28,53982.86,Approved,2024-09-03,Refund processed per policy.,RET000972
RFD000154,2024-12-16,44449.47,Approved,2024-12-24,Refund processed per policy.,RET001932
RFD000155,2023-03-16,93630.08,Pending,,Refund processed per policy.,RET001078
RFD000156,2022-11-01,57740.37,Pending,,Refund processed per policy.,RET000626
RFD000157,2022-03-08,32589.3,Approved,2022-03-14,Refund processed per policy.,RET000431
RFD000158,2025-01-19,63026.51,Pending,,Refund processed per policy.,RET001198
RFD000159,2025-04-21,34673.72,Approved,2025-04-22,Refund processed per policy.,RET000592
RFD000160,2022-05-07,113596.23,Approved,2022-05-09,Refund processed per policy.,RET001005
RFD000161,2023-06-26,114097.45,Rejected,2023-06-28,Refund processed per policy.,RET001794
RFD000162,2025-04-05,110957.9,Pending,,Refund processed per policy.,RET002223
RFD000163,2023-07-05,66804.64,Processed,2023-07-13,Refund processed per policy.,RET001662
RFD000164,2024-05-09,119995.39,Pending,,Refund processed per policy.,RET000925
RFD000165,2023-03-15,11493.68,Pending,,Refund processed per policy.,RET001117
RFD000166,2025-09-28,90253.22,Approved,2025-10-04,Refund processed per policy.,RET002246
RFD000167,2023-07-20,40085.57,Approved,2023-07-29,Refund processed per policy.,RET001270
RFD000168,2022-12-01,100185.82,Pending,,Refund processed per policy.,RET001266
RFD000169,2023-12-21,1275.36,Approved,2023-12-25,Refund processed per policy.,RET002313
RFD000170,2025-11-02,28637.3,Approved,2025-11-08,Refund processed per policy.,RET001707
RFD000171,2024-12-23,118763.09,Approved,2025-01-01,Refund processed per policy.,RET001655
RFD000172,2022-10-08,20956.35,Approved,2022-10-09,Refund processed per policy.,RET002354
RFD000173,2024-12-03,65626.69,Rejected,2024-12-12,Refund processed per policy.,RET001883
RFD000174,2024-07-08,48054.84,Approved,2024-07-18,Refund processed per policy.,RET000940
RFD000175,2025-06-04,90710.0,Approved,2025-06-10,Refund processed per policy.,RET000970
RFD000176,2024-01-22,97505.82,Approved,2024-01-23,Refund processed per policy.,RET000361
RFD000177,2023-09-22,39325.37,Approved,2023-09-26,Refund processed per policy.,RET000741
RFD000178,2024-08-01,5558.5,Approved,2024-08-05,Refund processed per policy.,RET000009
RFD000179,2022-07-14,62628.88,Approved,2022-07-19,Refund processed per policy.,RET002099
RFD000180,2023-08-24,50602.57,Approved,2023-09-03,Refund processed per policy.,RET002429
RFD000181,2022-07-14,115948.81,Pending,,Refund processed per policy.,RET000222
RFD000182,2022-04-11,110663.4,Approved,2022-04-15,Refund processed per policy.,RET000735
RFD000183,2024-02-28,100393.91,Approved,2024-03-02,Refund processed per policy.,RET002330
RFD000184,2024-04-11,8793.2,Approved,2024-04-21,Refund processed per policy.,RET000682
RFD000185,2024-07-12,29309.2,Processed,2024-07-15,Refund processed per policy.,RET000570
RFD000186,2025-03-18,103417.12,Approved,2025-03-19,Refund processed per policy.,RET000423
RFD000187,2022-01-26,101889.63,Approved,2022-01-31,Refund processed per policy.,RET000663
RFD000188,2022-02-08,15834.12,Approved,2022-02-15,Refund processed per policy.,RET001273
RFD000189,2024-07-12,13949.2,Approved,2024-07-19,Refund processed per policy.,RET002227
RFD000190,2024-12-31,114662.2,Approved,2025-01-08,Refund processed per policy.,RET001274
RFD000191,2024-11-27,52627.49,Approved,2024-11-30,Refund processed per policy.,RET001477
RFD000192,2022-02-17,59463.53,Approved,2022-02-26,Refund processed per policy.,RET001720
RFD000193,2024-09-17,26562.93,Approved,2024-09-27,Refund processed per policy.,RET000896
RFD000194,2022-07-19,16967.98,Pending,,Refund processed per policy.,RET000158
RFD000195,2024-08-04,79796.32,Approved,2024-08-14,Refund processed per policy.,RET001643
RFD000196,2023-04-15,90776.66,Approved,2023-04-23,Refund processed per policy.,RET001879
RFD000197,2023-06-07,108421.41,Pending,,Refund processed per policy.,RET001653
RFD000198,2025-07-11,23976.2,Approved,2025-07-19,Refund processed per policy.,RET001489
RFD000199,2023-01-01,4692.62,Approved,2023-01-05,Refund processed per policy.,RET001614
RFD000200,2025-06-07,72468.98,Pending,,Refund processed per policy.,RET001338
RFD000201,2023-09-09,67031.83,Rejected,2023-09-10,Refund processed per policy.,RET001600
RFD000202,2023-03-16,45415.48,Rejected,2023-03-22,Refund processed per policy.,RET001927
RFD000203,2025-02-10,21863.1,Approved,2025-02-15,Refund processed per policy.,RET002360
RFD000204,2022-10-25,3861.11,Approved,2022-11-04,Refund processed per policy.,RET000122
RFD000205,2023-05-14,42490.82,Processed,2023-05-18,Refund processed per policy.,RET002259
RFD000206,2022-04-14,77257.16,Approved,2022-04-15,Refund processed per policy.,RET001111
RFD000207,2022-03-20,16803.79,Rejected,2022-03-29,Refund processed per policy.,RET000921
RFD000208,2025-10-03,72290.91,Rejected,2025-10-11,Refund processed per policy.,RET002480
RFD000209,2025-02-10,63970.48,Approved,2025-02-19,Refund processed per policy.,RET000026
RFD000210,2025-05-19,92786.49,Approved,2025-05-22,Refund processed per policy.,RET000818
RFD000211,2022-10-02,97266.31,Processed,2022-10-04,Refund processed per policy.,RET001483
RFD000212,2025-05-14,84233.35,Approved,2025-05-17,Refund processed per policy.,RET000635
RFD000213,2024-12-05,9728.98,Processed,2024-12-15,Refund processed per policy.,RET000451
RFD000214,2025-10-17,87396.07,Approved,2025-10-24,Refund processed per policy.,RET001499
RFD000215,2025-05-18,59678.7,Approved,2025-05-25,Refund processed per policy.,RET001037
RFD000216,2023-04-30,5668.13,Rejected,2023-05-01,Refund processed per policy.,RET002495
RFD000217,2023-09-29,28873.66,Approved,2023-10-09,Refund processed per policy.,RET002026
RFD000218,2025-06-22,97868.5,Pending,,Refund processed per policy.,RET000249
RFD000219,2023-08-19,68368.17,Approved,2023-08-28,Refund processed per policy.,RET001443
RFD000220,2025-08-31,9034.68,Pending,,Refund processed per policy.,RET001476
RFD000221,2024-06-04,75669.19,Processed,2024-06-05,Refund processed per policy.,RET000431
RFD000222,2022-03-31,67234.57,Processed,2022-04-03,Refund processed per policy.,RET001196
RFD000223,2022-04-12,77258.42,Approved,2022-04-20,Refund processed per policy.,RET000670
RFD000224,2023-04-13,19937.47,Approved,2023-04-21,Refund processed per policy.,RET000316
RFD000225,2024-02-27,112650.83,Rejected,2024-03-04,Refund processed per policy.,RET001083
RFD000226,2025-01-17,56889.3,Approved,2025-01-22,Refund processed per policy.,RET001737
RFD000227,2024-05-24,117623.22,Approved,2024-05-25,Refund processed per policy.,RET000402
RFD000228,2025-03-26,70573.8,Rejected,2025-03-28,Refund processed per policy.,RET001278
RFD000229,2022-04-24,112501.27,Approved,2022-04-25,Refund processed per policy.,RET001898
RFD000230,2023-08-11,101751.41,Approved,2023-08-20,Refund processed per policy.,RET001868
RFD000231,2024-04-12,16098.4,Approved,2024-04-17,Refund processed per policy.,RET001737
RFD000232,2025-06-19,46661.27,Approved,2025-06-26,Refund processed per policy.,RET000125
RFD000233,2022-01-04,114193.48,Approved,2022-01-08,Refund processed per policy.,RET002352
RFD000234,2024-07-31,61335.91,Pending,,Refund processed per policy.,RET001614
RFD000235,2024-08-29,24651.32,Approved,2024-09-01,Refund processed per policy.,RET000846
RFD000236,2023-01-02,17095.91,Rejected,2023-01-04,Refund processed per policy.,RET001940
RFD000237,2025-03-18,30527.61,Processed,2025-03-20,Refund processed per policy.,RET001066
RFD000238,2023-07-17,118884.52,Approved,2023-07-21,Refund processed per policy.,RET001035
RFD000239,2023-01-28,114994.8,Approved,2023-02-05,Refund processed per policy.,RET000972
RFD000240,2023-07-10,26943.31,Approved,2023-07-11,Refund processed per policy.,RET001791
RFD000241,2025-10-10,3878.75,Approved,2025-10-20,Refund processed per policy.,RET000744
RFD000242,2022-04-17,1253.34,Approved,2022-04-23,Refund processed per policy.,RET000992
RFD000243,2025-12-11,8489.5,Approved,2025-12-13,Refund processed per policy.,RET000899
RFD000244,2023-09-06,61513.0,Approved,2023-09-11,Refund processed per policy.,RET001316
RFD000245,2025-12-04,60527.34,Processed,2025-12-07,Refund processed per policy.,RET000109
RFD000246,2022-03-22,90826.22,Approved,2022-03-28,Refund processed per policy.,RET001934
RFD000247,2024-05-24,17341.3,Approved,2024-05-25,Refund processed per policy.,RET000190
RFD000248,2022-03-30,73311.82,Approved,2022-04-04,Refund processed per policy.,RET000313
RFD000249,2022-08-21,12466.01,Approved,2022-08-26,Refund processed per policy.,RET000292
RFD000250,2023-06-07,51870.66,Approved,2023-06-08,Refund processed per policy.,RET001325
RFD000251,2024-03-02,96822.23,Processed,2024-03-12,Refund processed per policy.,RET001010
RFD000252,2022-10-28,110925.51,Approved,2022-11-03,Refund processed per policy.,RET002473
RFD000253,2022-04-22,92267.64,Approved,2022-04-25,Refund processed per policy.,RET001669
RFD000254,2022-04-01,108619.96,Approved,2022-04-08,Refund processed per policy.,RET001982
RFD000255,2025-08-18,51396.83,Approved,2025-08-28,Refund processed per policy.,RET002246
RFD000256,2024-11-07,107892.83,Approved,2024-11-09,Refund processed per policy.,RET001996
RFD000257,2023-12-20,44344.97,Approved,2023-12-23,Refund processed per policy.,RET000953
RFD000258,2024-09-06,65673.59,Approved,2024-09-09,Refund processed per policy.,RET001459
RFD000259,2023-08-01,75463.98,Pending,,Refund processed per policy.,RET000851
RFD000260,2023-03-27,74098.8,Approved,2023-03-30,Refund processed per policy.,RET002223
RFD000261,2023-01-25,89205.81,Rejected,2023-01-27,Refund processed per policy.,RET001243
RFD000262,2022-03-19,118426.32,Pending,,Refund processed per policy.,RET001515
RFD000263,2024-09-07,4662.22,Approved,2024-09-15,Refund processed per policy.,RET001804
RFD000264,2025-10-09,60741.05,Processed,2025-10-11,Refund processed per policy.,RET001816
RFD000265,2025-04-02,77361.4,Rejected,2025-04-10,Refund processed per policy.,RET000714
RFD000266,2023-06-13,87538.5,Approved,2023-06-21,Refund processed per policy.,RET002346
RFD000267,2022-06-04,82353.82,Approved,2022-06-13,Refund processed per policy.,RET000816
RFD000268,2023-07-05,103691.86,Pending,,Refund processed per policy.,RET000243
RFD000269,2023-01-30,110937.94,Approved,2023-02-02,Refund processed per policy.,RET000358
RFD000270,2023-08-04,66000.3,Approved,2023-08-08,Refund processed per policy.,RET001421
RFD000271,2022-07-29,111510.86,Approved,2022-07-30,Refund processed per policy.,RET002376
RFD000272,2025-08-26,89486.98,Pending,,Refund processed per policy.,RET002236
RFD000273,2022-01-20,55183.59,Processed,2022-01-24,Refund processed per policy.,RET001598
RFD000274,2022-01-23,14086.33,Approved,2022-01-30,Refund processed per policy.,RET001308
RFD000275,2024-06-13,13297.62,Approved,2024-06-17,Refund processed per policy.,RET001954
RFD000276,2023-01-25,31490.04,Rejected,2023-02-01,Refund processed per policy.,RET000598
RFD000277,2022-07-24,35737.18,Processed,2022-07-27,Refund processed per policy.,RET000484
RFD000278,2022-08-30,4347.83,Pending,,Refund processed per policy.,RET000240
RFD000279,2022-04-19,46267.49,Rejected,2022-04-21,Refund processed per policy.,RET000536
RFD000280,2024-01-18,6803.12,Pending,,Refund processed per policy.,RET001552
RFD000281,2022-10-12,69705.45,Approved,2022-10-19,Refund processed per policy.,RET001811
RFD000282,2023-12-09,91851.34,Pending,,Refund processed per policy.,RET000182
RFD000283,2022-01-25,53827.27,Approved,2022-02-02,Refund processed per policy.,RET001519
RFD000284,2024-10-21,68115.63,Processed,2024-10-27,Refund processed per policy.,RET001628
RFD000285,2022-04-07,92483.63,Approved,2022-04-16,Refund processed per policy.,RET000227
RFD000286,2024-06-06,44300.41,Approved,2024-06-15,Refund processed per policy.,RET001430
RFD000287,2024-06-02,95714.73,Approved,2024-06-08,Refund processed per policy.,RET001942
RFD000288,2024-06-09,68903.26,Pending,,Refund processed per policy.,RET001600
RFD000289,2022-07-12,49937.47,Approved,2022-07-14,Refund processed per policy.,RET002244
RFD000290,2025-05-18,26057.7,Approved,2025-05-27,Refund processed per policy.,RET001173
RFD000291,2023-10-26,28881.43,Approved,2023-10-30,Refund processed per policy.,RET001216
RFD000292,2024-10-16,117328.79,Approved,2024-10-19,Refund processed per policy.,RET001592
RFD000293,2024-05-20,119947.8,Approved,2024-05-29,Refund processed per policy.,RET000255
RFD000294,2022-10-26,9975.07,Approved,2022-11-01,Refund processed per policy.,RET000208
RFD000295,2022-01-04,43673.76,Processed,2022-01-06,Refund processed per policy.,RET001906
RFD000296,2024-12-19,89396.22,Approved,2024-12-23,Refund processed per policy.,RET001297
RFD000297,2023-01-21,12927.99,Approved,2023-01-22,Refund processed per policy.,RET001443
RFD000298,2023-02-16,112882.51,Processed,2023-02-25,Refund processed per policy.,RET002236
RFD000299,2022-07-05,90817.67,Approved,2022-07-07,Refund processed per policy.,RET000847
RFD000300,2025-09-24,98654.77,Approved,2025-10-04,Refund processed per policy.,RET001171
RFD000301,2025-06-27,55081.72,Processed,2025-07-05,Refund processed per policy.,RET000279
RFD000302,2022-05-08,88506.87,Approved,2022-05-18,Refund processed per policy.,RET002498
RFD000303,2023-03-26,67024.31,Pending,,Refund processed per policy.,RET000268
RFD000304,2023-08-22,9370.16,Processed,2023-09-01,Refund processed per policy.,RET001738
RFD000305,2024-07-27,51371.28,Pending,,Refund processed per policy.,RET001924
RFD000306,2023-11-02,65906.7,Approved,2023-11-08,Refund processed per policy.,RET000212
RFD000307,2022-04-17,19798.64,Rejected,2022-04-25,Refund processed per policy.,RET001694
RFD000308,2025-04-09,14468.17,Approved,2025-04-14,Refund processed per policy.,RET002387
RFD000309,2022-09-28,21223.07,Approved,2022-10-04,Refund processed per policy.,RET001791
RFD000310,2024-04-18,20904.64,Approved,2024-04-20,Refund processed per policy.,RET002098
RFD000311,2024-12-26,115829.58,Pending,,Refund processed per policy.,RET000399
RFD000312,2025-01-26,67027.58,Processed,2025-01-29,Refund processed per policy.,RET000153
RFD000313,2025-04-13,22890.47,Approved,2025-04-15,Refund processed per policy.,RET001539
RFD000314,2022-10-01,2464.29,Approved,2022-10-03,Refund processed per policy.,RET000622
RFD000315,2022-04-26,87915.72,Approved,2022-04-27,Refund processed per policy.,RET002265
RFD000316,2023-05-23,12804.08,Rejected,2023-05-26,Refund processed per policy.,RET002103
RFD000317,2024-02-24,35105.08,Approved,2024-02-29,Refund processed per policy.,RET002195
RFD000318,2024-08-05,57852.32,Approved,2024-08-07,Refund processed per policy.,RET000273
RFD000319,2023-01-23,90230.71,Processed,2023-01-27,Refund processed per policy.,RET001155
RFD000320,2023-06-02,74716.74,Approved,2023-06-03,Refund processed per policy.,RET000280
