Product_line_number,Amount,Price,Total_Price,Date,Order_ID
PLN039535,2,43137.93,86275.86,2024-04-16,ORD000023
PLN029535,1,34454.0,34454.0,2023-02-08,ORD000024
PLN035726,3,40559.2,121677.6,2022-03-19,ORD000024
PLN038546,3,10198.66,30595.98,2025-10-27,ORD000024
PLN010485,3,28206.51,84619.53,2022-07-27,ORD000025
PLN004392,3,36937.63,110812.89,2025-11-10,ORD000027
PLN029369,2,3010.76,6021.52,2025-11-25,ORD000027
PLN037689,3,7538.4,22615.2,2025-09-08,ORD000027
PLN047263,2,826.82,1653.64,2024-06-01,ORD000027
PLN001640,4,66444.62,265778.48,2023-12-06,ORD000028
PLN018510,1,56299.28,56299.28,2024-11-19,ORD000028
PLN045985,4,70541.99,282167.96,2023-08-04,ORD000028
PLN035621,2,53060.83,106121.66,2023-02-04,ORD000029
PLN042098,2,44196.37,88392.74,2023-05-20,ORD000029
PLN046901,1,22577.3,22577.3,2023-10-13,ORD000029
PLN044370,3,17302.91,51908.73,2024-09-17,ORD000031
PLN046604,4,51628.38,206513.52,2022-12-12,ORD000031
PLN007434,4,68497.8,273991.2,2024-10-14,ORD000032
PLN014568,4,57240.05,228960.2,2024-08-31,ORD000032
PLN024157,3,59788.46,179365.38,2023-06-05,ORD000032
PLN027026,3,25491.9,76475.7,2025-10-22,ORD000032
PLN003428,3,54635.3,163905.9,2023-08-27,ORD000033
PLN003557,2,38775.76,77551.52,2023-12-09,ORD000033
PLN042595,2,50163.81,100327.62,2024-04-10,ORD000033
PLN045880,2,52998.94,105997.88,2022-09-14,ORD000033
PLN046560,4,68707.12,274828.48,2024-11-22,ORD000033
PLN047406,1,12563.66,12563.66,2023-01-13,ORD000033
PLN007267,2,62419.8,124839.6,2023-01-24,ORD000034
PLN007522,2,62337.14,124674.28,2023-04-15,ORD000034
PLN008934,4,56257.47,225029.88,2022-01-01,ORD000034
PLN025015,2,350.4,700.8,2023-08-24,ORD000034
PLN002542,2,44863.3,89726.6,2022-01-12,ORD000035
PLN019035,4,24387.61,97550.44,2022-10-24,ORD000035
PLN027272,3,52483.01,157449.03,2023-01-24,ORD000035
PLN029633,3,49472.67,148418.01,2024-10-08,ORD000035
PLN042504,3,76079.78,228239.34,2022-07-01,ORD000035
PLN031738,1,76427.02,76427.02,2025-02-11,ORD000036
PLN003185,4,7981.45,31925.8,2022-02-06,ORD000037
PLN030953,3,1515.93,4547.79,2024-05-13,ORD000037
PLN041595,4,61261.11,245044.44,2023-12-12,ORD000037
PLN012559,1,46624.08,46624.08,2023-03-20,ORD000038
PLN033325,2,11947.55,23895.1,2023-04-04,ORD000038
PLN041328,1,29757.4,29757.4,2023-07-08,ORD000038
PLN032299,3,70350.63,211051.89,2023-11-09,ORD000039
PLN005213,1,45405.36,45405.36,2024-08-19,ORD000040
PLN040886,2,64356.16,128712.32,2023-02-21,ORD000040
PLN012048,1,41344.37,41344.37,2022-11-14,ORD000041
PLN033229,4,64232.52,256930.08,2022-05-01,ORD000041
PLN012264,3,21319.26,63957.78,2025-04-23,ORD000042
PLN018253,1,8118.98,8118.98,2024-05-14,ORD000042
PLN021372,1,50203.11,50203.11,2022-12-07,ORD000042
PLN026394,3,28299.77,84899.31,2024-11-08,ORD000042
PLN039561,2,76576.21,153152.42,2022-01-28,ORD000042
PLN045760,4,44086.96,176347.84,2024-04-25,ORD000042
PLN026145,2,61869.98,123739.96,2024-10-23,ORD000043
PLN025615,4,47851.66,191406.64,2022-05-02,ORD000044
PLN036406,3,35338.92,106016.76,2022-08-28,ORD000044
PLN016415,1,22667.81,22667.81,2023-09-23,ORD000045
PLN031403,4,75761.86,303047.44,2023-08-19,ORD000045
PLN036961,4,44906.58,179626.32,2023-09-11,ORD000045
PLN043256,1,57636.02,57636.02,2025-02-13,ORD000046
PLN048133,1,46671.52,46671.52,2022-06-13,ORD000046
PLN004740,4,13110.72,52442.88,2022-02-19,ORD000047
PLN029291,1,32597.7,32597.7,2025-08-31,ORD000047
PLN031787,4,67889.45,271557.8,2022-02-09,ORD000047
PLN040547,1,62486.29,62486.29,2025-09-25,ORD000047
PLN041763,4,55774.85,223099.4,2025-11-23,ORD000047
PLN029413,4,11042.06,44168.24,2025-04-05,ORD000048
PLN046324,4,9695.88,38783.52,2024-11-19,ORD000048
PLN049059,1,48121.53,48121.53,2023-04-14,ORD000049
PLN006381,3,79397.2,238191.6,2022-08-13,ORD000050
PLN009220,1,27896.07,27896.07,2023-04-03,ORD000050
PLN022347,2,59835.31,119670.62,2022-12-12,ORD000050
PLN022991,3,13980.92,41942.76,2025-07-06,ORD000050
PLN032111,1,43174.1,43174.1,2024-03-08,ORD000050
PLN045206,2,35334.24,70668.48,2024-06-01,ORD000050
PLN033046,4,57789.04,231156.16,2025-04-09,ORD000052
PLN026306,4,39897.12,159588.48,2025-04-02,ORD000053
PLN049484,1,33688.77,33688.77,2022-07-28,ORD000053
PLN021788,3,19890.42,59671.26,2025-03-03,ORD000054
PLN001104,4,42482.93,169931.72,2025-01-26,ORD000055
PLN004595,2,31820.55,63641.1,2023-05-07,ORD000055
PLN028831,1,23714.45,23714.45,2025-10-22,ORD000055
PLN038802,1,32796.12,32796.12,2023-07-13,ORD000055
PLN049535,4,24563.38,98253.52,2025-05-17,ORD000055
PLN043548,4,75079.11,300316.44,2024-07-24,ORD000056
PLN046199,3,67710.9,203132.7,2022-01-28,ORD000057
PLN036862,1,77398.01,77398.01,2023-01-01,ORD000058
PLN043637,3,75089.36,225268.08,2022-12-30,ORD000058
PLN047834,1,32809.44,32809.44,2022-06-16,ORD000058
PLN001053,2,3573.71,7147.42,2023-09-21,ORD000059
PLN004297,4,26452.11,105808.44,2022-04-12,ORD000059
PLN013031,2,75337.73,150675.46,2023-07-13,ORD000059
PLN022821,3,30947.96,92843.88,2023-11-08,ORD000059
PLN033554,1,67020.76,67020.76,2022-08-23,ORD000059
PLN048989,4,52450.1,209800.4,2023-05-07,ORD000059
PLN025298,1,71496.3,71496.3,2024-03-01,ORD000060
PLN026797,2,43500.99,87001.98,2025-02-21,ORD000060
PLN041446,3,28759.2,86277.6,2025-05-06,ORD000060
PLN031888,3,59571.52,178714.56,2023-05-06,ORD000061
PLN033838,1,75826.24,75826.24,2022-03-04,ORD000061
PLN036317,3,47871.67,143615.01,2025-09-08,ORD000061
PLN048131,3,2099.06,6297.18,2023-01-14,ORD000061
PLN004551,1,9495.09,9495.09,2025-03-20,ORD000063
PLN025638,1,14212.57,14212.57,2023-03-16,ORD000063
PLN027661,4,33178.26,132713.04,2024-11-12,ORD000063
PLN028268,3,24497.11,73491.33,2024-07-28,ORD000063
PLN036527,3,73829.71,221489.13,2023-12-09,ORD000063
PLN040899,1,49018.98,49018.98,2025-05-28,ORD000063
PLN016523,1,72561.52,72561.52,2024-04-09,ORD000064
PLN002038,4,33847.91,135391.64,2023-10-19,ORD000065
PLN003017,1,12464.27,12464.27,2024-01-01,ORD000065
PLN025162,3,71083.16,213249.48,2022-01-27,ORD000065
PLN045905,2,71285.28,142570.56,2025-06-25,ORD000065
PLN039481,4,61585.27,246341.08,2022-05-21,ORD000066
PLN045250,2,35148.55,70297.1,2024-05-26,ORD000066
PLN008754,2,46168.53,92337.06,2023-04-12,ORD000067
PLN041239,3,60945.07,182835.21,2023-10-14,ORD000067
PLN012777,4,79281.1,317124.4,2024-03-30,ORD000068
PLN039885,3,51768.49,155305.47,2023-04-08,ORD000068
PLN042740,3,44993.21,134979.63,2023-12-13,ORD000068
PLN031715,1,19575.4,19575.4,2025-09-06,ORD000070
PLN024532,2,16264.28,32528.56,2025-09-14,ORD000071
PLN004983,1,30589.83,30589.83,2025-11-29,ORD000073
PLN000602,3,39575.24,118725.72,2024-09-15,ORD000074
PLN004090,2,14944.34,29888.68,2024-10-20,ORD000074
PLN015775,2,35361.29,70722.58,2024-10-03,ORD000074
PLN038531,1,40943.33,40943.33,2025-02-18,ORD000074
PLN009887,2,9511.14,19022.28,2022-12-07,ORD000075
PLN016644,1,59044.17,59044.17,2025-09-28,ORD000075
PLN040610,3,71392.02,214176.06,2024-03-16,ORD000075
PLN006933,3,64446.43,193339.29,2025-02-22,ORD000076
PLN002036,3,16587.83,49763.49,2022-07-30,ORD000077
PLN007592,4,23081.38,92325.52,2022-04-05,ORD000077
PLN015872,3,13798.16,41394.48,2024-10-30,ORD000077
PLN045383,4,66087.16,264348.64,2024-02-29,ORD000077
PLN010593,2,71482.66,142965.32,2023-02-08,ORD000078
PLN031814,1,13526.56,13526.56,2022-12-27,ORD000078
PLN032219,2,16835.78,33671.56,2022-02-10,ORD000078
PLN048953,2,66439.01,132878.02,2022-05-04,ORD000079
PLN027739,2,71267.91,142535.82,2025-08-21,ORD000080
PLN045788,3,40423.68,121271.04,2025-04-08,ORD000082
PLN047996,4,34445.32,137781.28,2025-01-03,ORD000082
PLN011086,1,8262.28,8262.28,2025-03-30,ORD000083
PLN034431,2,57041.37,114082.74,2022-01-30,ORD000083
PLN044692,1,67448.8,67448.8,2024-07-24,ORD000084
PLN046503,2,64229.5,128459.0,2022-05-26,ORD000084
PLN021066,2,73803.63,147607.26,2024-09-26,ORD000085
PLN022038,1,53967.55,53967.55,2024-03-15,ORD000085
PLN022136,3,21765.23,65295.69,2022-03-28,ORD000086
PLN031524,3,7256.76,21770.28,2022-12-07,ORD000086
PLN043542,1,68274.91,68274.91,2025-10-27,ORD000087
PLN000166,4,6951.28,27805.12,2025-03-26,ORD000088
PLN032191,3,78110.24,234330.72,2022-08-05,ORD000088
PLN036036,4,41969.37,167877.48,2023-03-04,ORD000088
PLN044792,3,5035.02,15105.06,2023-08-26,ORD000088
PLN003555,3,62556.0,187668.0,2025-03-28,ORD000090
PLN002786,2,8563.47,17126.94,2025-05-10,ORD000091
PLN018378,1,11557.12,11557.12,2022-08-28,ORD000092
PLN039586,2,72478.25,144956.5,2023-08-17,ORD000092
PLN048894,1,75899.56,75899.56,2024-06-11,ORD000092
PLN011199,2,27901.17,55802.34,2023-11-30,ORD000093
PLN032858,3,63828.96,191486.88,2024-09-02,ORD000093
PLN005725,4,54990.86,219963.44,2025-08-26,ORD000096
PLN030715,4,37075.96,148303.84,2023-02-08,ORD000096
PLN001277,2,74541.11,149082.22,2023-01-27,ORD000097
PLN021344,3,41209.62,123628.86,2023-09-21,ORD000097
PLN004947,1,14319.69,14319.69,2022-04-20,ORD000098
PLN046367,3,50024.1,150072.3,2022-06-11,ORD000098
PLN014184,4,29814.7,119258.8,2024-06-04,ORD000100
PLN016970,1,9922.4,9922.4,2024-04-21,ORD000100
PLN039234,3,65704.02,197112.06,2023-08-23,ORD000100
PLN049122,1,8360.52,8360.52,2022-05-22,ORD000100
PLN040762,1,20584.96,20584.96,2022-03-30,ORD000101
PLN001016,1,39136.36,39136.36,2024-11-07,ORD000102
PLN025316,1,31834.31,31834.31,2023-12-27,ORD000102
PLN037902,4,24635.71,98542.84,2025-12-20,ORD000102
PLN018914,4,23466.91,93867.64,2024-06-14,ORD000103
PLN026262,4,64723.24,258892.96,2022-10-26,ORD000104
PLN032223,4,36860.01,147440.04,2024-10-17,ORD000104
PLN033527,2,65340.44,130680.88,2025-03-09,ORD000105
PLN010984,4,53069.02,212276.08,2024-03-19,ORD000106
PLN030314,1,18585.07,18585.07,2023-03-30,ORD000106
PLN017298,1,12633.94,12633.94,2024-01-24,ORD000107
PLN008927,3,8001.17,24003.51,2022-03-02,ORD000108
PLN009958,2,11800.51,23601.02,2025-09-05,ORD000108
PLN020418,2,41613.54,83227.08,2025-11-07,ORD000108
PLN029851,3,76682.5,230047.5,2022-05-09,ORD000109
PLN032404,2,58670.2,117340.4,2023-07-27,ORD000109
PLN046729,2,74219.72,148439.44,2022-07-24,ORD000109
PLN047603,1,71725.09,71725.09,2024-07-21,ORD000109
PLN007742,2,20560.28,41120.56,2022-08-22,ORD000110
PLN020004,4,14393.58,57574.32,2023-09-26,ORD000111
PLN022185,3,64189.87,192569.61,2024-12-24,ORD000112
PLN022494,4,14413.74,57654.96,2022-09-02,ORD000112
PLN004496,3,53032.06,159096.18,2025-11-17,ORD000113
PLN016205,3,14406.97,43220.91,2023-03-04,ORD000113
PLN012393,4,68720.74,274882.96,2022-12-31,ORD000114
PLN022489,3,69459.89,208379.67,2023-03-31,ORD000116
PLN029037,1,28861.24,28861.24,2024-09-20,ORD000116
PLN035370,3,48147.7,144443.1,2024-04-07,ORD000116
PLN049229,1,77911.54,77911.54,2025-06-26,ORD000116
PLN003378,1,43481.12,43481.12,2024-08-21,ORD000117
PLN024888,3,68091.61,204274.83,2025-03-10,ORD000117
PLN003596,1,6450.67,6450.67,2025-03-28,ORD000119
PLN005073,2,20732.96,41465.92,2024-12-20,ORD000119
PLN029385,2,69619.18,139238.36,2025-08-29,ORD000119
PLN039835,3,71446.12,214338.36,2022-06-08,ORD000119
PLN047441,3,66862.51,200587.53,2024-02-16,ORD000119
PLN038767,2,13303.39,26606.78,2025-01-28,ORD000120
PLN000824,3,68450.38,205351.14,2025-08-11,ORD000121
PLN017192,4,43102.93,172411.72,2024-05-25,ORD000121
PLN033252,4,8104.98,32419.92,2023-09-06,ORD000121
PLN003697,4,46399.53,185598.12,2025-05-05,ORD000122
PLN012022,4,7745.87,30983.48,2024-03-23,ORD000122
PLN043621,3,67294.57,201883.71,2024-12-30,ORD000122
PLN014431,2,23971.69,47943.38,2025-03-22,ORD000123
PLN039283,2,79604.92,159209.84,2022-03-17,ORD000123
PLN043657,4,6212.29,24849.16,2025-08-29,ORD000123
PLN041751,2,34326.43,68652.86,2023-12-19,ORD000124
PLN001664,1,17520.38,17520.38,2025-10-23,ORD000125
PLN019452,3,35105.87,105317.61,2023-03-08,ORD000125
PLN032033,3,70729.72,212189.16,2022-08-03,ORD000125
PLN049366,4,26271.11,105084.44,2023-08-11,ORD000125
PLN043012,1,38309.94,38309.94,2022-05-17,ORD000127
PLN043840,3,75500.62,226501.86,2023-01-31,ORD000128
PLN036382,3,74563.56,223690.68,2024-06-03,ORD000129
PLN038564,3,17139.77,51419.31,2023-07-26,ORD000129
PLN040140,2,27793.76,55587.52,2024-06-01,ORD000129
PLN025454,1,17363.51,17363.51,2024-09-14,ORD000130
PLN017719,3,67115.26,201345.78,2023-08-27,ORD000131
PLN018709,3,35243.13,105729.39,2023-04-03,ORD000131
PLN019402,3,55778.62,167335.86,2024-08-24,ORD000131
PLN041128,1,79092.17,79092.17,2025-05-22,ORD000131
PLN009080,2,15478.43,30956.86,2023-07-25,ORD000132
PLN027112,3,74577.72,223733.16,2022-08-11,ORD000132
PLN038743,4,75326.16,301304.64,2024-11-18,ORD000132
PLN013996,4,34098.61,136394.44,2025-12-20,ORD000133
PLN047540,4,22350.45,89401.8,2025-07-04,ORD000135
PLN048307,4,16346.4,65385.6,2023-03-10,ORD000135
PLN021674,4,58016.65,232066.6,2022-04-04,ORD000137
PLN011105,1,15193.32,15193.32,2023-05-26,ORD000138
PLN031212,2,3328.53,6657.06,2024-08-03,ORD000138
PLN025550,2,59897.24,119794.48,2024-08-25,ORD000139
PLN041551,3,18731.59,56194.77,2023-12-26,ORD000140
PLN014281,1,74222.88,74222.88,2024-02-18,ORD000141
PLN025845,4,21611.47,86445.88,2025-02-05,ORD000141
PLN035920,1,10898.03,10898.03,2023-01-21,ORD000141
PLN044791,4,56689.58,226758.32,2022-10-31,ORD000141
PLN049213,1,48802.88,48802.88,2025-10-16,ORD000141
PLN001907,1,2329.53,2329.53,2022-03-16,ORD000142
PLN004060,2,11278.49,22556.98,2022-10-21,ORD000144
PLN010250,2,39591.61,79183.22,2025-07-04,ORD000144
PLN015606,2,4838.4,9676.8,2022-09-27,ORD000144
PLN023415,4,55964.23,223856.92,2025-10-04,ORD000144
PLN033821,3,57881.87,173645.61,2024-10-10,ORD000145
PLN033966,3,10343.71,31031.13,2023-11-09,ORD000147
PLN043191,1,15314.94,15314.94,2025-11-06,ORD000147
PLN013076,1,54076.59,54076.59,2022-07-07,ORD000148
PLN002194,1,23059.41,23059.41,2023-07-29,ORD000149
PLN002259,3,75854.14,227562.42,2024-01-09,ORD000150
PLN014813,2,20492.62,40985.24,2022-09-16,ORD000151
PLN033225,1,40119.83,40119.83,2022-07-05,ORD000151
PLN008656,4,17325.5,69302.0,2025-07-08,ORD000152
PLN010027,4,5090.66,20362.64,2023-07-24,ORD000152
PLN012767,3,72874.7,218624.1,2025-06-09,ORD000152
PLN022975,2,14452.34,28904.68,2023-10-19,ORD000152
PLN031330,4,47684.2,190736.8,2022-06-30,ORD000152
PLN042821,3,2930.09,8790.27,2024-06-07,ORD000152
PLN022090,3,51747.72,155243.16,2025-02-02,ORD000153
PLN045001,3,6413.44,19240.32,2023-11-14,ORD000153
PLN012166,3,27882.14,83646.42,2022-01-19,ORD000154
PLN031025,4,29836.94,119347.76,2024-09-06,ORD000154
PLN005429,4,63808.63,255234.52,2024-04-09,ORD000155
PLN036011,2,26328.21,52656.42,2023-12-03,ORD000155
PLN016818,1,77090.96,77090.96,2022-01-08,ORD000156
PLN024198,3,71116.31,213348.93,2024-10-26,ORD000156
PLN035954,1,13486.73,13486.73,2024-06-05,ORD000156
PLN049087,4,44030.3,176121.2,2024-07-31,ORD000156
PLN014871,3,10735.87,32207.61,2022-08-11,ORD000157
PLN026804,2,48811.02,97622.04,2023-08-01,ORD000157
PLN004038,4,15581.9,62327.6,2022-02-17,ORD000158
PLN009876,4,49917.29,199669.16,2025-02-18,ORD000158
PLN013855,4,31429.49,125717.96,2023-02-02,ORD000158
PLN017991,1,38234.77,38234.77,2023-02-26,ORD000158
PLN029372,2,21869.27,43738.54,2023-09-12,ORD000159
PLN048428,1,2583.98,2583.98,2025-10-20,ORD000161
PLN021004,3,39759.38,119278.14,2022-04-06,ORD000162
PLN047747,3,55904.02,167712.06,2023-01-06,ORD000162
PLN001977,2,15229.7,30459.4,2024-05-20,ORD000163
PLN016782,4,45764.12,183056.48,2022-05-07,ORD000163
PLN024848,3,72743.18,218229.54,2024-10-06,ORD000163
PLN047177,3,50929.5,152788.5,2022-11-10,ORD000163
PLN048002,2,57139.43,114278.86,2024-10-30,ORD000163
PLN018520,2,68049.52,136099.04,2023-07-22,ORD000164
PLN021708,2,54216.67,108433.34,2022-07-13,ORD000164
PLN022156,4,65368.77,261475.08,2022-09-09,ORD000164
PLN010639,1,58685.3,58685.3,2025-07-11,ORD000165
PLN039981,2,77896.38,155792.76,2024-11-13,ORD000165
PLN013795,3,75400.62,226201.86,2025-09-07,ORD000166
PLN014448,2,68734.64,137469.28,2023-08-01,ORD000166
PLN019232,2,37856.53,75713.06,2024-05-05,ORD000166
PLN030829,3,65880.37,197641.11,2024-12-09,ORD000166
PLN032245,1,6387.11,6387.11,2023-12-13,ORD000166
PLN010158,2,37822.96,75645.92,2023-08-01,ORD000168
PLN032037,1,3387.88,3387.88,2023-02-13,ORD000168
PLN019565,3,46846.97,140540.91,2023-11-26,ORD000169
PLN023871,1,71202.03,71202.03,2023-05-12,ORD000169
PLN024042,4,28675.28,114701.12,2023-02-26,ORD000169
PLN013605,2,77639.05,155278.1,2023-02-13,ORD000170
PLN030393,3,66677.28,200031.84,2024-04-05,ORD000170
PLN044086,1,40805.61,40805.61,2023-11-24,ORD000170
PLN044666,1,53821.77,53821.77,2024-11-25,ORD000170
PLN004853,2,5193.16,10386.32,2025-02-24,ORD000172
PLN025379,2,64472.89,128945.78,2023-08-14,ORD000172
PLN004301,4,65799.68,263198.72,2023-02-10,ORD000173
PLN046286,4,17615.54,70462.16,2024-12-03,ORD000173
PLN020270,4,3502.62,14010.48,2025-12-04,ORD000174
PLN002611,1,10896.85,10896.85,2022-04-18,ORD000175
PLN004941,2,4129.61,8259.22,2022-06-17,ORD000175
PLN039222,4,10069.4,40277.6,2025-09-30,ORD000176
PLN040017,2,16597.2,33194.4,2025-09-01,ORD000176
PLN045711,4,48390.29,193561.16,2025-03-01,ORD000176
PLN030294,3,36886.94,110660.82,2023-03-28,ORD000177
PLN033781,2,15783.75,31567.5,2022-06-11,ORD000177
PLN029692,4,45515.92,182063.68,2023-02-20,ORD000178
PLN011065,3,43005.17,129015.51,2024-09-22,ORD000179
PLN038188,4,27436.69,109746.76,2022-11-17,ORD000179
PLN021007,4,71151.25,284605.0,2024-09-05,ORD000181
PLN039376,4,10154.84,40619.36,2025-12-28,ORD000181
PLN011101,4,79425.01,317700.04,2023-05-14,ORD000182
PLN025878,1,34653.51,34653.51,2025-12-23,ORD000182
PLN032247,1,52543.15,52543.15,2022-09-23,ORD000182
PLN043426,1,57791.91,57791.91,2022-05-17,ORD000182
PLN048661,3,79672.99,239018.97,2025-02-28,ORD000182
PLN004775,3,38454.27,115362.81,2024-06-12,ORD000183
PLN023753,1,48540.97,48540.97,2025-03-01,ORD000183
PLN028217,2,4229.81,8459.62,2023-10-26,ORD000183
PLN015243,3,22337.55,67012.65,2024-09-14,ORD000184
PLN021204,1,61524.68,61524.68,2025-12-08,ORD000185
PLN008532,1,13512.77,13512.77,2022-04-19,ORD000186
PLN013454,2,35982.99,71965.98,2022-04-12,ORD000187
PLN006958,3,39784.57,119353.71,2024-09-01,ORD000188
PLN031916,1,66132.98,66132.98,2023-12-23,ORD000188
PLN043919,4,42792.86,171171.44,2022-11-25,ORD000188
PLN007298,2,41118.82,82237.64,2024-07-15,ORD000189
PLN034337,4,77877.65,311510.6,2022-11-21,ORD000189
PLN018995,3,5157.06,15471.18,2025-02-09,ORD000190
PLN029915,4,34631.64,138526.56,2023-12-14,ORD000190
PLN012301,1,27070.24,27070.24,2023-03-05,ORD000191
PLN014296,3,66036.85,198110.55,2023-03-18,ORD000191
PLN014586,4,2552.63,10210.52,2022-03-11,ORD000191
PLN027443,3,70242.87,210728.61,2022-08-27,ORD000191
PLN016368,3,8382.72,25148.16,2022-02-26,ORD000192
PLN009836,3,15633.09,46899.27,2025-02-02,ORD000193
PLN015102,3,11919.39,35758.17,2024-04-20,ORD000193
PLN009186,4,1118.07,4472.28,2022-11-28,ORD000194
PLN027665,3,43707.78,131123.34,2022-05-28,ORD000194
PLN035535,3,29093.26,87279.78,2022-03-24,ORD000194
PLN008508,4,59824.3,239297.2,2023-08-04,ORD000195
PLN047788,2,56854.28,113708.56,2024-03-29,ORD000195
PLN013826,3,49037.57,147112.71,2025-01-26,ORD000196
PLN026393,3,57440.38,172321.14,2022-02-22,ORD000196
PLN044970,1,23311.12,23311.12,2023-04-26,ORD000196
PLN040380,2,67549.77,135099.54,2024-07-04,ORD000197
PLN042596,2,46599.54,93199.08,2025-08-19,ORD000197
PLN003252,4,68070.91,272283.64,2025-02-16,ORD000198
PLN036292,3,45357.77,136073.31,2022-11-24,ORD000198
PLN039454,4,9297.25,37189.0,2023-08-18,ORD000198
PLN000989,2,73271.43,146542.86,2023-06-11,ORD000199
PLN018704,1,21732.12,21732.12,2024-04-27,ORD000199
PLN038551,1,66284.77,66284.77,2024-08-10,ORD000199
PLN044825,2,30599.37,61198.74,2025-06-12,ORD000199
PLN049027,3,73518.53,220555.59,2024-01-04,ORD000199
PLN015054,4,35311.01,141244.04,2024-01-24,ORD000200
PLN022977,2,66438.34,132876.68,2022-05-27,ORD000200
PLN001657,1,49932.53,49932.53,2023-09-04,ORD000201
PLN003881,4,75368.13,301472.52,2023-11-05,ORD000201
PLN023770,4,42975.57,171902.28,2022-09-04,ORD000201
PLN001333,3,36068.99,108206.97,2022-06-19,ORD000202
PLN024127,4,51810.96,207243.84,2023-11-15,ORD000202
PLN040204,4,57987.99,231951.96,2025-02-11,ORD000202
PLN000504,1,78316.79,78316.79,2024-12-10,ORD000203
PLN032159,4,18649.94,74599.76,2025-02-28,ORD000203
PLN017960,4,66869.55,267478.2,2022-05-27,ORD000204
PLN046325,1,19800.69,19800.69,2024-09-28,ORD000204
PLN025490,1,55931.42,55931.42,2023-12-10,ORD000205
PLN022439,2,1199.09,2398.18,2024-04-24,ORD000206
PLN030891,3,21602.59,64807.77,2022-08-21,ORD000206
PLN043218,2,37779.93,75559.86,2023-07-21,ORD000207
PLN044481,4,30925.04,123700.16,2022-07-09,ORD000207
PLN010902,3,25240.32,75720.96,2022-02-28,ORD000208
PLN001719,2,6462.04,12924.08,2025-02-23,ORD000210
PLN048538,2,68425.2,136850.4,2022-05-15,ORD000211
PLN022596,3,14268.29,42804.87,2022-06-01,ORD000212
PLN011811,2,7758.82,15517.64,2023-08-16,ORD000213
PLN026679,4,13332.11,53328.44,2023-10-25,ORD000214
PLN009171,1,1730.32,1730.32,2022-05-10,ORD000215
PLN018111,2,42919.37,85838.74,2024-09-30,ORD000215
PLN002442,1,67974.46,67974.46,2025-05-01,ORD000216
PLN032966,1,3689.38,3689.38,2022-01-14,ORD000216
PLN036481,1,29088.83,29088.83,2023-11-04,ORD000217
PLN006021,4,5353.81,21415.24,2025-04-26,ORD000218
