Invoice_ID,Invoice_Details,Quantity,Original_Price,VAT_Rate,TotalAmount,Order_ID
INV000076,Invoice for order ORD000076,2,35377.21,0.07,37853.61,ORD000076
INV000077,Invoice for order ORD000077,3,109399.26,0.07,117057.21,ORD000077
INV000078,Invoice for order ORD000078,5,63193.76,0.07,67617.32,ORD000078
INV000079,Invoice for order ORD000079,1,30339.13,0.07,32462.87,ORD000079
INV000080,Invoice for order ORD000080,1,32878.81,0.07,35180.33,ORD000080
INV000081,Invoice for order ORD000081,4,28194.67,0.07,30168.3,ORD000081
INV000082,Invoice for order ORD000082,5,81004.53,0.07,86674.85,ORD000082
INV000083,Invoice for order ORD000083,4,111699.38,0.07,119518.34,ORD000083
INV000084,Invoice for order ORD000084,3,56014.72,0.07,59935.75,ORD000084
INV000085,Invoice for order ORD000085,5,51531.83,0.07,55139.06,ORD000085
INV000086,Invoice for order ORD000086,3,5901.54,0.07,6314.65,ORD000086
INV000087,Invoice for order ORD000087,4,32380.31,0.07,34646.93,ORD000087
INV000088,Invoice for order ORD000088,4,15425.45,0.07,16505.23,ORD000088
INV000089,Invoice for order ORD000089,4,41335.99,0.07,44229.51,ORD000089
INV000090,Invoice for order ORD000090,5,22206.83,0.07,23761.31,ORD000090
INV000091,Invoice for order ORD000091,4,56783.68,0.07,60758.54,ORD000091
INV000092,Invoice for order ORD000092,5,76455.74,0.07,81807.64,ORD000092
INV000093,Invoice for order ORD000093,1,44459.34,0.07,47571.49,ORD000093
INV000094,Invoice for order ORD000094,3,84783.5,0.07,90718.34,ORD000094
INV000095,Invoice for order ORD000095,4,56317.11,0.07,60259.31,ORD000095
INV000096,Invoice for order ORD000096,3,90256.0,0.07,96573.92,ORD000096
INV000097,Invoice for order ORD000097,5,100214.24,0.07,107229.24,ORD000097
INV000098,Invoice for order ORD000098,5,36041.44,0.07,38564.34,ORD000098
INV000099,Invoice for order ORD000099,3,66775.79,0.07,71450.1,ORD000099
INV000100,Invoice for order ORD000100,5,55174.46,0.07,59036.67,ORD000100
INV000101,Invoice for order ORD000101,1,41606.32,0.07,44518.76,ORD000101
INV000102,Invoice for order ORD000102,4,65656.46,0.07,70252.41,ORD000102
INV000103,Invoice for order ORD000103,5,53470.59,0.07,57213.53,ORD000103
INV000104,Invoice for order ORD000104,5,64978.79,0.07,69527.31,ORD000104
INV000105,Invoice for order ORD000105,2,59014.73,0.07,63145.76,ORD000105
INV000106,Invoice for order ORD000106,4,16971.21,0.07,18159.2,ORD000106
INV000107,Invoice for order ORD000107,5,106364.97,0.07,113810.52,ORD000107
INV000108,Invoice for order ORD000108,4,35501.17,0.07,37986.25,ORD000108
INV000109,Invoice for order ORD000109,2,46299.16,0.07,49540.1,ORD000109
INV000110,Invoice for order ORD000110,1,79289.85,0.07,84840.14,ORD000110
INV000111,Invoice for order ORD000111,3,111939.89,0.07,119775.68,ORD000111
INV000112,Invoice for order ORD000112,3,107312.07,0.07,114823.92,ORD000112
INV000113,Invoice for order ORD000113,3,61476.31,0.07,65779.65,ORD000113
INV000114,Invoice for order ORD000114,3,68602.01,0.07,73404.15,ORD000114
INV000115,Invoice for order ORD000115,3,62795.65,0.07,67191.35,ORD000115
INV000116,Invoice for order ORD000116,3,86593.77,0.07,92655.33,ORD000116
INV000117,Invoice for order ORD000117,4,35875.11,0.07,38386.37,ORD000117
INV000118,Invoice for order ORD000118,3,32608.25,0.07,34890.83,ORD000118
INV000119,Invoice for order ORD000119,4,100507.83,0.07,107543.38,ORD000119
INV000120,Invoice for order ORD000120,2,32905.69,0.07,35209.09,ORD000120
INV000121,Invoice for order ORD000121,1,39149.94,0.07,41890.44,ORD000121
INV000122,Invoice for order ORD000122,4,24365.81,0.07,26071.42,ORD000122
INV000123,Invoice for order ORD000123,5,78217.26,0.07,83692.47,ORD000123
INV000124,Invoice for order ORD000124,5,27190.85,0.07,29094.21,ORD000124
INV000125,Invoice for order ORD000125,5,25670.8,0.07,27467.76,ORD000125
INV000126,Invoice for order ORD000126,4,37355.22,0.07,39970.09,ORD000126
INV000127,Invoice for order ORD000127,2,1045.96,0.07,1119.18,ORD000127
INV000128,Invoice for order ORD000128,2,45911.63,0.07,49125.44,ORD000128
INV000129,Invoice for order ORD000129,2,84889.13,0.07,90831.37,ORD000129
INV000130,Invoice for order ORD000130,1,101867.73,0.07,108998.47,ORD000130
INV000131,Invoice for order ORD000131,2,60234.3,0.07,64450.7,ORD000131
INV000132,Invoice for order ORD000132,2,47137.63,0.07,50437.26,ORD000132
INV000133,Invoice for order ORD000133,1,111833.67,0.07,119662.03,ORD000133
INV000134,Invoice for order ORD000134,2,105069.86,0.07,112424.75,ORD000134
INV000135,Invoice for order ORD000135,1,33792.4,0.07,36157.87,ORD000135
INV000136,Invoice for order ORD000136,3,32247.78,0.07,34505.12,ORD000136
INV000137,Invoice for order ORD000137,4,99781.84,0.07,106766.57,ORD000137
INV000138,Invoice for order ORD000138,4,30938.35,0.07,33104.03,ORD000138
INV000139,Invoice for order ORD000139,4,72869.25,0.07,77970.1,ORD000139
INV000140,Invoice for order ORD000140,3,88782.0,0.07,94996.74,ORD000140
INV000141,Invoice for order ORD000141,2,20066.95,0.07,21471.64,ORD000141
INV000142,Invoice for order ORD000142,4,58014.99,0.07,62076.04,ORD000142
INV000143,Invoice for order ORD000143,1,21104.07,0.07,22581.35,ORD000143
INV000144,Invoice for order ORD000144,2,1230.09,0.07,1316.2,ORD000144
INV000145,Invoice for order ORD000145,3,107016.04,0.07,114507.16,ORD000145
INV000146,Invoice for order ORD000146,5,1744.46,0.07,1866.57,ORD000146
INV000147,Invoice for order ORD000147,2,7405.48,0.07,7923.86,ORD000147
INV000148,Invoice for order ORD000148,2,45745.13,0.07,48947.29,ORD000148
INV000149,Invoice for order ORD000149,3,77560.47,0.07,82989.7,ORD000149
INV000150,Invoice for order ORD000150,3,41515.42,0.07,44421.5,ORD000150
INV000151,Invoice for order ORD000151,2,53871.72,0.07,57642.74,ORD000151
INV000152,Invoice for order ORD000152,5,42194.55,0.07,45148.17,ORD000152
INV000153,Invoice for order ORD000153,4,85049.9,0.07,91003.39,ORD000153
INV000154,Invoice for order ORD000154,2,76449.4,0.07,81800.86,ORD000154
INV000155,Invoice for order ORD000155,1,59157.06,0.07,63298.05,ORD000155
INV000156,Invoice for order ORD000156,1,102907.23,0.07,110110.74,ORD000156
INV000157,Invoice for order ORD000157,5,101303.87,0.07,108395.14,ORD000157
INV000158,Invoice for order ORD000158,2,18843.17,0.07,20162.19,ORD000158
INV000159,Invoice for order ORD000159,2,80534.3,0.07,86171.7,ORD000159
INV000160,Invoice for order ORD000160,5,50219.79,0.07,53735.18,ORD000160
INV000161,Invoice for order ORD000161,5,46862.84,0.07,50143.24,ORD000161
INV000162,Invoice for order ORD000162,4,75603.5,0.07,80895.74,ORD000162
INV000163,Invoice for order ORD000163,4,28885.64,0.07,30907.64,ORD000163
INV000164,Invoice for order ORD000164,5,8623.39,0.07,9227.03,ORD000164
INV000165,Invoice for order ORD000165,1,60905.64,0.07,65169.04,ORD000165
INV000166,Invoice for order ORD000166,1,110601.31,0.07,118343.4,ORD000166
INV000167,Invoice for order ORD000167,4,20568.01,0.07,22007.77,ORD000167
INV000168,Invoice for order ORD000168,4,42287.93,0.07,45248.08,ORD000168
INV000169,Invoice for order ORD000169,4,42420.22,0.07,45389.64,ORD000169
INV000170,Invoice for order ORD000170,5,15319.89,0.07,16392.28,ORD000170
INV000171,Invoice for order ORD000171,5,44364.96,0.07,47470.51,ORD000171
INV000172,Invoice for order ORD000172,2,93702.04,0.07,100261.18,ORD000172
INV000173,Invoice for order ORD000173,4,75685.26,0.07,80983.23,ORD000173
INV000174,Invoice for order ORD000174,4,92422.03,0.07,98891.57,ORD000174
INV000175,Invoice for order ORD000175,2,31252.47,0.07,33440.14,ORD000175
INV000176,Invoice for order ORD000176,4,69143.29,0.07,73983.32,ORD000176
INV000177,Invoice for order ORD000177,1,11735.66,0.07,12557.16,ORD000177
INV000178,Invoice for order ORD000178,1,27799.75,0.07,29745.73,ORD000178
INV000179,Invoice for order ORD000179,2,60748.88,0.07,65001.3,ORD000179
INV000180,Invoice for order ORD000180,3,26618.97,0.07,28482.3,ORD000180
INV000181,Invoice for order ORD000181,5,86746.09,0.07,92818.32,ORD000181
INV000182,Invoice for order ORD000182,2,110551.98,0.07,118290.62,ORD000182
INV000183,Invoice for order ORD000183,3,31197.09,0.07,33380.89,ORD000183
INV000184,Invoice for order ORD000184,2,70379.61,0.07,75306.18,ORD000184
INV000185,Invoice for order ORD000185,1,109054.84,0.07,116688.68,ORD000185
INV000186,Invoice for order ORD000186,5,36064.27,0.07,38588.77,ORD000186
INV000187,Invoice for order ORD000187,3,42511.21,0.07,45486.99,ORD000187
INV000188,Invoice for order ORD000188,2,34054.21,0.07,36438.0,ORD000188
INV000189,Invoice for order ORD000189,4,102627.64,0.07,109811.57,ORD000189
INV000190,Invoice for order ORD000190,4,62706.33,0.07,67095.77,ORD000190
INV000191,Invoice for order ORD000191,3,23176.39,0.07,24798.74,ORD000191
INV000192,Invoice for order ORD000192,4,95077.05,0.07,101732.44,ORD000192
INV000193,Invoice for order ORD000193,2,6223.02,0.07,6658.63,ORD000193
INV000194,Invoice for order ORD000194,5,4884.05,0.07,5225.93,ORD000194
INV000195,Invoice for order ORD000195,5,81359.33,0.07,87054.48,ORD000195
INV000196,Invoice for order ORD000196,2,97572.08,0.07,104402.13,ORD000196
INV000197,Invoice for order ORD000197,1,24122.46,0.07,25811.03,ORD000197
INV000198,Invoice for order ORD000198,1,83880.44,0.07,89752.07,ORD000198
INV000199,Invoice for order ORD000199,5,79065.75,0.07,84600.35,ORD000199
INV000200,Invoice for order ORD000200,5,36385.97,0.07,38932.99,ORD000200
INV000201,Invoice for order ORD000201,5,72917.94,0.07,78022.2,ORD000201
INV000202,Invoice for order ORD000202,5,99061.71,0.07,105996.03,ORD000202
INV000203,Invoice for order ORD000203,4,85527.72,0.07,91514.66,ORD000203
INV000204,Invoice for order ORD000204,3,35415.12,0.07,37894.18,ORD000204
INV000205,Invoice for order ORD000205,2,83252.02,0.07,89079.66,ORD000205
INV000206,Invoice for order ORD000206,5,65147.27,0.07,69707.58,ORD000206
INV000207,Invoice for order ORD000207,2,37307.38,0.07,39918.9,ORD000207
INV000208,Invoice for order ORD000208,2,56230.4,0.07,60166.53,ORD000208
INV000209,Invoice for order ORD000209,3,29206.12,0.07,31250.55,ORD000209
INV000210,Invoice for order ORD000210,4,51933.71,0.07,55569.07,ORD000210
INV000211,Invoice for order ORD000211,5,55003.55,0.07,58853.8,ORD000211
INV000212,Invoice for order ORD000212,1,58982.58,0.07,63111.36,ORD000212
INV000213,Invoice for order ORD000213,1,85830.36,0.07,91838.49,ORD000213
INV000214,Invoice for order ORD000214,2,8058.1,0.07,8622.17,ORD000214
INV000215,Invoice for order ORD000215,5,51395.47,0.07,54993.15,ORD000215
INV000216,Invoice for order ORD000216,5,102405.42,0.07,109573.8,ORD000216
INV000217,Invoice for order ORD000217,1,59905.97,0.07,64099.39,ORD000217
INV000218,Invoice for order ORD000218,5,81123.39,0.07,86802.03,ORD000218
INV000219,Invoice for order ORD000219,1,56555.91,0.07,60514.82,ORD000219
INV000220,Invoice for order ORD000220,2,12419.12,0.07,13288.46,ORD000220
INV000221,Invoice for order ORD000221,2,21902.69,0.07,23435.88,ORD000221
INV000222,Invoice for order ORD000222,3,30322.72,0.07,32445.31,ORD000222
INV000223,Invoice for order ORD000223,4,51729.19,0.07,55350.23,ORD000223
INV000224,Invoice for order ORD000224,2,33969.13,0.07,36346.97,ORD000224
INV000225,Invoice for order ORD000225,1,10909.64,0.07,11673.31,ORD000225
INV000226,Invoice for order ORD000226,4,6734.34,0.07,7205.74,ORD000226
INV000227,Invoice for order ORD000227,1,56292.6,0.07,60233.08,ORD000227
INV000228,Invoice for order ORD000228,3,63663.43,0.07,68119.87,ORD000228
INV000229,Invoice for order ORD000229,1,26128.13,0.07,27957.1,ORD000229
INV000230,Invoice for order ORD000230,4,30743.79,0.07,32895.86,ORD000230
INV000231,Invoice for order ORD000231,3,100904.43,0.07,107967.74,ORD000231
INV000232,Invoice for order ORD000232,2,104194.0,0.07,111487.58,ORD000232
INV000233,Invoice for order ORD000233,2,66028.79,0.07,70650.81,ORD000233
INV000234,Invoice for order ORD000234,1,33891.21,0.07,36263.59,ORD000234
INV000235,Invoice for order ORD000235,4,76080.07,0.07,81405.68,ORD000235
INV000236,Invoice for order ORD000236,2,88751.89,0.07,94964.52,ORD000236
INV000237,Invoice for order ORD000237,5,83721.55,0.07,89582.06,ORD000237
INV000238,Invoice for order ORD000238,4,26393.65,0.07,28241.21,ORD000238
INV000239,Invoice for order ORD000239,5,107108.02,0.07,114605.58,ORD000239
INV000240,Invoice for order ORD000240,3,3775.95,0.07,4040.27,ORD000240
INV000241,Invoice for order ORD000241,4,55258.98,0.07,59127.11,ORD000241
INV000242,Invoice for order ORD000242,4,48697.04,0.07,52105.83,ORD000242
INV000243,Invoice for order ORD000243,4,10037.8,0.07,10740.45,ORD000243
INV000244,Invoice for order ORD000244,2,80108.85,0.07,85716.47,ORD000244
INV000245,Invoice for order ORD000245,4,79948.99,0.07,85545.42,ORD000245
INV000246,Invoice for order ORD000246,4,35834.63,0.07,38343.05,ORD000246
INV000247,Invoice for order ORD000247,3,50136.39,0.07,53645.94,ORD000247
INV000248,Invoice for order ORD000248,1,21395.63,0.07,22893.32,ORD000248
INV000249,Invoice for order ORD000249,5,46038.58,0.07,49261.28,ORD000249
INV000250,Invoice for order ORD000250,5,10860.92,0.07,11621.18,ORD000250
INV000251,Invoice for order ORD000251,4,1845.51,0.07,1974.7,ORD000251
INV000252,Invoice for order ORD000252,1,81419.48,0.07,87118.84,ORD000252
INV000253,Invoice for order ORD000253,2,64345.11,0.07,68849.27,ORD000253
INV000254,Invoice for order ORD000254,2,15973.26,0.07,17091.39,ORD000254
INV000255,Invoice for order ORD000255,2,7533.1,0.07,8060.42,ORD000255
INV000256,Invoice for order ORD000256,3,54547.33,0.07,58365.64,ORD000256
INV000257,Invoice for order ORD000257,2,80978.95,0.07,86647.48,ORD000257
INV000258,Invoice for order ORD000258,2,51602.31,0.07,55214.47,ORD000258
INV000259,Invoice for order ORD000259,4,37570.06,0.07,40199.96,ORD000259
INV000260,Invoice for order ORD000260,3,49632.37,0.07,53106.64,ORD000260
INV000261,Invoice for order ORD000261,5,15669.97,0.07,16766.87,ORD000261
INV000262,Invoice for order ORD000262,2,53964.17,0.07,57741.66,ORD000262
INV000263,Invoice for order ORD000263,3,33016.87,0.07,35328.05,ORD000263
INV000264,Invoice for order ORD000264,5,87799.94,0.07,93945.94,ORD000264
INV000265,Invoice for order ORD000265,4,41233.05,0.07,44119.36,ORD000265
INV000266,Invoice for order ORD000266,5,20561.96,0.07,22001.3,ORD000266
INV000267,Invoice for order ORD000267,4,105780.84,0.07,113185.5,ORD000267
INV000268,Invoice for order ORD000268,3,93306.71,0.07,99838.18,ORD000268
INV000269,Invoice for order ORD000269,4,75626.94,0.07,80920.83,ORD000269
INV000270,Invoice for order ORD000270,2,28687.35,0.07,30695.46,ORD000270
INV000271,Invoice for order ORD000271,4,8727.88,0.07,9338.83,ORD000271
INV000272,Invoice for order ORD000272,4,60146.64,0.07,64356.9,ORD000272
INV000273,Invoice for order ORD000273,1,88776.78,0.07,94991.15,ORD000273
INV000274,Invoice for order ORD000274,5,66786.43,0.07,71461.48,ORD000274
INV000275,Invoice for order ORD000275,2,73909.72,0.07,79083.4,ORD000275
INV000276,Invoice for order ORD000276,5,5414.44,0.07,5793.45,ORD000276
INV000277,Invoice for order ORD000277,4,108442.93,0.07,116033.93,ORD000277
INV000278,Invoice for order ORD000278,4,12299.41,0.07,13160.37,ORD000278
INV000279,Invoice for order ORD000279,5,83877.51,0.07,89748.94,ORD000279
INV000280,Invoice for order ORD000280,5,25152.61,0.07,26913.29,ORD000280
INV000281,Invoice for order ORD000281,5,77576.88,0.07,83007.26,ORD000281
INV000282,Invoice for order ORD000282,1,54384.24,0.07,58191.14,ORD000282
INV000283,Invoice for order ORD000283,1,13430.18,0.07,14370.29,ORD000283
INV000284,Invoice for order ORD000284,3,51319.86,0.07,54912.25,ORD000284
INV000285,Invoice for order ORD000285,3,53646.19,0.07,57401.42,ORD000285
INV000286,Invoice for order ORD000286,4,36083.81,0.07,38609.68,ORD000286
INV000287,Invoice for order ORD000287,1,2989.64,0.07,3198.92,ORD000287
INV000288,Invoice for order ORD000288,2,104323.11,0.07,111625.73,ORD000288
INV000289,Invoice for order ORD000289,5,18351.61,0.07,19636.22,ORD000289
INV000290,Invoice for order ORD000290,4,26361.44,0.07,28206.74,ORD000290
INV000291,Invoice for order ORD000291,2,71997.41,0.07,77037.23,ORD000291
INV000292,Invoice for order ORD000292,5,99093.59,0.07,106030.14,ORD000292
INV000293,Invoice for order ORD000293,4,964.28,0.07,1031.78,ORD000293
INV000294,Invoice for order ORD000294,1,64946.79,0.07,69493.07,ORD000294
INV000295,Invoice for order ORD000295,3,22476.99,0.07,24050.38,ORD000295
INV000296,Invoice for order ORD000296,4,59403.68,0.07,63561.94,ORD000296
INV000297,Invoice for order ORD000297,4,68739.59,0.07,73551.36,ORD000297
INV000298,Invoice for order ORD000298,3,94896.62,0.07,101539.38,ORD000298
INV000299,Invoice for order ORD000299,3,103067.82,0.07,110282.57,ORD000299
INV000300,Invoice for order ORD000300,2,35444.58,0.07,37925.7,ORD000300
INV000301,Invoice for order ORD000301,2,42158.95,0.07,45110.08,ORD000301
INV000302,Invoice for order ORD000302,4,67077.47,0.07,71772.89,ORD000302
INV000303,Invoice for order ORD000303,2,54819.71,0.07,58657.09,ORD000303
INV000304,Invoice for order ORD000304,2,62441.17,0.07,66812.05,ORD000304
INV000305,Invoice for order ORD000305,2,35600.29,0.07,38092.31,ORD000305
INV000306,Invoice for order ORD000306,3,106771.13,0.07,114245.11,ORD000306
INV000307,Invoice for order ORD000307,4,108109.89,0.07,115677.58,ORD000307
INV000308,Invoice for order ORD000308,4,76935.75,0.07,82321.25,ORD000308
INV000309,Invoice for order ORD000309,4,55046.35,0.07,58899.59,ORD000309
INV000310,Invoice for order ORD000310,2,33088.54,0.07,35404.74,ORD000310
INV000311,Invoice for order ORD000311,3,19253.24,0.07,20600.97,ORD000311
INV000312,Invoice for order ORD000312,4,61861.94,0.07,66192.28,ORD000312
INV000313,Invoice for order ORD000313,3,87033.65,0.07,93126.01,ORD000313
INV000314,Invoice for order ORD000314,1,85346.25,0.07,91320.49,ORD000314
INV000315,Invoice for order ORD000315,4,11905.38,0.07,12738.76,ORD000315
INV000316,Invoice for order ORD000316,3,98168.02,0.07,105039.78,ORD000316
INV000317,Invoice for order ORD000317,3,96759.68,0.07,103532.86,ORD000317
INV000318,Invoice for order ORD000318,1,87091.57,0.07,93187.98,ORD000318
INV000319,Invoice for order ORD000319,5,77431.27,0.07,82851.46,ORD000319
INV000320,Invoice for order ORD000320,4,19004.49,0.07,20334.8,ORD000320
INV000321,Invoice for order ORD000321,2,90420.69,0.07,96750.14,ORD000321
INV000322,Invoice for order ORD000322,3,67125.69,0.07,71824.49,ORD000322
INV000323,Invoice for order ORD000323,3,32780.67,0.07,35075.32,ORD000323
INV000324,Invoice for order ORD000324,5,110528.83,0.07,118265.85,ORD000324
INV000325,Invoice for order ORD000325,2,107991.82,0.07,115551.25,ORD000325
INV000326,Invoice for order ORD000326,3,97301.11,0.07,104112.19,ORD000326
INV000327,Invoice for order ORD000327,2,28351.8,0.07,30336.43,ORD000327
INV000328,Invoice for order ORD000328,2,85510.36,0.07,91496.09,ORD000328
INV000329,Invoice for order ORD000329,2,64955.47,0.07,69502.35,ORD000329
INV000330,Invoice for order ORD000330,4,50946.74,0.07,54513.01,ORD000330
INV000331,Invoice for order ORD000331,1,45458.57,0.07,48640.67,ORD000331
INV000332,Invoice for order ORD000332,3,51248.72,0.07,54836.13,ORD000332
INV000333,Invoice for order ORD000333,1,97508.86,0.07,104334.48,ORD000333
INV000334,Invoice for order ORD000334,4,71367.71,0.07,76363.45,ORD000334
INV000335,Invoice for order ORD000335,1,89330.38,0.07,95583.51,ORD000335
INV000336,Invoice for order ORD000336,4,92588.12,0.07,99069.29,ORD000336
INV000337,Invoice for order ORD000337,3,38188.54,0.07,40861.74,ORD000337
INV000338,Invoice for order ORD000338,4,88506.81,0.07,94702.29,ORD000338
INV000339,Invoice for order ORD000339,1,11588.02,0.07,12399.18,ORD000339
INV000340,Invoice for order ORD000340,2,49751.09,0.07,53233.67,ORD000340
INV000341,Invoice for order ORD000341,4,23062.64,0.07,24677.03,ORD000341
INV000342,Invoice for order ORD000342,3,18222.25,0.07,19497.81,ORD000342
INV000343,Invoice for order ORD000343,3,28431.33,0.07,30421.52,ORD000343
INV000344,Invoice for order ORD000344,2,6251.01,0.07,6688.58,ORD000344
INV000345,Invoice for order ORD000345,2,48404.77,0.07,51793.1,ORD000345
INV000346,Invoice for order ORD000346,1,24302.64,0.07,26003.83,ORD000346
INV000347,Invoice for order ORD000347,2,58479.99,0.07,62573.59,ORD000347
INV000348,Invoice for order ORD000348,3,91723.86,0.07,98144.53,ORD000348
INV000349,Invoice for order ORD000349,4,8377.55,0.07,8963.98,ORD000349
INV000350,Invoice for order ORD000350,1,11993.07,0.07,12832.58,ORD000350
INV000351,Invoice for order ORD000351,2,43210.44,0.07,46235.17,ORD000351
INV000352,Invoice for order ORD000352,2,8107.65,0.07,8675.19,ORD000352
INV000353,Invoice for order ORD000353,2,49618.58,0.07,53091.88,ORD000353
INV000354,Invoice for order ORD000354,2,103203.13,0.07,110427.35,ORD000354
INV000355,Invoice for order ORD000355,2,10148.8,0.07,10859.22,ORD000355
INV000356,Invoice for order ORD000356,1,66312.22,0.07,70954.08,ORD000356
