Warranty_ID,Warranty_Description,Product_SerialNumber
WAR000084,3 Year Premium Warranty,SN448664540
WAR000085,1 Year Limited Warranty,SN949351243
WAR000086,Lifetime Warranty on Parts,SN552035686
WAR000087,6 Month Basic Warranty,SN100774194
WAR000088,6 Month Basic Warranty,SN517002319
WAR000089,Lifetime Warranty on Parts,SN767713861
WAR000090,3 Year Premium Warranty,SN449000369
WAR000091,2 Year Extended Warranty,SN821752902
WAR000092,6 Month Basic Warranty,SN389901165
WAR000093,6 Month Basic Warranty,SN636990013
WAR000094,6 Month Basic Warranty,SN246881526
WAR000095,1 Year Limited Warranty,SN162390086
WAR000096,1 Year Limited Warranty,SN236402267
WAR000097,2 Year Extended Warranty,SN548058043
WAR000098,3 Year Premium Warranty,SN134911099
WAR000099,3 Year Premium Warranty,SN515253268
WAR000100,1 Year Limited Warranty,SN108445383
WAR000101,6 Month Basic Warranty,SN617581747
WAR000102,1 Year Limited Warranty,SN262751099
WAR000103,1 Year Limited Warranty,SN562314772
WAR000104,3 Year Premium Warranty,SN390838922
WAR000105,2 Year Extended Warranty,SN412818441
WAR000106,6 Month Basic Warranty,SN611788471
WAR000107,Lifetime Warranty on Parts,SN931906124
WAR000108,6 Month Basic Warranty,SN512165815
WAR000109,3 Year Premium Warranty,SN566961377
WAR000110,6 Month Basic Warranty,SN976132363
WAR000111,Lifetime Warranty on Parts,SN246073614
WAR000112,2 Year Extended Warranty,SN582138582
WAR000113,3 Year Premium Warranty,SN983258041
WAR000114,1 Year Limited Warranty,SN723359206
WAR000115,1 Year Limited Warranty,SN375072268
WAR000116,2 Year Extended Warranty,SN300407281
WAR000117,2 Year Extended Warranty,SN258152154
WAR000118,3 Year Premium Warranty,SN765466488
WAR000119,1 Year Limited Warranty,SN442868695
WAR000120,1 Year Limited Warranty,SN631619127
WAR000121,Lifetime Warranty on Parts,SN380892232
WAR000122,3 Year Premium Warranty,SN117977325
WAR000123,2 Year Extended Warranty,SN638879735
WAR000124,Lifetime Warranty on Parts,SN350346336
WAR000125,Lifetime Warranty on Parts,SN947662356
WAR000126,3 Year Premium Warranty,SN615517327
WAR000127,3 Year Premium Warranty,SN668370652
WAR000128,2 Year Extended Warranty,SN821875925
WAR000129,Lifetime Warranty on Parts,SN361347624
WAR000130,Lifetime Warranty on Parts,SN112703315
WAR000131,Lifetime Warranty on Parts,SN699313297
WAR000132,2 Year Extended Warranty,SN565676781
WAR000133,3 Year Premium Warranty,SN167123977
WAR000134,Lifetime Warranty on Parts,SN247581613
WAR000135,Lifetime Warranty on Parts,SN665361187
WAR000136,6 Month Basic Warranty,SN981643779
WAR000137,Lifetime Warranty on Parts,SN463456800
WAR000138,3 Year Premium Warranty,SN220294510
WAR000139,1 Year Limited Warranty,SN400113392
WAR000140,Lifetime Warranty on Parts,SN703226647
WAR000141,6 Month Basic Warranty,SN500467574
WAR000142,1 Year Limited Warranty,SN511589432
WAR000143,1 Year Limited Warranty,SN244407217
WAR000144,Lifetime Warranty on Parts,SN699147425
WAR000145,Lifetime Warranty on Parts,SN870809125
WAR000146,2 Year Extended Warranty,SN141084338
WAR000147,Lifetime Warranty on Parts,SN294981681
WAR000148,6 Month Basic Warranty,SN159870818
WAR000149,3 Year Premium Warranty,SN149163980
WAR000150,3 Year Premium Warranty,SN566152395
WAR000151,1 Year Limited Warranty,SN207625426
WAR000152,Lifetime Warranty on Parts,SN158931992
WAR000153,3 Year Premium Warranty,SN419777307
WAR000154,1 Year Limited Warranty,SN266556424
WAR000155,1 Year Limited Warranty,SN219964911
WAR000156,6 Month Basic Warranty,SN274149391
WAR000157,2 Year Extended Warranty,SN367922719
WAR000158,2 Year Extended Warranty,SN641089401
WAR000159,Lifetime Warranty on Parts,SN777835522
WAR000160,6 Month Basic Warranty,SN739768807
WAR000161,1 Year Limited Warranty,SN842211155
WAR000162,1 Year Limited Warranty,SN159622285
WAR000163,1 Year Limited Warranty,SN261912137
WAR000164,2 Year Extended Warranty,SN376655041
WAR000165,Lifetime Warranty on Parts,SN257471013
WAR000166,Lifetime Warranty on Parts,SN806006384
WAR000167,1 Year Limited Warranty,SN678113412
WAR000168,6 Month Basic Warranty,SN245673075
WAR000169,Lifetime Warranty on Parts,SN674653389
WAR000170,Lifetime Warranty on Parts,SN115247157
WAR000171,3 Year Premium Warranty,SN413033221
WAR000172,1 Year Limited Warranty,SN940120598
WAR000173,2 Year Extended Warranty,SN464770555
WAR000174,1 Year Limited Warranty,SN985928866
WAR000175,3 Year Premium Warranty,SN268750901
WAR000176,Lifetime Warranty on Parts,SN304663116
WAR000177,3 Year Premium Warranty,SN573485701
WAR000178,1 Year Limited Warranty,SN230761224
WAR000179,6 Month Basic Warranty,SN824954148
WAR000180,6 Month Basic Warranty,SN798286236
WAR000181,1 Year Limited Warranty,SN429484816
WAR000182,6 Month Basic Warranty,SN472845185
WAR000183,2 Year Extended Warranty,SN929073308
WAR000184,3 Year Premium Warranty,SN111767143
WAR000185,6 Month Basic Warranty,SN997802121
WAR000186,2 Year Extended Warranty,SN146143917
WAR000187,2 Year Extended Warranty,SN465386172
WAR000188,3 Year Premium Warranty,SN212049628
WAR000189,Lifetime Warranty on Parts,SN208845305
WAR000190,6 Month Basic Warranty,SN552291754
WAR000191,2 Year Extended Warranty,SN808351589
WAR000192,2 Year Extended Warranty,SN871435208
WAR000193,2 Year Extended Warranty,SN471262120
WAR000194,2 Year Extended Warranty,SN503775620
WAR000195,6 Month Basic Warranty,SN390119273
WAR000196,2 Year Extended Warranty,SN977274810
WAR000197,2 Year Extended Warranty,SN118755013
WAR000198,3 Year Premium Warranty,SN497665934
WAR000199,Lifetime Warranty on Parts,SN712305802
WAR000200,3 Year Premium Warranty,SN556284606
WAR000201,3 Year Premium Warranty,SN483807568
WAR000202,Lifetime Warranty on Parts,SN178746714
WAR000203,1 Year Limited Warranty,SN233114896
WAR000204,2 Year Extended Warranty,SN588962130
WAR000205,6 Month Basic Warranty,SN620932215
WAR000206,3 Year Premium Warranty,SN753711932
WAR000207,2 Year Extended Warranty,SN583759674
WAR000208,2 Year Extended Warranty,SN143119987
WAR000209,6 Month Basic Warranty,SN824852177
WAR000210,1 Year Limited Warranty,SN457198220
WAR000211,3 Year Premium Warranty,SN410769971
WAR000212,6 Month Basic Warranty,SN657324842
WAR000213,6 Month Basic Warranty,SN724714782
WAR000214,3 Year Premium Warranty,SN308653007
WAR000215,1 Year Limited Warranty,SN753805447
WAR000216,2 Year Extended Warranty,SN898149957
WAR000217,6 Month Basic Warranty,SN862161956
WAR000218,Lifetime Warranty on Parts,SN499582236
WAR000219,2 Year Extended Warranty,SN220134083
WAR000220,Lifetime Warranty on Parts,SN642026297
WAR000221,1 Year Limited Warranty,SN865402752
WAR000222,6 Month Basic Warranty,SN620580236
WAR000223,3 Year Premium Warranty,SN893597685
WAR000224,3 Year Premium Warranty,SN230709673
WAR000225,6 Month Basic Warranty,SN887800374
WAR000226,2 Year Extended Warranty,SN564828977
WAR000227,1 Year Limited Warranty,SN542985542
WAR000228,2 Year Extended Warranty,SN637219857
WAR000229,Lifetime Warranty on Parts,SN740090397
WAR000230,1 Year Limited Warranty,SN376671582
WAR000231,1 Year Limited Warranty,SN533909820
WAR000232,1 Year Limited Warranty,SN666033334
WAR000233,Lifetime Warranty on Parts,SN221438870
WAR000234,Lifetime Warranty on Parts,SN786527574
WAR000235,Lifetime Warranty on Parts,SN991858405
WAR000236,6 Month Basic Warranty,SN660906951
WAR000237,6 Month Basic Warranty,SN417334625
WAR000238,2 Year Extended Warranty,SN879019991
WAR000239,Lifetime Warranty on Parts,SN183175424
WAR000240,Lifetime Warranty on Parts,SN981908498
WAR000241,Lifetime Warranty on Parts,SN677370211
WAR000242,6 Month Basic Warranty,SN843048303
WAR000243,1 Year Limited Warranty,SN200578794
WAR000244,6 Month Basic Warranty,SN347003545
WAR000245,6 Month Basic Warranty,SN192260453
WAR000246,3 Year Premium Warranty,SN216872612
WAR000247,2 Year Extended Warranty,SN587274756
WAR000248,3 Year Premium Warranty,SN368400646
WAR000249,3 Year Premium Warranty,SN845331158
WAR000250,Lifetime Warranty on Parts,SN872708851
WAR000251,6 Month Basic Warranty,SN317268943
WAR000252,2 Year Extended Warranty,SN740743966
WAR000253,3 Year Premium Warranty,SN931865605
WAR000254,Lifetime Warranty on Parts,SN330705481
WAR000255,2 Year Extended Warranty,SN491310430
WAR000256,6 Month Basic Warranty,SN582656385
WAR000257,3 Year Premium Warranty,SN969298774
WAR000258,1 Year Limited Warranty,SN857386759
WAR000259,3 Year Premium Warranty,SN467188182
WAR000260,2 Year Extended Warranty,SN523665265
WAR000261,Lifetime Warranty on Parts,SN702457218
WAR000262,3 Year Premium Warranty,SN559456115
WAR000263,Lifetime Warranty on Parts,SN337978990
WAR000264,2 Year Extended Warranty,SN440094033
WAR000265,2 Year Extended Warranty,SN979402423
WAR000266,6 Month Basic Warranty,SN473919935
WAR000267,6 Month Basic Warranty,SN717399631
WAR000268,3 Year Premium Warranty,SN530188359
WAR000269,2 Year Extended Warranty,SN315607414
WAR000270,Lifetime Warranty on Parts,SN641197164
WAR000271,1 Year Limited Warranty,SN917923887
WAR000272,2 Year Extended Warranty,SN598888943
WAR000273,3 Year Premium Warranty,SN791504116
WAR000274,2 Year Extended Warranty,SN821739242
WAR000275,6 Month Basic Warranty,SN792152709
WAR000276,Lifetime Warranty on Parts,SN678390102
WAR000277,Lifetime Warranty on Parts,SN826253352
WAR000278,Lifetime Warranty on Parts,SN517175749
WAR000279,3 Year Premium Warranty,SN107872186
WAR000280,1 Year Limited Warranty,SN855339761
WAR000281,Lifetime Warranty on Parts,SN283104589
WAR000282,6 Month Basic Warranty,SN428985769
WAR000283,1 Year Limited Warranty,SN969846892
WAR000284,2 Year Extended Warranty,SN849124182
WAR000285,3 Year Premium Warranty,SN195468521
WAR000286,Lifetime Warranty on Parts,SN536749869
WAR000287,Lifetime Warranty on Parts,SN195209218
WAR000288,6 Month Basic Warranty,SN774308762
WAR000289,Lifetime Warranty on Parts,SN518677347
WAR000290,1 Year Limited Warranty,SN939060325
WAR000291,2 Year Extended Warranty,SN900831154
WAR000292,3 Year Premium Warranty,SN318381219
WAR000293,Lifetime Warranty on Parts,SN437039174
WAR000294,2 Year Extended Warranty,SN795636897
WAR000295,3 Year Premium Warranty,SN412404895
WAR000296,1 Year Limited Warranty,SN716144599
WAR000297,1 Year Limited Warranty,SN767048890
WAR000298,6 Month Basic Warranty,SN698611742
WAR000299,6 Month Basic Warranty,SN565884131
WAR000300,6 Month Basic Warranty,SN439312322
WAR000301,2 Year Extended Warranty,SN145305462
WAR000302,Lifetime Warranty on Parts,SN913674168
WAR000303,2 Year Extended Warranty,SN839032248
WAR000304,3 Year Premium Warranty,SN687360638
WAR000305,Lifetime Warranty on Parts,SN713459412
WAR000306,Lifetime Warranty on Parts,SN416395000
WAR000307,Lifetime Warranty on Parts,SN450937505
WAR000308,1 Year Limited Warranty,SN363898064
WAR000309,3 Year Premium Warranty,SN857805222
WAR000310,3 Year Premium Warranty,SN165621030
WAR000311,6 Month Basic Warranty,SN108659784
WAR000312,Lifetime Warranty on Parts,SN150025140
WAR000313,1 Year Limited Warranty,SN205427461
WAR000314,Lifetime Warranty on Parts,SN529115820
WAR000315,3 Year Premium Warranty,SN959158456
WAR000316,2 Year Extended Warranty,SN383562770
WAR000317,1 Year Limited Warranty,SN745580353
WAR000318,Lifetime Warranty on Parts,SN678843958
WAR000319,2 Year Extended Warranty,SN864946527
WAR000320,1 Year Limited Warranty,SN482256697
WAR000321,3 Year Premium Warranty,SN604401434
WAR000322,2 Year Extended Warranty,SN448493346
WAR000323,2 Year Extended Warranty,SN820395066
WAR000324,2 Year Extended Warranty,SN737697223
WAR000325,2 Year Extended Warranty,SN413488676
WAR000326,3 Year Premium Warranty,SN719847013
WAR000327,Lifetime Warranty on Parts,SN893501373
WAR000328,2 Year Extended Warranty,SN633958937
WAR000329,3 Year Premium Warranty,SN729076620
WAR000330,1 Year Limited Warranty,SN260128874
WAR000331,3 Year Premium Warranty,SN505225906
WAR000332,1 Year Limited Warranty,SN177318104
WAR000333,3 Year Premium Warranty,SN948289563
WAR000334,6 Month Basic Warranty,SN373736058
WAR000335,2 Year Extended Warranty,SN779724559
WAR000336,1 Year Limited Warranty,SN998129936
WAR000337,2 Year Extended Warranty,SN650140502
WAR000338,2 Year Extended Warranty,SN709994661
WAR000339,1 Year Limited Warranty,SN583977259
WAR000340,2 Year Extended Warranty,SN199281160
WAR000341,Lifetime Warranty on Parts,SN525794755
WAR000342,2 Year Extended Warranty,SN951084598
WAR000343,3 Year Premium Warranty,SN536937709
WAR000344,6 Month Basic Warranty,SN335487201
WAR000345,Lifetime Warranty on Parts,SN890576424
WAR000346,3 Year Premium Warranty,SN813573213
WAR000347,6 Month Basic Warranty,SN277005077
WAR000348,Lifetime Warranty on Parts,SN581996629
WAR000349,1 Year Limited Warranty,SN950066499
WAR000350,3 Year Premium Warranty,SN871830436
WAR000351,3 Year Premium Warranty,SN572081777
WAR000352,6 Month Basic Warranty,SN541958674
WAR000353,3 Year Premium Warranty,SN305068631
WAR000354,1 Year Limited Warranty,SN874314568
WAR000355,2 Year Extended Warranty,SN380094439
WAR000356,2 Year Extended Warranty,SN847125665
WAR000357,2 Year Extended Warranty,SN722159521
WAR000358,6 Month Basic Warranty,SN266831295
WAR000359,1 Year Limited Warranty,SN981747735
WAR000360,1 Year Limited Warranty,SN962343136
WAR000361,Lifetime Warranty on Parts,SN364788676
WAR000362,3 Year Premium Warranty,SN512749331
WAR000363,6 Month Basic Warranty,SN160213727
WAR000364,6 Month Basic Warranty,SN912404236
WAR000365,6 Month Basic Warranty,SN309419237
WAR000366,Lifetime Warranty on Parts,SN189517299
WAR000367,6 Month Basic Warranty,SN723750328
WAR000368,6 Month Basic Warranty,SN468112910
WAR000369,1 Year Limited Warranty,SN950757919
WAR000370,3 Year Premium Warranty,SN445077710
WAR000371,Lifetime Warranty on Parts,SN524605360
WAR000372,3 Year Premium Warranty,SN207408299
WAR000373,6 Month Basic Warranty,SN120728263
WAR000374,Lifetime Warranty on Parts,SN451940918
WAR000375,1 Year Limited Warranty,SN795451595
WAR000376,1 Year Limited Warranty,SN347586346
WAR000377,6 Month Basic Warranty,SN844699387
WAR000378,1 Year Limited Warranty,SN190918539
WAR000379,1 Year Limited Warranty,SN796991801
WAR000380,6 Month Basic Warranty,SN405676613
WAR000381,1 Year Limited Warranty,SN465206668
WAR000382,6 Month Basic Warranty,SN617203631
WAR000383,1 Year Limited Warranty,SN672265732
WAR000384,3 Year Premium Warranty,SN649997821
WAR000385,Lifetime Warranty on Parts,SN861036702
WAR000386,3 Year Premium Warranty,SN671547696
WAR000387,2 Year Extended Warranty,SN802275983
WAR000388,2 Year Extended Warranty,SN887373055
WAR000389,1 Year Limited Warranty,SN501899897
WAR000390,Lifetime Warranty on Parts,SN816072298
WAR000391,6 Month Basic Warranty,SN843124891
WAR000392,1 Year Limited Warranty,SN222776132
WAR000393,1 Year Limited Warranty,SN708486928
WAR000394,3 Year Premium Warranty,SN951323988
WAR000395,Lifetime Warranty on Parts,SN451111930
WAR000396,Lifetime Warranty on Parts,SN391764613
WAR000397,1 Year Limited Warranty,SN440583982
WAR000398,Lifetime Warranty on Parts,SN688975627
WAR000399,6 Month Basic Warranty,SN932421306
WAR000400,3 Year Premium Warranty,SN154661988
WAR000401,3 Year Premium Warranty,SN606024428
WAR000402,6 Month Basic Warranty,SN244058193
WAR000403,1 Year Limited Warranty,SN235881325
WAR000404,6 Month Basic Warranty,SN930461408
WAR000405,6 Month Basic Warranty,SN599944798
WAR000406,3 Year Premium Warranty,SN197482764
WAR000407,Lifetime Warranty on Parts,SN234427982
WAR000408,Lifetime Warranty on Parts,SN610887969
WAR000409,3 Year Premium Warranty,SN296845876
WAR000410,1 Year Limited Warranty,SN807669531
WAR000411,6 Month Basic Warranty,SN649483396
WAR000412,3 Year Premium Warranty,SN256249832
WAR000413,Lifetime Warranty on Parts,SN112078583
WAR000414,6 Month Basic Warranty,SN374898833
WAR000415,Lifetime Warranty on Parts,SN816485950
WAR000416,Lifetime Warranty on Parts,SN417230497
WAR000417,6 Month Basic Warranty,SN549114691
WAR000418,1 Year Limited Warranty,SN102699691
WAR000419,3 Year Premium Warranty,SN128940852
WAR000420,Lifetime Warranty on Parts,SN737094972
WAR000421,2 Year Extended Warranty,SN496471435
WAR000422,3 Year Premium Warranty,SN321017052
WAR000423,2 Year Extended Warranty,SN942153709
WAR000424,2 Year Extended Warranty,SN809805780
WAR000425,Lifetime Warranty on Parts,SN514120577
WAR000426,Lifetime Warranty on Parts,SN721102069
WAR000427,3 Year Premium Warranty,SN895703049
WAR000428,3 Year Premium Warranty,SN388652429
WAR000429,1 Year Limited Warranty,SN614218554
WAR000430,6 Month Basic Warranty,SN759401387
WAR000431,2 Year Extended Warranty,SN929349708
WAR000432,Lifetime Warranty on Parts,SN936689478
WAR000433,1 Year Limited Warranty,SN284536129
WAR000434,3 Year Premium Warranty,SN781539371
WAR000435,2 Year Extended Warranty,SN252217115
WAR000436,Lifetime Warranty on Parts,SN440943734
WAR000437,Lifetime Warranty on Parts,SN872706479
WAR000438,6 Month Basic Warranty,SN801325215
WAR000439,1 Year Limited Warranty,SN580081326
WAR000440,Lifetime Warranty on Parts,SN206454189
WAR000441,1 Year Limited Warranty,SN480788867
WAR000442,3 Year Premium Warranty,SN638236949
WAR000443,6 Month Basic Warranty,SN485415442
WAR000444,6 Month Basic Warranty,SN845534349
WAR000445,2 Year Extended Warranty,SN623387452
WAR000446,1 Year Limited Warranty,SN451412713
WAR000447,1 Year Limited Warranty,SN271734574
WAR000448,6 Month Basic Warranty,SN514364411
WAR000449,Lifetime Warranty on Parts,SN932831232
WAR000450,3 Year Premium Warranty,SN340169401
WAR000451,Lifetime Warranty on Parts,SN359448982
WAR000452,2 Year Extended Warranty,SN746280719
WAR000453,3 Year Premium Warranty,SN411737672
WAR000454,6 Month Basic Warranty,SN782915645
WAR000455,2 Year Extended Warranty,SN187878054
WAR000456,6 Month Basic Warranty,SN915052732
WAR000457,1 Year Limited Warranty,SN837779943
WAR000458,2 Year Extended Warranty,SN174333043
WAR000459,2 Year Extended Warranty,SN982769541
WAR000460,3 Year Premium Warranty,SN512974792
WAR000461,3 Year Premium Warranty,SN810852223
WAR000462,2 Year Extended Warranty,SN279191022
WAR000463,6 Month Basic Warranty,SN384722185
WAR000464,3 Year Premium Warranty,SN250916792
WAR000465,1 Year Limited Warranty,SN798128984
WAR000466,2 Year Extended Warranty,SN462198422
WAR000467,2 Year Extended Warranty,SN581780028
WAR000468,2 Year Extended Warranty,SN697431959
WAR000469,2 Year Extended Warranty,SN245747056
WAR000470,3 Year Premium Warranty,SN521440835
WAR000471,1 Year Limited Warranty,SN513174482
WAR000472,6 Month Basic Warranty,SN749920474
WAR000473,6 Month Basic Warranty,SN741620161
WAR000474,1 Year Limited Warranty,SN478317077
WAR000475,1 Year Limited Warranty,SN924382741
WAR000476,6 Month Basic Warranty,SN858537368
WAR000477,Lifetime Warranty on Parts,SN115075284
WAR000478,2 Year Extended Warranty,SN990183057
WAR000479,3 Year Premium Warranty,SN286516717
WAR000480,3 Year Premium Warranty,SN481182921
WAR000481,1 Year Limited Warranty,SN397471112
WAR000482,2 Year Extended Warranty,SN613878032
WAR000483,2 Year Extended Warranty,SN384832300
WAR000484,6 Month Basic Warranty,SN296937629
WAR000485,6 Month Basic Warranty,SN400252034
WAR000486,Lifetime Warranty on Parts,SN144155421
WAR000487,6 Month Basic Warranty,SN344312828
WAR000488,Lifetime Warranty on Parts,SN301736497
WAR000489,2 Year Extended Warranty,SN415097547
WAR000490,6 Month Basic Warranty,SN740174239
WAR000491,Lifetime Warranty on Parts,SN735746224
WAR000492,Lifetime Warranty on Parts,SN895435051
WAR000493,1 Year Limited Warranty,SN140875226
WAR000494,3 Year Premium Warranty,SN533973928
WAR000495,2 Year Extended Warranty,SN778002778
WAR000496,Lifetime Warranty on Parts,SN626162768
WAR000497,6 Month Basic Warranty,SN739298737
WAR000498,6 Month Basic Warranty,SN474720196
WAR000499,2 Year Extended Warranty,SN880337248
WAR000500,1 Year Limited Warranty,SN646976463
